Type,Dichroic
Maker,"Chroma"
ProductName,"440dcxr"
Comment,""
Public,1
wavedataset
350,27.4054
351,21.4415
352,15.8953
353,11.9916
354,9.10081
355,7.01482
356,5.41645
357,4.32771
358,3.50978
359,2.89488
360,2.38968
361,2.03038
362,1.75561
363,1.52586
364,1.32874
365,1.17696
366,1.05691
367,0.951602
368,0.86194
369,0.794126
370,0.732455
371,0.684332
372,0.634779
373,0.596783
374,0.563999
375,0.541167
376,0.520613
377,0.507917
378,0.488667
379,0.478203
380,0.472227
381,0.470511
382,0.476129
383,0.480696
384,0.493151
385,0.501702
386,0.554009
387,0.668438
388,0.704807
389,0.69986
390,0.695999
391,0.66698
392,0.695351
393,0.673503
394,0.628441
395,0.667414
396,0.678635
397,0.694531
398,0.69221
399,0.71871
400,0.687875
401,0.719973
402,0.754236
403,0.75122
404,0.781103
405,0.822942
406,0.876615
407,0.864802
408,0.904542
409,0.964035
410,1.02826
411,1.08309
412,1.14477
413,1.23288
414,1.30274
415,1.39644
416,1.48314
417,1.62186
418,1.78553
419,1.92595
420,2.12108
421,2.3443
422,2.58889
423,2.87621
424,3.18752
425,3.57149
426,4.00176
427,4.50262
428,5.06768
429,5.76625
430,6.5507
431,7.46471
432,8.51799
433,9.7684
434,11.1206
435,12.7209
436,14.704
437,16.7666
438,19.1836
439,21.7348
440,24.674
441,27.6899
442,31.0113
443,34.2085
444,37.4431
445,40.696
446,43.644
447,46.4719
448,48.8018
449,50.9037
450,52.6454
451,54.1987
452,55.6805
453,57.1373
454,58.9168
455,60.9516
456,63.4568
457,66.2539
458,69.629
459,73.1769
460,77.1391
461,81.095
462,84.3142
463,86.8333
464,88.5828
465,89.2703
466,89.4794
467,89.4789
468,89.1014
469,88.5361
470,87.9034
471,87.3374
472,86.8691
473,86.5383
474,86.3253
475,86.3852
476,86.5255
477,86.8523
478,87.2935
479,87.7763
480,88.3805
481,89.1286
482,89.8191
483,90.6142
484,91.4528
485,92.2613
486,92.9331
487,93.6882
488,94.2339
489,95.0043
490,95.5606
491,96.0554
492,96.399
493,96.7163
494,97.0873
495,97.4007
496,97.5609
497,97.5706
498,97.5657
499,97.4128
500,97.1927
501,96.9399
502,96.6675
503,96.3675
504,96.147
505,95.9643
506,95.6747
507,95.4048
508,95.1959
509,94.987
510,94.5938
511,94.425
512,94.026
513,93.7789
514,93.6575
515,93.6904
516,93.6265
517,93.6183
518,93.6625
519,93.6719
520,93.6407
521,93.7337
522,93.6753
523,93.9029
524,93.9253
525,93.9604
526,94.2077
527,94.3479
528,94.4741
529,94.6537
530,94.8734
531,95.0417
532,95.2093
533,95.4808
534,95.7647
535,96.0653
536,96.3105
537,96.549
538,96.7334
539,96.9331
540,97.034
541,97.1248
542,97.2107
543,97.4234
544,97.5935
545,97.6852
546,97.7309
547,97.8049
548,97.8617
549,97.9025
550,98.068
551,98.1525
552,98.2147
553,98.1039
554,97.7286
555,97.7695
556,97.6294
557,97.5743
558,97.4997
559,97.4711
560,97.3753
561,97.2971
562,97.2825
563,97.2043
564,97.1798
565,97.1454
566,97.1152
567,97.0285
568,96.7961
569,96.5295
570,96.5143
571,96.5564
572,96.493
573,96.4822
574,96.3916
