Type,Dichroic
Maker,"Chroma"
ProductName,"505dcxru"
Comment,""
Public,1
wavedataset
300,0.001056
301,0.0002338
302,0.001054
303,0.0005805
304,0.0001326
305,0.0009122
306,0.0005897
307,1E-06
308,0.0004108
309,0.001232
310,0.001073
311,0.001236
312,0.0005971
313,0.000912
314,1E-06
315,0.001241
316,0.000728
317,0.001242
318,0.0007115
319,1E-06
320,0.0003152
321,0.000543
322,0.000934
323,1E-06
324,1E-06
325,1E-06
326,1E-06
327,0.001144
328,0.0009447
329,1E-06
330,0.001542
331,0.000154
332,0.0001424
333,0.001149
334,0.0001202
335,0.001156
336,1.454E-06
337,0.0002322
338,0.0004498
339,0.0005417
340,0.0009532
341,0.00137
342,0.0001262
343,0.001792
344,0.002415
345,0.002218
346,0.004727
347,0.005363
348,0.00789
349,0.01023
350,0.01198
351,0.01759
352,0.02598
353,0.03595
354,0.05069
355,0.068
356,0.08473
357,0.09293
358,0.09073
359,0.07586
360,0.05892
361,0.04348
362,0.03419
363,0.02789
364,0.02394
365,0.02019
366,0.01714
367,0.01126
368,0.0098
369,0.007376
370,0.004141
371,0.004401
372,0.001434
373,0.002917
374,0.002086
375,0.001863
376,0.002063
377,0.001654
378,0.002091
379,0.003554
380,0.00252
381,0.005382
382,0.006806
383,0.007955
384,0.01486
385,0.02202
386,0.03177
387,0.03676
388,0.04305
389,0.04482
390,0.04259
391,0.04446
392,0.03947
393,0.04698
394,0.04999
395,0.05936
396,0.07818
397,0.1037
398,0.1426
399,0.1852
400,0.2312
401,0.2649
402,0.2851
403,0.2943
404,0.2866
405,0.2763
406,0.2742
407,0.2716
408,0.2803
409,0.2935
410,0.312
411,0.3315
412,0.343
413,0.3443
414,0.3255
415,0.305
416,0.2775
417,0.2517
418,0.2314
419,0.2246
420,0.2281
421,0.2419
422,0.2663
423,0.2909
424,0.3088
425,0.318
426,0.3103
427,0.2899
428,0.2621
429,0.2291
430,0.2027
431,0.1822
432,0.1765
433,0.1853
434,0.2158
435,0.2782
436,0.3744
437,0.515
438,0.6649
439,0.7869
440,0.847
441,0.8521
442,0.7973
443,0.7081
444,0.6027
445,0.5073
446,0.4558
447,0.4444
448,0.4938
449,0.6276
450,0.8988
451,1.329
452,1.778
453,2.059
454,2.141
455,2.024
456,1.78
457,1.426
458,1.025
459,0.6615
460,0.4167
461,0.2875
462,0.2224
463,0.1849
464,0.161
465,0.1494
466,0.1427
467,0.1438
468,0.144
469,0.1542
470,0.1672
471,0.1817
472,0.208
473,0.246
474,0.2921
475,0.3511
476,0.4293
477,0.5255
478,0.6343
479,0.7562
480,0.8768
481,0.9999
482,1.113
483,1.21
484,1.296
485,1.361
486,1.418
487,1.471
488,1.531
489,1.616
490,1.737
491,1.916
492,2.192
493,2.6
494,3.217
495,4.188
496,5.678
497,7.813
498,10.67
499,14.27
500,18.47
501,23.08
502,27.9
503,32.62
504,37.16
505,41.58
506,46.02
507,50.69
508,55.67
509,60.93
510,66.19
511,71.27
512,75.88
513,79.89
514,83.16
515,85.47
516,86.91
517,87.57
518,87.83
519,88.11
520,88.57
521,89.2
522,89.91
523,90.6
524,91.25
525,91.85
526,92.32
527,92.69
528,92.88
529,93.04
530,93.05
531,93.07
532,93.06
533,92.99
534,93.01
535,92.95
536,93
537,92.99
538,93.01
539,93.11
540,93.1
541,92.88
542,92.8
543,92.55
544,92.26
545,91.89
546,91.46
547,90.93
548,90.4
549,89.94
550,89.58
551,89.21
552,89.05
553,88.96
554,89.04
555,89.26
556,89.62
557,90.07
558,90.59
559,91.18
560,91.65
561,92.11
562,92.62
563,92.97
564,93.27
565,93.43
566,93.64
567,93.65
568,93.67
569,93.59
570,93.66
571,93.66
572,93.61
573,93.67
574,93.66
575,93.71
576,93.79
577,93.8
578,93.78
579,93.78
580,93.67
581,93.61
582,93.49
583,93.29
584,93.1
585,92.85
586,92.64
587,92.37
588,92.08
