Type,Dichroic
Maker,"Chroma"
ProductName,"610DCLP"
Comment,""
Public,1
wavedataset
299,0.0003731
300,1E-08
301,0.0003533
302,1E-08
303,0.000334
304,1E-08
305,0.0003154
306,0.0006666
307,0.0002933
308,0.0006533
309,1E-08
310,0.0002573
311,1E-08
312,1E-08
313,0.0009976
314,1E-08
315,1E-08
316,1E-08
317,1E-08
318,1E-08
319,1E-08
320,0.0001266
321,1E-08
322,1E-08
323,0.0005613
324,0.0005846
325,1E-08
326,1E-08
327,1E-08
328,1E-08
329,1E-08
330,1E-08
331,0.000132
332,0.0005211
333,0.001418
334,1E-08
335,0.0001931
336,0.0002314
337,1E-08
338,0.0003062
339,1E-08
340,0.0005489
341,1E-08
342,1E-08
343,1E-08
344,0.000557
345,0.0005915
346,0.002315
347,0.004395
348,0.01066
349,0.02263
350,0.04291
351,0.07406
352,0.1335
353,0.2194
354,0.3444
355,0.5253
356,0.7725
357,1.103
358,1.501
359,1.995
360,2.595
361,3.272
362,4.021
363,4.815
364,5.744
365,6.97
366,8.517
367,10.38
368,12.49
369,14.62
370,16.73
371,18.84
372,21.12
373,23.79
374,26.45
375,28.95
376,30.98
377,32.96
378,35.06
379,37.69
380,40.55
381,43
382,44.7
383,45.21
384,45.29
385,45.79
386,47.11
387,49.85
388,53.53
389,57.27
390,60.2
391,61.69
392,62.26
393,62.37
394,62.73
395,63.82
396,65.62
397,67.42
398,68.66
399,68.71
400,67.17
401,63.77
402,58.32
403,51.59
404,44.08
405,36.91
406,30.69
407,25.83
408,22.26
409,19.89
410,18.74
411,18.66
412,19.79
413,22.35
414,26.73
415,33.36
416,42.2
417,52.09
418,60.93
419,66.89
420,69.03
421,67.55
422,63.42
423,58.42
424,54.58
425,53.1
426,54.86
427,59.34
428,65.57
429,71.8
430,76.2
431,77.85
432,76.5
433,72.66
434,67.51
435,62.51
436,58.84
437,57.44
438,58.57
439,62.01
440,67.19
441,72.74
442,77.12
443,79.47
444,78.97
445,75.98
446,71.42
447,65.8
448,60.79
449,57.06
450,55.24
451,55.71
452,58.3
453,62.77
454,68.29
455,73.66
456,77.6
457,79.26
458,78.36
459,75.16
460,70.02
461,64.1
462,58.29
463,53.34
464,49.9
465,48.05
466,48.05
467,49.77
468,53.19
469,58
470,63.77
471,69.71
472,75.08
473,79.01
474,81.35
475,81.75
476,80.35
477,77.95
478,74.89
479,72.22
480,70.49
481,69.78
482,70.65
483,72.65
484,75.4
485,78.41
486,81.1
487,82.86
488,83.39
489,82.38
490,80.16
491,76.88
492,72.91
493,69
494,65.56
495,62.88
496,61.28
497,61.01
498,62.07
499,64.41
500,67.62
501,71.27
502,74.62
503,77.31
504,78.68
505,78.76
506,77.5
507,75.04
508,71.6
509,67.64
510,63.39
511,59.46
512,56.12
513,53.91
514,53.03
515,53.51
516,55.35
517,57.92
518,60.85
519,63.77
520,66.21
521,68.07
522,69.09
523,69.11
524,68.01
525,65.89
526,62.69
527,58.9
528,55.01
529,51.49
530,48.69
531,46.8
532,45.69
533,44.84
534,44.16
535,43.64
536,43.04
537,42.57
538,42.3
539,42.29
540,42.55
541,42.82
542,42.75
543,41.98
544,40.16
545,37.37
546,33.66
547,29.25
548,24.51
549,19.74
550,15.25
551,11.47
552,8.493
553,6.26
554,4.713
555,3.629
556,2.872
557,2.332
558,1.929
559,1.637
560,1.408
561,1.245
562,1.101
563,0.9961
564,0.9066
565,0.837
566,0.7809
567,0.7425
568,0.7089
569,0.6811
570,0.6602
571,0.6476
572,0.6407
573,0.6382
574,0.6348
575,0.644
576,0.6638
577,0.6773
578,0.7059
579,0.7323
580,0.7716
581,0.8153
582,0.8607
583,0.9221
584,1.001
585,1.082
586,1.191
587,1.312
588,1.452
