Type,Dichroic
Maker,"Chroma"
ProductName,"86015bs"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.00124283
358,0.00213806
359,0.00342476
360,0.0056022
361,0.0091185
362,0.013368
363,0.0197967
364,0.0276239
365,0.0373091
366,0.0484052
367,0.0604222
368,0.0725332
369,0.0831335
370,0.0888218
371,0.0882142
372,0.0773298
373,0.055857
374,0.0354318
375,0.0202244
376,0.0123464
377,0.00834933
378,0.00615994
379,0.00517507
380,0.00456305
381,0.00438128
382,0.00468465
383,0.0053811
384,0.00660725
385,0.00899492
386,0.0131487
387,0.021162
388,0.0384305
389,0.0795712
390,0.187225
391,0.469153
392,1.01619
393,2.03864
394,3.45128
395,5.04563
396,6.64254
397,8.32634
398,10.1461
399,12.0294
400,13.8661
401,15.6232
402,17.5234
403,19.7118
404,22.1993
405,24.8205
406,27.3493
407,29.6687
408,31.9445
409,34.3473
410,37.0252
411,39.9173
412,42.822
413,45.6942
414,48.3795
415,51.016
416,53.6157
417,55.7566
418,57.0237
419,56.8421
420,55.1462
421,52.3897
422,49.591
423,47.6297
424,47.2883
425,49.1896
426,53.5011
427,60.1522
428,68.3522
429,76.6748
430,83.7664
431,88.2275
432,90.2103
433,90.6431
434,90.5524
435,90.6274
436,90.9909
437,91.2789
438,91.2819
439,90.9409
440,90.5153
441,90.2042
