Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM455CFP"
Comment,""
Public,1
wavedataset
300,1.93385
301,2.83245
302,2.6445
303,1.50765
304,2.08915
305,2.15175
306,1.6729
307,1.9678
308,3.2332
309,6.0479
310,5.6556
311,3.9588
312,1.0708
313,0.0818
314,-0.0441
315,0.03415
316,0.05075
317,-0.0119
318,-0.0227
319,0.0077
320,0.02205
321,0.0063
322,0.0319
323,-0.0143
324,-0.0026
325,-0.0297
326,-0.0205
327,0.2617
328,2.2604
329,2.50785
330,2.67805
331,2.8368
332,1.6199
333,1.3667
334,4.42905
335,9.9054
336,4.20635
337,1.46415
338,0.5637
339,0.29205
340,0.3671
341,1.99105
342,3.69835
343,0.2927
344,0.0363
345,0.0246
346,0.0051
347,0.0115
348,0.02715
349,0.0007
350,0.02145
351,0.0099
352,0.03725
353,0.0279
354,0.04555
355,0.05705
356,0.02545
357,0.02965
358,0.03795
359,0.0041
360,0.04755
361,0.0236
362,0.03525
363,-0.0101
364,0.02445
365,0.02015
366,0.03795
367,-0.0018
368,0.02165
369,0.0212
370,0.03425
371,0.01225
372,0.0059
373,0.01125
374,0.01805
375,0.00675
376,0.0243
377,0.03035
378,0.02305
379,5E-05
380,0.006
381,0.0148
382,0.0186
383,0.0105
384,0.015
385,-0.0046
386,0.0139
387,0.02765
388,0.01435
389,0.03955
390,0.01785
391,0.02125
392,0.01795
393,0.02355
394,0.0095
395,0.0075
396,0.01165
397,0.0197
398,0.0214
399,0.02155
400,0.01775
401,0.0174
402,0.0164
403,0.02845
404,0.0222
405,0.0216
406,0.02385
407,0.01025
408,0.0125
409,0.01895
410,0.01415
411,0.01005
412,0.0224
413,0.02495
414,0.01445
415,0.0203
416,0.01615
417,0.00895
418,0.01385
419,0.0205
420,0.01545
421,0.01295
422,0.01075
423,0.016
424,0.00765
425,0.0134
426,0.0137
427,0.01795
428,0.0177
429,0.01255
430,0.01925
431,0.01075
432,0.01345
433,0.00945
434,0.0153
435,0.0149
436,0.01955
437,0.0257
438,0.03885
439,0.05825
440,0.0529
441,0.02795
442,0.03745
443,0.0271
444,0.0257
445,0.01905
446,0.01645
447,0.014
448,0.0167
449,0.0201
450,0.0243
451,0.0311
452,0.03795
453,0.08345
454,0.246
455,1.00265
456,5.38695
457,19.9013
458,38.6548
459,48.08555
460,59.658
461,84.82015
462,96.2276
463,97.2788
464,97.94325
465,97.9208
466,98.0117
467,97.93025
468,98.1388
469,97.89445
470,97.666
471,97.83715
472,97.53505
473,97.5557
474,98.2556
475,98.2074
476,97.67505
477,98.53515
478,98.2811
479,98.02115
480,98.37615
481,97.98235
482,97.9515
483,98.3781
484,98.1836
485,98.1568
486,98.12585
487,97.94755
488,97.7621
489,97.74555
490,98.3055
491,98.03735
492,98.00415
493,98.2561
494,98.3684
495,97.9431
496,98.0742
497,98.2465
498,97.3056
499,97.34815
500,97.5478
501,97.13845
502,96.7767
503,96.96445
504,97.1131
505,96.96945
506,97.1259
507,97.37585
508,97.25585
509,97.0464
510,97.50195
511,98.0691
512,98.15655
513,98.0586
514,98.2864
515,98.5236
516,98.71015
517,98.5373
518,98.6347
519,98.43805
520,98.28125
521,98.4798
522,98.30695
523,97.74965
524,97.73045
525,97.58675
526,97.2489
527,97.08835
528,96.7473
529,96.95975
530,96.8075
531,96.9281
532,97.0166
533,97.1236
534,97.3268
535,97.35455
536,97.19975
537,97.5365
538,97.9061
539,98.0868
540,97.82265
541,97.85945
542,98.43185
543,98.9508
544,98.42385
545,98.3793
546,98.492
547,98.70485
548,98.91255
549,98.4634
550,98.5137
551,98.3155
552,98.49245
553,97.83885
554,97.8567
555,97.9219
556,98.05295
557,98.3672
558,97.94515
559,97.68575
560,98.15015
561,98.50195
562,98.19145
563,97.8195
564,98.1196
565,98.4303
566,98.47975
567,98.332
568,97.8642
569,98.32015
570,98.77205
571,98.62365
572,98.36325
573,98.06585
574,98.22935
575,98.3928
576,98.2833
577,97.95335
578,97.5807
579,97.72055
580,97.9291
581,98.03005
582,97.38445
583,97.02675
584,97.5253
585,97.473
586,97.35465
587,97.4707
588,97.3416
589,97.3393
590,97.20475
591,97.48545
