Type,Dichroic
Maker,"Semrock"
ProductName,"Di01-R405/488/561/635-25x36"
Comment,""
Public,1
wavedataset
365,0.065817
365.2,0.066844
365.4,0.068361
365.6,0.064458
365.8,0.073981
366,0.066039
366.2,0.07251
366.4,0.067753
366.6,0.065671
366.8,0.06262
367,0.062601
367.2,0.069658
367.4,0.061831
367.6,0.061193
367.8,0.079618
368,0.069601
368.2,0.093222
368.4,0.129
368.6,0.191
368.8,0.296
369,0.382
369.2,0.508
369.4,0.588
369.6,0.716
369.8,0.864
370,0.962
370.2,1.008
370.4,1.025
370.6,0.993
370.8,0.936
371,0.838
371.2,0.682
371.4,0.55
371.6,0.366
371.8,0.26
372,0.187
372.2,0.126
372.4,0.135
372.6,0.117
372.8,0.135
373,0.108
373.2,0.119
373.4,0.103
373.6,0.096244
373.8,0.099655
374,0.08816
374.2,0.076806
374.4,0.108
374.6,0.099245
374.8,0.105
375,0.127
375.2,0.149
375.4,0.157
375.6,0.188
375.8,0.225
376,0.259
376.2,0.303
376.4,0.333
376.6,0.349
376.8,0.363
377,0.349
377.2,0.317
377.4,0.273
377.6,0.243
377.8,0.19
378,0.119
378.2,0.080638
378.4,0.0485
378.6,0.042215
378.8,0.044563
379,0.039988
379.2,0.039709
379.4,0.039074
379.6,0.038301
379.8,0.037658
380,0.037752
380.2,0.036876
380.4,0.036865
380.6,0.036672
380.8,0.0366
381,0.036084
381.2,0.035844
381.4,0.035106
381.6,0.034606
381.8,0.034417
382,0.034278
382.2,0.034256
382.4,0.034117
382.6,0.042354
382.8,0.050145
383,0.095237
383.2,0.17
383.4,0.248
383.6,0.327
383.8,0.412
384,0.5
384.2,0.599
384.4,0.699
384.6,0.788
384.8,0.848
385,0.858
385.2,0.803
385.4,0.767
385.6,0.69
385.8,0.635
386,0.531
386.2,0.424
386.4,0.309
386.6,0.228
386.8,0.14
387,0.096181
387.2,0.058829
387.4,0.056477
387.6,0.052967
387.8,0.055685
388,0.046084
388.2,0.0538
388.4,0.052388
388.6,0.05545
388.8,0.062491
389,0.080025
389.2,0.093584
389.4,0.129
389.6,0.16
389.8,0.226
390,0.296
390.2,0.407
390.4,0.542
390.6,0.687
390.8,0.815
391,0.977
391.2,1.094
391.4,1.233
391.6,1.358
391.8,1.43
392,1.624
392.2,1.764
392.4,1.706
392.6,1.741
392.8,1.799
393,1.91
393.2,1.746
393.4,1.682
393.6,1.54
393.8,1.511
394,1.313
394.2,1.153
394.4,0.937
394.6,0.82
394.8,0.647
395,0.594
395.2,0.472
395.4,0.352
395.6,0.319
395.8,0.282
396,0.281
396.2,0.282
396.4,0.221
396.6,0.225
396.8,0.169
397,0.166
397.2,0.148
397.4,0.257
397.6,0.17
397.8,0.162
398,0.235
398.2,0.229
398.4,0.23
398.6,0.274
398.8,0.303
399,0.416
399.2,0.537
399.4,0.762
399.6,0.939
399.8,1.146
400,1.335
400.2,1.451
400.4,1.534
400.6,1.619
400.8,1.595
401,1.481
401.2,1.399
401.4,1.259
401.6,1.092
401.8,0.869
402,0.705
402.2,0.592
402.4,0.52
402.6,0.476
402.8,0.465
403,0.414
403.2,0.409
403.4,0.407
403.6,0.482
403.8,0.584
404,0.671
404.2,0.776
404.4,0.804
404.6,0.862
404.8,0.912
405,0.89
405.2,0.839
405.4,0.8
405.6,0.705
405.8,0.616
406,0.517
406.2,0.366
406.4,0.296
406.6,0.229
406.8,0.215
407,0.17
407.2,0.152
407.4,0.129
407.6,0.111
407.8,0.138
408,0.128
408.2,0.147
408.4,0.12
408.6,0.139
408.8,0.137
409,0.144
409.2,0.138
409.4,0.14
409.6,0.159
409.8,0.153
410,0.163
410.2,0.208
410.4,0.226
410.6,0.288
410.8,0.341
411,0.499
411.2,0.804
411.4,1.405
411.6,2.603
411.8,4.357
412,6.59
412.2,8.881
412.4,10.932
412.6,12.665
412.8,14.084
413,15.219
413.2,15.929
413.4,16.389
413.6,16.333
413.8,15.84
414,14.882
414.2,13.799
414.4,13.005
414.6,12.776
414.8,13.292
415,14.398
415.2,16.06
415.4,18.062
415.6,20.281
415.8,22.587
416,25.005
416.2,27.362
416.4,29.477
416.6,31.463
416.8,33.077
417,34.375
417.2,35.419
417.4,36.157
417.6,36.593
417.8,36.874
418,36.968
418.2,36.998
418.4,36.774
418.6,36.571
418.8,36.28
419,35.762
419.2,35.129
419.4,34.533
419.6,33.487
419.8,32.626
420,31.852
420.2,31.088
420.4,30.427
420.6,29.946
420.8,29.765
421,29.647
421.2,29.704
421.4,29.991
421.6,30.209
421.8,30.802
422,31.329
422.2,31.814
422.4,32.367
422.6,32.942
422.8,33.446
423,33.746
423.2,33.965
423.4,34.145
423.6,34.34
423.8,34.274
424,34.136
424.2,34.003
424.4,34.055
424.6,34.059
424.8,34.295
425,34.632
425.2,35.434
425.4,36.521
425.6,37.876
425.8,39.723
426,42.064
426.2,44.988
426.4,48.501
426.6,52.451
426.8,57.039
427,61.826
427.2,66.757
427.4,71.485
427.6,75.97
427.8,79.965
428,83.32
428.2,86.007
428.4,88.16
428.6,90.048
428.8,91.102
429,92.041
429.2,92.654
429.4,93.252
429.6,93.655
429.8,93.96
430,94.403
430.2,94.592
430.4,95.057
430.6,95.25
430.8,95.366
431,95.372
431.2,95.57
431.4,95.867
431.6,95.507
431.8,95.502
432,95.618
432.2,95.533
432.4,95.581
432.6,95.447
432.8,95.613
433,95.657
433.2,95.735
433.4,95.473
433.6,95.603
433.8,95.502
434,95.456
434.2,95.417
434.4,95.276
434.6,95.123
434.8,95.42
435,95.218
435.2,95.38
435.4,95.336
435.6,95.448
435.8,95.475
436,95.573
436.2,95.748
436.4,95.695
436.6,95.996
436.8,96.15
437,96.385
437.2,96.432
437.4,96.455
437.6,96.478
437.8,96.597
438,96.618
438.2,96.369
438.4,96.39
438.6,96.36
438.8,96.421
439,96.282
439.2,96.37
