Type,Dichroic
Maker,"Semrock"
ProductName,"FF444/521/608-Di01-25x36"
Comment,""
Public,1
wavedataset
300,7.2294E-05
300.2,5.8692E-05
300.4,6.7161E-05
300.6,7.6984E-05
300.8,8.8244E-05
301,0.00010115
301.2,0.00011595
301.4,0.0001329
301.6,0.00015234
301.8,0.00017463
302,0.00020017
302.2,0.00022944
302.4,0.000263
302.6,0.00030147
302.8,0.00034557
303,0.00039611
303.2,0.00045405
303.4,0.00052046
303.6,0.00059658
303.8,0.00068384
304,0.00078386
304.2,0.00089851
304.4,0.00090038
304.6,0.00083654
304.8,0.00077722
305,0.00072211
305.2,0.00067091
305.4,0.00062334
305.6,0.00057914
305.8,0.00053808
306,0.00049993
306.2,0.00046448
306.4,0.00043154
306.6,0.00040095
306.8,0.00037252
307,0.0003461
307.2,0.00032156
307.4,0.00029876
307.6,0.00027758
307.8,0.0002579
308,0.00023961
308.2,0.00022262
308.4,0.00021596
308.6,0.00023172
308.8,0.00024862
309,0.00026676
309.2,0.00028622
309.4,0.0003071
309.6,0.0003295
309.8,0.00035354
310,0.00037933
310.2,0.000407
310.4,0.00043669
310.6,0.00046854
310.8,0.00050272
311,0.00053939
311.2,0.00057874
311.4,0.00062096
311.6,0.00066626
311.8,0.00071486
312,0.00076701
312.2,0.00082296
312.4,0.00088299
312.6,0.00088668
312.8,0.00088856
313,0.00089045
313.2,0.00089234
313.4,0.00089424
313.6,0.00089614
313.8,0.00089804
314,0.00089995
314.2,0.00090186
314.4,0.00090377
314.6,0.00090569
314.8,0.00090762
315,0.00090954
315.2,0.00091147
315.4,0.00091341
315.6,0.00091535
315.8,0.00091729
316,0.00091924
316.2,0.00092119
316.4,0.00092315
316.6,0.00089879
316.8,0.00086187
317,0.00082647
317.2,0.00079252
317.4,0.00075997
317.6,0.00072875
317.8,0.00069882
318,0.00067011
318.2,0.00064259
318.4,0.00061619
318.6,0.00059088
318.8,0.00056661
319,0.00054334
319.2,0.00052102
319.4,0.00049962
319.6,0.00047909
319.8,0.00045941
320,0.00044054
320.2,0.00042245
320.4,0.0004051
320.6,0.00037395
320.8,0.00032214
321,0.0002775
321.2,0.00023905
321.4,0.00020593
321.6,0.0001774
321.8,0.00015282
322,0.00013164
322.2,0.00010689
322.4,8.68E-05
322.6,7.0482E-05
322.8,5.7232E-05
323,4.6473E-05
323.2,3.7737E-05
323.4,3.0643E-05
323.6,2.4882E-05
323.8,2.0205E-05
324,1.9448E-05
324.2,1.9056E-05
324.4,1.8673E-05
324.6,1.8297E-05
324.8,1.7929E-05
325,1.7568E-05
325.2,1.7215E-05
325.4,1.6868E-05
325.6,1.6529E-05
325.8,1.6196E-05
326,1.5986E-05
326.2,1.5821E-05
326.4,1.5657E-05
326.6,1.5496E-05
326.8,1.5335E-05
327,1.5177E-05
327.2,1.502E-05
327.4,1.4864E-05
327.6,1.4711E-05
327.8,1.4558E-05
328,1.4359E-05
328.2,1.4123E-05
328.4,1.3892E-05
328.6,1.3664E-05
328.8,1.344E-05
329,1.322E-05
329.2,1.3004E-05
329.4,1.2791E-05
329.6,1.2581E-05
329.8,1.2375E-05
330,1.3644E-05
330.2,1.7916E-05
330.4,2.3525E-05
330.6,3.0892E-05
330.8,4.0564E-05
331,5.3266E-05
331.2,6.9944E-05
331.4,9.1844E-05
331.6,0.0001206
331.8,0.00015836
332,1.084E-05
332.2,1.075E-05
332.4,1.066E-05
332.6,1.0572E-05
332.8,1.0484E-05
333,1.0397E-05
333.2,1.0311E-05
333.4,1.0226E-05
333.6,1.0141E-05
333.8,1.0057E-05
334,9.9654E-06
334.2,9.8743E-06
334.4,9.784E-06
334.6,9.6945E-06
334.8,9.6058E-06
335,9.518E-06
335.2,9.431E-06
335.4,9.3447E-06
335.6,9.2592E-06
335.8,9.1746E-06
336,1.1703E-05
336.2,1.6315E-05
336.4,2.2743E-05
336.6,3.1705E-05
336.8,4.4197E-05
337,6.1612E-05
337.2,8.5888E-05
337.4,0.00011973
337.6,0.00016691
337.8,0.00023267
338,0.00029422
338.2,0.00034618
338.4,0.00040731
338.6,0.00047925
338.8,0.00056388
339,0.00066346
339.2,0.00078063
339.4,0.00091848
339.6,0.0010807
339.8,0.0012715
340,0.0014349
340.2,0.0015266
340.4,0.0016242
340.6,0.001728
340.8,0.0018385
341,0.001956
341.2,0.002081
341.4,0.0022141
341.6,0.0023556
341.8,0.0025062
342,0.0017659
342.2,0.0017616
342.4,0.0017572
342.6,0.0017528
342.8,0.0017484
343,0.0017441
343.2,0.0017397
343.4,0.0017354
343.6,0.0017311
343.8,0.0017268
344,0.001826
344.2,0.0019455
344.4,0.0020729
344.6,0.0022087
344.8,0.0023533
345,0.0025074
345.2,0.0026716
345.4,0.0028466
345.6,0.003033
345.8,0.0032316
346,0.0036158
346.2,0.0041214
346.4,0.0046977
346.6,0.0053546
346.8,0.0061034
347,0.0069568
347.2,0.0079296
347.4,0.0090384
347.6,0.010302
347.8,0.011743
348,0.013079
348.2,0.014309
348.4,0.015655
348.6,0.017128
348.8,0.018739
349,0.020502
349.2,0.02243
349.4,0.024541
349.6,0.026849
349.8,0.029375
350,0.029983
350.2,0.027638
350.4,0.025476
350.6,0.023483
350.8,0.021646
351,0.019953
351.2,0.018392
351.4,0.016953
351.6,0.015627
351.8,0.014404
352,0.0078865
352.2,0.0072361
352.4,0.0066394
352.6,0.0060918
352.8,0.0055894
353,0.0051285
353.2,0.0047055
353.4,0.0043175
353.6,0.0039614
353.8,0.0036347
354,0.0038435
354.2,0.0041475
354.4,0.0044756
354.6,0.0048296
354.8,0.0052116
355,0.0056238
355.2,0.0060686
355.4,0.0065486
355.6,0.0070666
355.8,0.0076256
356,0.0078103
356.2,0.0078388
356.4,0.0078674
356.6,0.0078961
356.8,0.0079249
357,0.0079538
357.2,0.0079828
357.4,0.0080119
357.6,0.0080411
357.8,0.0080704
358,0.0094611
358.2,0.012501
358.4,0.016517
358.6,0.021823
358.8,0.028833
359,0.038096
359.2,0.050335
359.4,0.066506
359.6,0.087871
359.8,0.116
360,0.139
360.2,0.146
360.4,0.153
360.6,0.16
360.8,0.168
361,0.176
361.2,0.185
361.4,0.194
361.6,0.203
361.8,0.213
362,0.243
362.2,0.175
362.4,0.12
362.6,0.082042
362.8,0.060521
363,0.048858
363.2,0.042084
363.4,0.034986
363.6,0.0383
363.8,0.036032
364,0.035566
364.2,0.038393
364.4,0.042695
364.6,0.045143
364.8,0.053238
365,0.063157
365.2,0.074365
365.4,0.099535
365.6,0.144
365.8,0.227
366,0.39
366.2,0.698
366.4,1.143
366.6,1.635
366.8,1.994
367,2.241
367.2,2.315
367.4,2.212
367.6,1.931
367.8,1.535
368,1.249
368.2,1.176
368.4,1.28
368.6,1.603
368.8,2.189
369,3.129
369.2,4.311
369.4,5.657
369.6,6.961
369.8,8.122
370,9.014
370.2,9.43
370.4,9.511
370.6,9.342
370.8,8.923
371,8.004
371.2,6.554
371.4,4.863
371.6,3.318
371.8,2.107
372,1.255
372.2,0.741
372.4,0.511
372.6,0.438
372.8,0.443
373,0.52
373.2,0.701
373.4,1.072
373.6,1.525
373.8,1.937
374,2.185
374.2,2.246
374.4,2.096
374.6,1.777
374.8,1.316
375,0.828
375.2,0.431
375.4,0.233
375.6,0.146
375.8,0.106
376,0.08747
376.2,0.079211
376.4,0.077212
376.6,0.076049
376.8,0.077258
377,0.084695
377.2,0.097776
377.4,0.125
377.6,0.179
377.8,0.292
378,0.564
378.2,1.108
378.4,1.805
378.6,2.469
378.8,2.919
379,3.106
379.2,3.02
379.4,2.67
379.6,2.08
379.8,1.408
380,0.91
380.2,0.724
380.4,0.724
380.6,0.892
380.8,1.281
381,1.877
381.2,2.492
381.4,2.983
381.6,3.229
381.8,3.2
382,2.824
382.2,2.198
382.4,1.614
382.6,1.288
382.8,1.205
383,1.29
383.2,1.473
383.4,1.614
383.6,1.651
383.8,1.596
384,1.457
384.2,1.244
384.4,0.949
384.6,0.639
384.8,0.396
385,0.237
385.2,0.149
385.4,0.109
385.6,0.084992
385.8,0.07198
386,0.066427
386.2,0.065203
386.4,0.072356
386.6,0.085489
386.8,0.104
387,0.127
387.2,0.161
387.4,0.244
387.6,0.421
387.8,0.753
388,1.193
388.2,1.496
388.4,1.698
388.6,1.796
388.8,1.804
389,1.712
389.2,1.497
389.4,1.187
389.6,0.881
389.8,0.646
390,0.526
390.2,0.462
390.4,0.412
390.6,0.359
390.8,0.295
391,0.213
391.2,0.138
391.4,0.081448
391.6,0.045479
391.8,0.026333
392,0.018547
392.2,0.014434
