Type,Dichroic
Maker,"Semrock"
ProductName,"FF510-Di02-25x36"
Comment,""
Public,1
wavedataset
320,1E-05
320.2,1E-05
320.4,1E-05
320.6,1E-05
320.8,1E-05
321,1E-05
321.2,1E-05
321.4,1E-05
321.6,1E-05
321.8,1E-05
322,1E-05
322.2,1E-05
322.4,1E-05
322.6,1E-05
322.8,1E-05
323,1E-05
323.2,1E-05
323.4,1E-05
323.6,1E-05
323.8,1E-05
324,1E-05
324.2,1E-05
324.4,1E-05
324.6,1E-05
324.8,1E-05
325,1E-05
325.2,1E-05
325.4,1E-05
325.6,1E-05
325.8,1E-05
326,1E-05
326.2,1E-05
326.4,1E-05
326.6,1E-05
326.8,1E-05
327,1E-05
327.2,1E-05
327.4,1E-05
327.6,1E-05
327.8,1E-05
328,1E-05
328.2,4.5143E-05
328.4,0.00020379
328.6,0.00040885
328.8,0.00036452
329,0.000325
329.2,8.0748E-05
329.4,2.0062E-05
329.6,1E-05
329.8,1E-05
330,1E-05
330.2,1E-05
330.4,1E-05
330.6,1E-05
330.8,1E-05
331,1E-05
331.2,4.9386E-05
331.4,0.00024389
331.6,0.000542
331.8,0.000542
332,0.000542
332.2,0.00058286
332.4,0.0006268
332.6,0.00028205
332.8,5.3109E-05
333,1E-05
333.2,1E-05
333.4,1E-05
333.6,1E-05
333.8,1E-05
334,1E-05
334.2,7.6639E-05
334.4,0.00058735
334.6,0.00058735
334.8,7.6639E-05
335,1E-05
335.2,4.5143E-05
335.4,0.00020379
335.6,0.00020379
335.8,4.5143E-05
336,1E-05
336.2,1E-05
336.4,1E-05
336.6,1E-05
336.8,1E-05
337,1E-05
337.2,1E-05
337.4,1E-05
337.6,1E-05
337.8,1E-05
338,1E-05
338.2,9.6994E-05
338.4,0.00094079
338.6,0.00094079
338.8,9.6994E-05
339,1E-05
339.2,5.9595E-05
339.4,0.00035515
339.6,0.00035515
339.8,5.9595E-05
340,1E-05
340.2,1E-05
340.4,1E-05
340.6,1E-05
340.8,1E-05
341,1E-05
341.2,1E-05
341.4,1E-05
341.6,1E-05
341.8,1E-05
342,1E-05
342.2,1E-05
342.4,1E-05
342.6,2.3052E-05
342.8,0.0001225
343,0.000651
343.2,0.00088707
343.4,0.0012088
343.6,0.00052435
343.8,7.2412E-05
344,1E-05
344.2,1E-05
344.4,1E-05
344.6,1E-05
344.8,1E-05
345,1E-05
345.2,5.3141E-05
345.4,0.0002824
345.6,0.00045452
345.8,0.00022156
346,0.000108
346.2,0.00027179
346.4,0.00068396
346.6,0.0012925
346.8,0.0018342
347,0.002603
347.2,0.0031269
347.4,0.0037563
347.6,0.004296
347.8,0.0046775
348,0.005093
348.2,0.0055424
348.4,0.0060315
348.6,0.0064571
348.8,0.0068004
349,0.007162
349.2,0.0060879
349.4,0.0051748
349.6,0.0046573
349.8,0.004438
350,0.004229
350.2,0.0031035
350.4,0.0022775
350.6,0.00067953
350.8,8.2433E-05
351,1E-05
351.2,1E-05
351.4,1E-05
351.6,1E-05
351.8,1E-05
352,1E-05
352.2,0.00010118
352.4,0.0010236
352.6,0.0037647
352.8,0.0050327
353,0.006728
353.2,0.0068554
353.4,0.0069852
353.6,0.0061185
353.8,0.004607
354,0.003469
354.2,0.0052471
354.4,0.0079366
354.6,0.010424
354.8,0.01189
355,0.013561
355.2,0.013557
355.4,0.013553
355.6,0.013012
355.8,0.011997
356,0.011061
356.2,0.011189
356.4,0.011319
356.6,0.011114
356.8,0.010591
357,0.010092
357.2,0.0074119
357.4,0.0054435
357.6,0.0047888
357.8,0.0050465
358,0.005318
358.2,0.0017386
358.4,0.0005684
358.6,0.000162
358.8,4.0249E-05
359,1E-05
359.2,1E-05
359.4,1E-05
359.6,1E-05
359.8,1E-05
360,1E-05
360.2,1E-05
360.4,1E-05
360.6,1E-05
360.8,1E-05
361,1E-05
361.2,4.5143E-05
361.4,0.00020379
361.6,0.00046979
361.8,0.00055302
362,0.000651
362.2,0.0001225
362.4,2.3052E-05
362.6,1E-05
362.8,1E-05
363,1E-05
363.2,1E-05
363.4,1E-05
363.6,1E-05
363.8,1E-05
364,1E-05
364.2,1E-05
364.4,1E-05
364.6,1E-05
364.8,1E-05
365,1E-05
365.2,1E-05
365.4,1E-05
365.6,1.6095E-05
365.8,4.1692E-05
366,0.000108
366.2,4.1692E-05
366.4,1.6095E-05
366.6,1E-05
366.8,1E-05
367,1E-05
367.2,1E-05
367.4,1E-05
367.6,1E-05
367.8,1E-05
368,1E-05
368.2,1E-05
368.4,1E-05
368.6,1.8488E-05
368.8,6.3193E-05
369,0.000216
369.2,0.0001637
369.4,0.00012406
369.6,0.00018579
369.8,0.0005498
370,0.001627
370.2,0.0029606
370.4,0.0053872
370.6,0.0077432
370.8,0.0087912
371,0.009981
371.2,0.010835
371.4,0.011763
371.6,0.0127
371.8,0.013636
372,0.014641
372.2,0.015355
372.4,0.016103
372.6,0.016293
372.8,0.015903
373,0.015523
373.2,0.014662
373.4,0.013849
373.6,0.012482
373.8,0.010733
374,0.00923
374.2,0.0070271
374.4,0.0053499
374.6,0.0043146
374.8,0.003686
375,0.003149
375.2,0.0030599
375.4,0.0029734
375.6,0.0028627
375.8,0.0027308
376,0.002605
376.2,0.0026897
376.4,0.0027772
376.6,0.0031631
376.8,0.0039741
377,0.004993
377.2,0.00477
377.4,0.0045569
377.6,0.0035402
377.8,0.0022366
378,0.001413
378.2,0.001608
378.4,0.0018298
378.6,0.0021006
378.8,0.0024326
379,0.002817
379.2,0.002485
379.4,0.0021922
379.6,0.00070946
379.8,8.4229E-05
380,1E-05
380.2,1E-05
380.4,1E-05
380.6,1E-05
380.8,1E-05
381,1E-05
381.2,1E-05
381.4,1E-05
381.6,1E-05
381.8,1E-05
382,1E-05
382.2,1E-05
382.4,1E-05
382.6,1E-05
382.8,1E-05
383,1E-05
383.2,1E-05
383.4,1E-05
383.6,1E-05
383.8,1E-05
384,1E-05
384.2,1E-05
384.4,1E-05
384.6,1E-05
384.8,1E-05
385,1E-05
385.2,4.9349E-05
385.4,0.00024353
385.6,0.00024353
385.8,4.9349E-05
386,1E-05
386.2,1E-05
386.4,1E-05
386.6,1E-05
386.8,1E-05
387,1E-05
387.2,6.7688E-05
387.4,0.00045816
387.6,0.00091917
387.8,0.00054656
388,0.000325
388.2,8.0748E-05
388.4,2.0062E-05
388.6,1E-05
388.8,1E-05
389,1E-05
389.2,1E-05
389.4,1E-05
389.6,1E-05
389.8,1E-05
390,1E-05
390.2,1E-05
390.4,1E-05
390.6,1E-05
390.8,1E-05
391,1E-05
391.2,1E-05
391.4,1E-05
391.6,1E-05
391.8,1E-05
392,1E-05
392.2,1E-05
392.4,1E-05
392.6,1E-05
392.8,1E-05
393,1E-05
393.2,1E-05
393.4,1E-05
393.6,1E-05
393.8,1E-05
394,1E-05
394.2,1E-05
394.4,1E-05
394.6,1E-05
394.8,1E-05
395,1E-05
395.2,1E-05
395.4,1E-05
395.6,1E-05
395.8,1E-05
396,1E-05
396.2,1E-05
396.4,1E-05
396.6,1E-05
396.8,1E-05
397,1E-05
397.2,1E-05
397.4,1E-05
397.6,1E-05
397.8,1E-05
398,1E-05
398.2,1E-05
398.4,1E-05
398.6,1E-05
398.8,1E-05
399,1E-05
399.2,1E-05
399.4,1E-05
399.6,1E-05
399.8,1E-05
400,1E-05
400.2,1E-05
400.4,1E-05
400.6,1E-05
400.8,1E-05
401,1E-05
401.2,1E-05
401.4,1E-05
401.6,1E-05
401.8,1E-05
402,1E-05
402.2,1E-05
402.4,1E-05
402.6,1E-05
402.8,1E-05
403,1E-05
403.2,1E-05
403.4,1E-05
403.6,1E-05
403.8,1E-05
404,1E-05
404.2,1E-05
404.4,1E-05
404.6,1E-05
404.8,1E-05
405,1E-05
405.2,1E-05
405.4,1E-05
405.6,1E-05
405.8,1E-05
406,1E-05
406.2,1E-05
406.4,1E-05
406.6,1E-05
406.8,1E-05
407,1E-05
407.2,1E-05
407.4,1E-05
407.6,1E-05
407.8,1E-05
408,1E-05
408.2,1E-05
408.4,1E-05
408.6,1E-05
408.8,1E-05
409,1E-05
409.2,1E-05
409.4,1E-05
409.6,1E-05
409.8,1E-05
410,1E-05
410.2,1E-05
410.4,1E-05
410.6,1E-05
410.8,1E-05
411,1E-05
411.2,1E-05
411.4,1E-05
411.6,1E-05
411.8,1E-05
412,1E-05
412.2,1E-05
412.4,1E-05
412.6,1E-05
412.8,1E-05
413,1E-05
413.2,1E-05
413.4,1E-05
413.6,1E-05
413.8,1E-05
414,1E-05
414.2,1E-05
414.4,1E-05
414.6,1E-05
414.8,1E-05
415,1E-05
415.2,1E-05
415.4,1E-05
415.6,1E-05
415.8,1E-05
416,1E-05
416.2,1E-05
416.4,1E-05
416.6,1E-05
416.8,1E-05
417,1E-05
417.2,1E-05
417.4,1E-05
417.6,1E-05
417.8,1E-05
418,1E-05
418.2,1E-05
418.4,1E-05
418.6,1E-05
418.8,1E-05
419,1E-05
419.2,1E-05
419.4,1E-05
419.6,1E-05
419.8,1E-05
420,1E-05
420.2,1E-05
420.4,1E-05
420.6,1E-05
420.8,1E-05
421,1E-05
421.2,1E-05
421.4,1E-05
421.6,1E-05
421.8,1E-05
422,1E-05
422.2,1E-05
422.4,1E-05
422.6,1E-05
422.8,1E-05
423,1E-05
423.2,1E-05
423.4,1E-05
423.6,1E-05
423.8,1E-05
424,1E-05
424.2,1E-05
424.4,1E-05
424.6,1E-05
424.8,1E-05
425,1E-05
425.2,1E-05
425.4,1E-05
425.6,1E-05
425.8,1E-05
426,1E-05
426.2,1E-05
426.4,1E-05
426.6,1E-05
426.8,1E-05
427,1E-05
427.2,1E-05
427.4,1E-05
427.6,1E-05
427.8,1E-05
428,1E-05
428.2,1E-05
428.4,1E-05
428.6,1E-05
428.8,1E-05
429,1E-05
429.2,1E-05
429.4,1E-05
429.6,1.6065E-05
429.8,4.146E-05
430,0.000107
430.2,0.00025832
430.4,0.00062364
430.6,0.0003882
430.8,6.2306E-05
431,1E-05
431.2,1E-05
431.4,1E-05
431.6,1E-05
431.8,1E-05
432,1E-05
432.2,1E-05
432.4,1E-05
432.6,1E-05
432.8,1E-05
433,1E-05
433.2,1E-05
433.4,1E-05
433.6,1E-05
433.8,1E-05
434,1E-05
434.2,1E-05
