Type,Dichroic
Maker,"Semrock"
ProductName,"FF560/659-Di01-25x36"
Comment,""
Public,1
wavedataset
300,3.697
300.2,3.765
300.4,3.61
300.6,3.072
300.8,2.533
301,1.967
301.2,1.558
301.4,1.261
301.6,1.098
301.8,0.982
302,0.934
302.2,0.908
302.4,0.91
302.6,0.959
302.8,1.034
303,1.215
303.2,1.505
303.4,2.062
303.6,2.942
303.8,4.286
304,5.667
304.2,7.19
304.4,8.254
304.6,8.769
304.8,8.818
305,8.414
305.2,7.765
305.4,6.788
305.6,5.77
305.8,4.866
306,4.245
306.2,3.834
306.4,3.858
306.6,4.43
306.8,5.728
307,7.648
307.2,9.569
307.4,10.932
307.6,11.15
307.8,10.235
308,8.41
308.2,6.587
308.4,5.13
308.6,4.42
308.8,4.1
309,4.018
309.2,3.844
309.4,3.692
309.6,3.412
309.8,3.187
310,3.053
310.2,3.136
310.4,3.746
310.6,5.052
310.8,6.94
311,8.579
311.2,9.448
311.4,9.319
311.6,8.124
311.8,6.119
312,4.143
312.2,2.835
312.4,2.159
312.6,2.035
312.8,2.043
313,2.342
313.2,2.884
313.4,3.815
313.6,5.057
313.8,6.412
314,7.661
314.2,8.535
314.4,8.899
314.6,8.803
314.8,8.399
315,8.166
315.2,8.421
315.4,9.385
315.6,11.467
315.8,14.881
316,19.629
316.2,25.599
316.4,32.292
316.6,38.591
316.8,43.392
317,46.039
317.2,45.927
317.4,43.828
317.6,40.48
317.8,36.566
318,32.541
318.2,28.264
318.4,24.143
318.6,20.003
318.8,16.055
319,12.546
319.2,9.695
319.4,7.575
319.6,6.125
319.8,5.282
320,4.813
320.2,4.661
320.4,4.762
320.6,5.197
320.8,5.948
321,7.194
321.2,9.007
321.4,11.296
321.6,13.801
321.8,16.206
322,18.435
322.2,20.445
322.4,22.493
322.6,25.099
322.8,28.523
323,32.574
323.2,36.113
323.4,38.574
323.6,39.105
323.8,36.898
324,32.643
324.2,26.609
324.4,19.963
324.6,14.223
324.8,9.788
325,6.796
325.2,5.004
325.4,3.914
325.6,3.295
325.8,2.925
326,2.765
326.2,2.679
326.4,2.684
326.6,2.787
326.8,3.012
327,3.422
327.2,3.969
327.4,4.64
327.6,5.303
327.8,5.937
328,6.309
328.2,6.342
328.4,6.062
328.6,5.57
328.8,5.005
329,4.471
329.2,4.158
329.4,4.188
329.6,4.6
329.8,5.5
330,6.939
330.2,8.835
330.4,10.688
330.6,12.269
330.8,13.342
331,13.661
331.2,13.179
331.4,11.904
331.6,10.207
331.8,8.591
332,7.303
332.2,6.599
332.4,6.442
332.6,6.926
332.8,8.003
333,9.601
333.2,11.772
333.4,14.293
333.6,16.791
333.8,18.699
334,19.962
334.2,20.492
334.4,20.419
334.6,19.989
334.8,19.598
335,19.378
335.2,19.388
335.4,19.461
335.6,19.327
335.8,18.973
336,18.3
336.2,17.317
336.4,16.172
336.6,14.98
336.8,13.795
337,12.792
337.2,11.953
337.4,11.337
337.6,10.925
337.8,10.661
338,10.494
338.2,10.506
338.4,10.578
338.6,10.762
338.8,11.133
339,11.63
339.2,12.34
339.4,13.323
339.6,14.634
339.8,16.354
340,18.383
340.2,20.865
340.4,23.944
340.6,27.376
340.8,31.216
341,35.13
341.2,38.29
341.4,39.663
341.6,39.196
341.8,36.951
342,33.35
342.2,28.723
342.4,23.321
342.6,18.227
342.8,14.212
343,11.4
343.2,9.576
343.4,8.552
343.6,8.145
343.8,8.17
344,8.72
344.2,9.87
344.4,11.773
344.6,14.675
344.8,18.207
345,21.873
345.2,24.825
345.4,26.586
345.6,26.794
345.8,25.604
346,23.131
346.2,19.692
346.4,15.871
346.6,12.474
346.8,10.223
347,9.05
347.2,8.671
347.4,8.978
347.6,9.969
347.8,11.836
348,14.686
348.2,18.512
348.4,22.989
348.6,27.531
348.8,31.564
349,34.592
349.2,36.67
349.4,37.835
349.6,38.285
349.8,38.746
350,39.79
350.2,40.824
350.4,41.365
350.6,40.778
350.8,38.863
351,35.386
351.2,30.417
351.4,24.576
351.6,18.746
351.8,13.753
352,10.105
352.2,7.716
352.4,6.187
352.6,5.221
352.8,4.607
353,4.251
353.2,4.068
353.4,4.041
353.6,4.155
353.8,4.409
354,4.884
354.2,5.646
354.4,6.864
354.6,8.692
354.8,11.342
355,14.92
355.2,19.186
355.4,23.367
355.6,26.619
355.8,28.581
356,29.038
356.2,28.139
356.4,25.841
356.6,22.547
356.8,19.155
357,16.344
357.2,14.526
357.4,13.66
357.6,13.647
357.8,14.183
358,15.256
358.2,16.946
358.4,19.171
358.6,22.025
358.8,25.586
359,29.681
359.2,34.324
359.4,39.301
359.6,44.283
359.8,49.157
360,53.519
360.2,57.136
360.4,59.863
360.6,61.662
360.8,62.317
361,62.46
361.2,62.077
361.4,61.609
361.6,61.123
361.8,60.913
362,61.425
362.2,62.509
362.4,64.355
362.6,66.904
362.8,70.09
363,73.46
363.2,76.937
363.4,79.944
363.6,81.92
363.8,82.968
364,82.774
364.2,81.556
364.4,79.418
364.6,76.812
364.8,74.002
365,71.245
365.2,68.834
365.4,67.537
365.6,67.001
365.8,67.567
366,68.758
366.2,70.399
366.4,72.413
366.6,74.017
366.8,74.782
367,75.11
367.2,74.603
367.4,73.3
367.6,70.948
367.8,68.123
368,64.939
368.2,61.702
368.4,59.013
368.6,56.748
368.8,55.155
369,54.467
369.2,54.335
369.4,55.223
369.6,57.03
369.8,59.431
370,62.371
370.2,65.997
370.4,69.521
370.6,73.024
370.8,76.134
371,79.011
371.2,81.549
371.4,83.525
371.6,85.068
371.8,86.017
372,86.044
372.2,85.623
372.4,84.264
372.6,82.304
372.8,79.706
373,76.352
373.2,72.641
373.4,68.593
373.6,64.337
373.8,60.247
374,55.937
374.2,51.492
374.4,47.505
374.6,43.342
374.8,39.141
375,35.508
375.2,31.921
375.4,28.679
375.6,25.738
375.8,23.159
376,20.861
376.2,18.972
376.4,17.354
376.6,15.998
376.8,15.052
377,14.25
377.2,13.732
377.4,13.349
377.6,13.247
377.8,13.408
378,13.705
378.2,14.346
378.4,15.192
378.6,16.343
378.8,17.771
379,19.364
379.2,21.086
379.4,22.733
379.6,24.106
379.8,25.209
380,25.858
380.2,25.932
380.4,25.708
380.6,25.009
380.8,24.047
381,23.263
381.2,23.07
381.4,23.378
381.6,24.439
381.8,25.918
382,27.532
382.2,29.312
382.4,31.063
382.6,32.605
382.8,33.648
383,33.588
383.2,32.304
383.4,30.117
383.6,27.25
383.8,24.017
384,20.618
384.2,17.099
384.4,13.687
384.6,10.699
384.8,8.357
385,6.591
385.2,5.406
385.4,4.591
385.6,4.062
385.8,3.664
386,3.382
386.2,3.2
386.4,3.081
386.6,3.04
386.8,3.016
387,3.05
387.2,3.087
387.4,3.188
387.6,3.369
387.8,3.606
388,3.935
388.2,4.415
388.4,5.097
388.6,6.058
388.8,7.416
389,9.36
389.2,11.863
389.4,14.846
389.6,18.07
389.8,21.287
390,24.245
390.2,26.862
390.4,28.921
390.6,30.375
390.8,31.255
391,31.62
391.2,31.671
391.4,31.757
391.6,32.285
391.8,33.619
392,35.776
392.2,38.989
392.4,43.013
392.6,47.696
392.8,52.48
393,57.151
393.2,61.196
393.4,64.04
393.6,65.775
393.8,65.945
394,64.523
394.2,62.193
394.4,58.464
394.6,54.06
394.8,49.119
395,43.845
395.2,38.477
395.4,33.457
395.6,28.596
395.8,24.197
396,20.224
396.2,16.782
396.4,13.76
396.6,11.25
396.8,9.225
397,7.68
397.2,6.476
397.4,5.549
397.6,4.867
397.8,4.357
398,3.956
398.2,3.677
398.4,3.453
398.6,3.306
398.8,3.196
399,3.128
399.2,3.101
399.4,3.12
399.6,3.152
399.8,3.239
400,3.387
400.2,3.563
400.4,3.835
400.6,4.233
400.8,4.752
401,5.467
401.2,6.46
401.4,7.715
401.6,9.157
401.8,10.699
402,12.155
402.2,13.412
402.4,14.344
402.6,14.937
402.8,15.162
403,14.881
403.2,14.191
403.4,13.226
403.6,12.165
403.8,11.063
404,10.117
404.2,9.349
404.4,8.823
404.6,8.538
404.8,8.448
405,8.562
405.2,8.929
405.4,9.57
405.6,10.493
405.8,11.864
406,13.835
406.2,16.568
406.4,20.34
406.6,25.256
406.8,31.209
407,37.514
407.2,43.473
407.4,48.228
407.6,51.566
407.8,53.297
408,53.562
408.2,51.953
408.4,48.828
408.6,44.287
408.8,38.909
409,33.543
409.2,28.965
409.4,25.503
409.6,23.23
409.8,21.876
410,21.191
410.2,21.211
410.4,21.701
410.6,22.82
410.8,24.338
411,26.166
411.2,28.235
411.4,30.354
411.6,32.508
411.8,34.544
412,36.323
412.2,37.723
412.4,38.703
412.6,39.18
412.8,39.308
413,39.189
413.2,38.72
413.4,37.93
413.6,37.09
413.8,36.254
414,35.596
414.2,35.162
414.4,34.95
414.6,35.121
414.8,35.658
415,36.813
415.2,38.481
415.4,40.645
415.6,43.184
415.8,46.124
416,49.264
416.2,52.55
416.4,55.538
416.6,58.264
416.8,60.544
417,62.162
417.2,63.207
417.4,63.694
417.6,63.501
417.8,63.021
418,62.119
418.2,61.158
418.4,60.098
418.6,59.373
418.8,58.752
419,58.652
419.2,59.063
419.4,60.135
419.6,61.706
419.8,63.823
420,66.228
420.2,68.708
420.4,71.072
420.6,72.944
420.8,74.474
421,75.336
421.2,75.105
421.4,74.148
421.6,72.383
421.8,69.733
422,66.374
422.2,62.317
422.4,57.902
422.6,53.3
422.8,48.797
423,44.245
423.2,40.015
423.4,35.964
423.6,32.395
423.8,28.994
424,26.054
424.2,23.49
424.4,21.293
424.6,19.49
424.8,18.026
425,16.793
425.2,15.844
425.4,15.136
425.6,14.655
425.8,14.35
426,14.266
426.2,14.417
426.4,14.754
426.6,15.419
426.8,16.405
427,17.786
427.2,19.695
427.4,22.308
427.6,25.584
427.8,29.373
428,33.64
428.2,38.051
428.4,42.3
428.6,46.159
428.8,49.494
429,52.013
429.2,53.492
429.4,53.886
429.6,53.26
429.8,51.395
430,48.849
430.2,45.675
430.4,42.33
430.6,39.023
430.8,35.886
431,33.269
431.2,30.974
431.4,29.211
431.6,28.085
431.8,27.628
432,28.101
432.2,29.263
432.4,31.266
432.6,34.109
432.8,37.301
433,40.787
433.2,44.334
433.4,47.585
433.6,50.55
433.8,52.692
434,54.244
434.2,55.023
434.4,54.664
434.6,53.242
434.8,50.936
435,49.838
435.2,46.566
435.4,43.204
435.6,39.754
435.8,36.335
436,33.324
436.2,30.624
436.4,28.172
436.6,26.44
436.8,25.269
437,24.779
437.2,25.126
437.4,26.312
437.6,28.268
437.8,30.807
438,33.71
438.2,36.703
438.4,39.59
438.6,42.331
438.8,44.904
439,47.192
439.2,48.924
439.4,50.146
439.6,50.733
439.8,50.613
440,50.049
440.2,48.882
440.4,47.753
440.6,46.585
440.8,45.486
441,44.401
441.2,43.28
441.4,42.146
441.6,40.869
441.8,39.599
442,38.274
442.2,37.027
442.4,35.755
442.6,34.57
442.8,33.502
443,32.455
443.2,31.421
443.4,30.308
443.6,29.25
443.8,28.156
444,27.103
444.2,26.075
444.4,24.98
444.6,23.786
444.8,22.357
445,20.793
445.2,19.051
445.4,17.293
