Type,Dichroic
Maker,"Chroma"
ProductName,"Q515LP"
Comment,""
Public,1
wavedataset
380,7.55235
381,7.61538
382,7.74396
383,8.17959
384,9.07031
385,10.6871
386,13.0596
387,15.7496
388,19.6731
389,24.7548
390,30.109
391,35.283
392,39.3962
393,43.2791
394,47.1201
395,50.5548
396,53.385
397,56.4562
398,60.155
399,64.7015
400,69.3729
401,73.8539
402,75.7579
403,74.1308
404,69.9667
405,65.4282
406,60.848
407,57.7334
408,56.773
409,58
410,62.1529
411,68.0704
412,75.1166
413,80.1013
414,80.5778
415,77.0233
416,72.0985
417,66.5723
418,62.3102
419,60.4667
420,61.0987
421,64.6573
422,70.349
423,76.813
424,80.8245
425,79.912
426,75.9554
427,70.2308
428,63.76
429,58.5606
430,55.3252
431,54.6067
432,56.9741
433,62.5309
434,70.8264
435,78.5429
436,81.3352
437,78.2722
438,71.7485
439,64.0889
440,56.3196
441,49.3334
442,44.0429
443,40.96
444,40.3104
445,42.9302
446,48.6081
447,58.3231
448,68.2901
449,70.52
450,66.5402
451,62.8391
452,59.3922
453,53.7832
454,46.4415
455,40.1318
456,35.9942
457,35.6147
458,42.708
459,48.1273
460,40.2075
461,30.7292
462,30.743
463,37.4222
464,45.013
465,43.7132
466,33.1694
467,20.5955
468,11.2736
469,6.39246
470,3.96126
471,2.60991
472,1.81567
473,1.31952
474,1.00294
475,0.811595
476,0.678757
477,0.569019
478,0.481518
479,0.417831
480,0.377636
481,0.344044
482,0.31749
483,0.299866
484,0.28796
485,0.282879
486,0.279187
487,0.279943
488,0.285731
489,0.294833
490,0.307926
491,0.323894
492,0.345113
493,0.378433
494,0.420339
495,0.4649
496,0.51836
497,0.595561
498,0.690636
499,0.819068
500,0.977094
501,1.19339
502,1.47154
503,1.85106
504,2.35327
505,2.93905
506,3.83789
507,5.11925
508,7.01727
509,9.63441
510,13.4625
511,18.5629
512,25.2489
513,33.0232
514,41.065
515,47.6227
516,52.9811
517,57.9083
518,62.6759
519,68.2201
520,74.3734
521,80.1646
522,84.4342
523,86.9096
524,88.1482
525,88.6645
526,88.9749
527,89.4203
528,89.944
529,90.4557
530,90.953
531,91.4221
532,91.8173
533,92.0531
534,92.2678
535,92.4027
536,92.5302
537,92.7094
538,92.8758
539,93.0109
540,93.2246
541,93.4096
542,93.5612
543,93.7059
544,93.8139
545,93.7936
546,93.8079
547,93.687
548,93.4266
549,93.2455
550,93.1165
551,92.9363
552,92.7604
553,92.7626
554,92.6836
555,92.6528
556,92.7762
557,92.9379
558,93.1016
559,93.2757
560,93.4127
561,93.5388
562,93.6616
563,93.7334
564,93.8073
565,93.7817
566,93.733
567,93.6696
568,93.5713
569,93.4224
570,93.2061
571,93.0545
572,92.9013
573,92.7595
574,92.6244
575,92.5251
576,92.4113
577,92.4121
578,92.4277
579,92.4595
580,92.5457
581,92.6356
582,92.6889
583,92.7612
584,92.8066
585,92.8894
586,92.9087
587,92.9527
588,92.9945
589,92.9669
590,92.9632
591,92.9218
592,92.9046
593,92.8866
594,92.9105
595,92.926
596,92.9275
597,92.9487
598,92.938
599,92.9875
600,93.0262
601,93.128
602,93.2388
603,93.3071
604,93.4046
605,93.4767
606,93.5231
607,93.5707
608,93.591
609,93.6277
610,93.6629
611,93.6743
612,93.654
613,93.5786
614,93.4188
615,93.1853
616,93.0192
617,92.8548
618,92.6404
619,92.5018
620,92.4002
621,92.2801
622,92.0871
623,91.9756
624,91.8597
625,91.7653
626,91.6902
627,91.7246
628,91.7549
629,91.8169
630,91.9342
631,92.1146
632,92.2534
633,92.3709
634,92.5121
635,92.7086
636,92.8993
637,93.1206
638,93.3704
639,93.6129
640,93.8507
641,93.9853
642,94.0929
643,94.1822
644,94.2958
645,94.4194
646,94.4465
647,94.425
648,94.3586
649,94.2628
650,94.1761
651,94.0531
652,93.8827
653,93.7398
654,93.5447
655,93.3396
656,93.0798
657,92.8087
658,92.6344
659,92.3454
660,92.0671
661,91.8948
662,91.6818
663,91.4485
664,91.2365
665,91.062
666,90.9449
667,90.9089
668,90.8692
669,90.7888
670,90.7304
671,90.6977
672,90.6611
673,90.7054
674,90.807
675,90.9023
676,91.063
677,91.2672
678,91.4293
679,91.5958
680,91.7432
681,91.9598
682,92.1745
683,92.2746
684,92.4137
685,92.5692
686,92.6825
687,92.6796
688,92.7238
689,92.7306
690,92.6675
691,92.725
692,92.6368
693,92.4271
694,92.2533
695,92.1434
696,91.9869
697,91.8406
698,91.5604
699,91.3543
700,91.0546
701,90.7702
702,90.6083
703,90.373
704,90.0549
705,89.8635
706,89.746
707,89.6372
708,89.5439
709,89.4094
710,89.3895
711,89.3151
712,89.2676
713,89.348
714,89.4155
715,89.5244
716,89.6528
717,89.6999
718,89.8587
719,89.9768
720,90.1921
721,90.2118
722,90.5474
723,90.7349
724,90.8972
725,91.0359
726,91.1054
727,91.2344
728,91.2807
729,91.3586
730,91.3181
731,91.222
732,91.1438
733,90.8623
734,90.6845
735,90.357
736,90.1884
737,89.9188
738,89.7033
739,89.3477
740,88.7634
741,88.434
742,88.0842
743,87.7088
744,87.2249
745,86.5638
746,86.0991
747,85.5231
748,85.238
749,84.6899
750,83.9994
