Type,Emitter
Maker,"Chroma"
ProductName,"51004v2m"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.001
358,0.001
359,0.001
360,0.001
361,0.001
362,0.001
363,0.001
364,0.001
365,0.001
366,0.00156268
367,0.00292308
368,0.00462896
369,0.00710574
370,0.0112653
371,0.0148759
372,0.0155668
373,0.0125148
374,0.0086268
375,0.00456123
376,0.00161672
377,0.001
378,0.001
379,0.001
380,0.001
381,0.001
382,0.001
383,0.001
384,0.001
385,0.001
386,0.001
387,0.001
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.001
396,0.001
397,0.001
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.001
411,0.001
412,0.001
413,0.001
414,0.001
415,0.001
416,0.001
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.001
425,0.001
426,0.001
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0.001
436,0.001
437,0.001
438,0.001
439,0.001
440,0.001
441,0.0140475
442,0.428304
443,13.1042
444,44.0595
445,63.1962
446,72.0102
447,70.1479
448,68.1446
449,69.6708
450,74.3911
451,77.2852
452,77.5134
453,78.3141
454,77.3605
455,73.2122
456,72.0315
457,72.7155
458,69.4751
459,70.9956
460,58.8462
461,39.7172
462,42.1105
463,22.7473
464,17.9365
465,4.21199
466,0.0728038
467,0.00844477
468,0.0012767
469,0.001
470,0.001
471,0.001
472,0.001
473,0.001
474,0.001
475,0.001
476,0.001
477,0.001
478,0.001
479,0.001
480,0.001
481,0.001
482,0.001
483,0.001
484,0.001
485,0.001
486,0.001
487,0.001
488,0.001
489,0.001
490,0.001
491,0.001
492,0.001
493,0.001
494,0.001
495,0.001
496,0.00113623
497,0.00518152
498,0.034504
499,0.354375
500,4.50572
501,36.9833
502,61.6644
503,59.1758
504,72.2837
505,73.1617
506,72.4418
507,75.9153
508,77.5061
509,78.1929
510,77.0784
511,75.9499
512,79.8507
513,85.2903
514,84.9696
515,82.8169
516,84.4097
517,86.8345
518,86.6085
519,86.232
520,86.9919
521,87.0283
522,86.1847
523,85.8765
524,85.4732
525,83.7188
526,80.547
527,77.0082
528,76.0547
529,80.1289
530,84.6525
531,77.4499
532,57.8225
533,53.9012
534,43.0737
535,5.05969
536,0.362954
537,0.0563408
538,0.0139169
539,0.00463951
540,0.00191157
541,0.001
542,0.001
543,0.001
544,0.001
545,0.001
546,0.001
547,0.001
548,0.001
549,0.001
550,0.001
551,0.001
552,0.001
553,0.001
554,0.001
555,0.001
556,0.001
557,0.001
558,0.001
559,0.001
560,0.001
561,0.001
562,0.001
563,0.001
564,0.001
565,0.001
566,0.001
567,0.001
568,0.001
569,0.001
570,0.001
571,0.001
572,0.001
573,0.001
574,0.001
575,0.001
576,0.00176454
577,0.00386086
578,0.00947553
579,0.0278621
580,0.109864
581,0.697063
582,7.91089
583,45.7227
584,45.3569
585,47.1319
586,70.6656
587,82.0825
588,80.2886
589,80.3059
590,81.7265
591,83.1544
592,85.5167
593,87.4846
594,86.3796
595,82.3982
596,79.1104
597,79.3214
598,82.7373
599,86.5913
600,87.5885
601,85.4169
602,83.2126
603,83.4346
604,85.7698
605,87.7462
606,87.1623
607,84.6195
608,82.4374
609,82.2819
610,84.1854
611,86.1207
612,85.6752
613,82.8271
614,80.5553
615,81.6148
616,84.9286
617,86.5674
618,85.4994
619,85.0602
620,85.4235
621,83.2946
622,81.2566
623,77.861
624,61.2724
625,52.9801
626,53.0469
627,10.955
628,0.845878
629,0.140761
630,0.0380925
631,0.013971
632,0.00571925
633,0.0022777
634,0.001
635,0.001
636,0.001
637,0.001
638,0.001
639,0.001
640,0.001
641,0.001
642,0.001
643,0.001
644,0.001
645,0.001
646,0.001
647,0.001
648,0.001
649,0.001
650,0.001
651,0.001
652,0.001
653,0.001
654,0.001
655,0.001
656,0.001
657,0.001
658,0.001
659,0.001
660,0.001
661,0.001
662,0.001
663,0.001
664,0.001
665,0.001
666,0.001
667,0.001
668,0.001
669,0.001
670,0.001
671,0.001
672,0.001
673,0.001
674,0.001
675,0.001
676,0.001
677,0.001
678,0.001
679,0.001
680,0.001
681,0.001
682,0.001
683,0.001
684,0.001
685,0.001
686,0.001
687,0.001
688,0.001
689,0.001
690,0.001
691,0.001
692,0.001
693,0.001
694,0.001
