Type,Emitter
Maker,"Chroma"
ProductName,"61010m"
Comment,""
Public,1
wavedataset
300,0.002661
301,0.001026
302,1E-06
303,1E-06
304,0.0007338
305,1E-06
306,0.005212
307,0.005458
308,0.002693
309,0.002437
310,0.0004745
311,0.006844
312,1E-06
313,0.01086
314,0.0002317
315,0.001039
316,0.0004863
317,1E-06
318,1E-06
319,1E-06
320,1E-06
321,1E-06
322,1E-06
323,1E-06
324,1E-06
325,1E-06
326,1E-06
327,1E-06
328,1E-06
329,1E-06
330,1E-06
331,1E-06
332,1E-06
333,1E-06
334,0.002834
335,1E-06
336,1E-06
337,0.001964
338,1E-06
339,1E-06
340,4.267E-07
341,0.0004466
342,1E-06
343,1E-06
344,1E-06
345,1E-06
346,1E-06
347,0.001251
348,1E-06
349,1E-06
350,1E-06
351,1E-06
352,0.001262
353,1E-06
354,0.0008419
355,0.0004439
356,1E-06
357,1E-06
358,0.0008602
359,1E-06
360,1E-06
361,0.0008669
362,0.000877
363,1E-06
364,1E-06
365,1E-06
366,1E-06
367,1E-06
368,6.214E-05
369,1E-06
370,1E-06
371,1E-06
372,1E-06
373,1E-06
374,5.219E-05
375,1E-06
376,1E-06
377,1E-06
378,1E-06
379,1E-06
380,1E-06
381,1E-06
382,0.002623
383,0.00473
384,0.02125
385,0.05501
386,0.08941
387,0.1014
388,0.128
389,0.1397
390,0.09531
391,0.06805
392,0.02447
393,9.402E-05
394,0.001777
395,1E-06
396,1E-06
397,1E-06
398,1E-06
399,1E-06
400,1E-06
401,1E-06
402,0.0008932
403,1E-06
404,1E-06
405,1E-06
406,0.0008919
407,0.0009133
408,1E-06
409,1E-06
410,1E-06
411,1E-06
412,1E-06
413,1E-06
414,2.594E-05
415,1E-06
416,0.0004774
417,1E-06
418,0.0004668
419,1E-06
420,0.0004546
421,2.044E-05
422,1E-06
423,9.723E-05
424,2.621E-05
425,0.0009622
426,1E-06
427,1E-06
428,4.669E-05
429,1E-06
430,0.0009801
431,1E-06
432,0.0009663
433,1E-06
434,1E-06
435,1E-06
436,0.001435
437,0.001436
438,0.0001453
439,1E-06
440,1E-06
441,0.0009885
442,0.002342
443,0.0009983
444,0.0001159
445,0.000126
446,0.001449
447,0.0005803
448,0.002747
449,0.00489
450,0.01671
451,0.06165
452,0.2505
453,1.408
454,12.48
455,43.08
456,36.38
457,31.22
458,41.6
459,61.06
460,70.57
461,66
462,65.15
463,70.31
464,74.59
465,75.29
466,76.27
467,67.46
468,52
469,33.99
470,2.362
471,0.09576
472,0.007535
473,1E-06
474,0.0005735
475,0.001491
476,0.0001379
477,1E-06
478,0.0006038
479,1E-06
480,0.0005517
481,1E-06
482,0.0001012
483,1E-06
484,0.000122
485,0.0005893
486,0.0001443
487,1E-06
488,1E-06
489,1E-06
490,1E-06
491,1E-06
492,1E-06
493,1E-06
494,1E-06
495,0.001052
496,0.0005981
497,0.001515
498,1E-06
499,1E-06
500,1E-06
501,8.21E-05
502,0.0005672
503,0.00152
504,0.007167
505,0.08906
506,2.198
507,33.11
508,41.85
509,61.01
510,74.73
511,62.88
512,72.22
513,84.22
514,81.06
515,78.18
516,82.55
517,87.18
518,87.01
519,84.37
520,83.34
521,84.19
522,85.25
523,85.64
524,85.32
525,84.16
526,83.32
527,84.26
528,86.39
529,85.65
530,81.03
531,79.46
532,84.55
533,75.3
534,53.62
535,59.25
536,27.47
537,1.649
538,0.1657
539,0.03143
540,0.007796
541,0.002442
542,0.0006565
543,0.001102
544,1E-06
545,1E-06
546,1E-06
547,9.217E-05
548,1E-06
549,1E-06
550,0.001077
551,1E-06
552,0.0006146
553,1E-06
554,1E-06
555,1E-06
556,0.001062
557,1E-06
558,1E-06
559,1E-06
560,0.001555
561,0.0001293
562,0.002027
563,0.0006167
564,1E-06
565,0.002023
566,0.002058
567,1E-06
568,0.0001172
569,1E-06
570,3.203E-05
571,1E-06
572,1E-06
573,1E-06
574,0.001562
575,1E-06
576,0.003704
577,0.002597
578,0.01124
579,0.03679
580,0.163
581,1.291
582,20.98
583,53.27
584,33.81
585,49.18
586,79.03
587,73.09
588,57.47
589,58.37
590,71.24
591,84.07
592,82.8
593,74.18
594,69.82
595,72.91
596,80.95
597,87.23
598,85.67
599,78.17
600,70.5
601,66.77
602,67.05
603,70.41
604,75.56
605,80.21
606,83.2
607,84.38
608,84.59
609,84.79
610,84.99
611,85.26
612,85.04
613,84.92
614,84.91
615,85.25
616,86.15
617,87.03
618,87.38
619,86.66
620,85.19
621,83.18
622,81.62
623,80.76
624,81
625,82.27
626,84.11
627,85.82
628,86.71
629,86.34
630,85.15
631,83.43
632,81.86
633,80.99
634,81.17
635,82.43
636,84.46
637,86.13
638,85.77
639,81.71
640,73.51
641,62.51
642,51.13
643,41.09
644,33.29
645,27.47
646,23.36
647,20.51
648,18.64
649,17.57
650,17.18
651,17.41
652,18.31
653,19.96
654,22.59
655,26.56
656,32.32
657,40.3
658,51.07
659,63.78
660,75.29
661,80.99
662,78.97
663,71.66
664,63.09
665,55.86
666,50.88
667,48.26
668,47.59
669,48.86
670,52
671,56.86
672,62.66
673,68.43
674,72.18
675,72.3
676,68.52
677,62.14
678,54.99
679,48.37
680,42.79
681,38.67
682,35.58
683,33.53
684,32.51
685,32.55
686,33.92
687,37.06
688,42.52
689,49.65
690,51.33
691,37.93
692,19.97
693,9.261
694,4.416
695,2.246
696,1.215
697,0.6966
698,0.4189
699,0.2628
700,0.1692
701,0.1112
702,0.07638
703,0.05291
704,0.03859
705,0.02777
706,0.01619
707,0.01686
708,0.01175
709,0.00674
710,0.006806
711,0.006004
712,0.003835
713,0.005227
714,0.002883
715,0.003333
716,0.0007411
717,0.0002894
718,0.001613
719,0.0002562
720,0.00119
721,0.0007546
722,0.001178
723,0.001174
724,1E-06
725,0.001163
726,0.001192
727,1E-06
728,0.0003109
729,1E-06
730,0.00162
731,0.003424
732,1E-06
733,0.0007627
734,0.0007525
735,1E-06
736,0.002517
737,0.002076
738,1E-06
739,0.001624
740,0.0007554
741,1E-06
742,0.003409
743,1E-06
744,1E-06
745,1E-06
746,1E-06
747,1E-06
748,1E-06
749,1E-06
750,1E-06
751,0.0007072
752,1E-06
753,0.0007556
754,1E-06
755,1E-06
756,0.00118
757,0.002098
758,1E-06
759,0.0003195
760,0.0007438
761,1E-06
762,1E-06
763,0.003038
764,0.001641
765,0.0003178
766,1E-06
767,0.0002869
768,0.0002712
769,0.001177
770,0.0007744
771,0.000762
