Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA420-460(U-FUNA)"
Comment,""
Public,1
wavedataset
300,0.044629
301,0.0546168
302,0.0648911
303,0.267709
304,0.587752
305,0.313602
306,0.271094
307,0.507377
308,1.22277
309,0.913794
310,0.310989
311,0.144085
312,0.341133
313,2.67748
314,1.61353
315,0.27904
316,0.163137
317,0.93018
318,0.844555
319,0.0644542
320,0.0513126
321,0.192105
322,0.0248424
323,-7.87E-05
324,0.000148111
325,0.00065763
326,-5.83E-05
327,-0.000213544
328,-1.84E-06
329,0.000325326
330,0.000113142
331,0.000127455
332,0.000598749
333,-0.000265561
334,0.00069124
335,-0.000207459
336,0.000559195
337,0.0001318
338,-0.000243614
339,0.000105475
340,-0.000186872
341,-0.000389176
342,4.88E-06
343,0.000596586
344,0.000115139
345,0.000238563
346,0.000426264
347,-7.54E-05
348,0.000228582
349,-0.00016347
350,0.00046429
351,6.28E-05
352,-0.000208143
353,0.000178731
354,-0.000188797
355,3.9638E-05
356,0.000305194
357,1.41E-05
358,-0.000123468
359,-0.000429643
360,0.000337549
361,-3.88E-05
362,-0.000266709
363,0.000283946
364,-0.000222351
365,-0.000192866
366,0.000319498
367,0.000249702
368,0.000116912
369,-7.44E-05
370,0.000241692
371,0.000206748
372,0.000235987
373,-0.000166333
374,0.000138613
375,-4.82E-05
376,-5.7E-05
377,-0.000206124
378,0.00020867
379,0.000276779
380,0.000185484
381,5.54E-05
382,0.000257159
383,4.24E-05
384,3.358E-05
385,5.12E-06
386,-0.000179699
387,-9.21E-05
388,0.000108203
389,7.18E-05
390,-0.000126703
391,3.92E-05
392,-0.000166692
393,-1.05E-05
394,0.000195092
395,-7.94E-05
396,7.67E-06
397,0.000105687
398,-1.13E-05
399,0.000109292
400,0.000223903
401,0.000257232
402,8.63E-05
403,0.000250126
404,0.000390856
405,0.00112757
406,0.00207664
407,0.00352184
408,0.00758431
409,0.0166778
410,0.0384662
411,0.0875022
412,0.224933
413,0.623704
414,1.86364
415,6.09486
416,20.3037
417,52.9912
418,84.3619
419,93.3247
420,94.0016
421,94.85
422,95.4225
423,95.284
424,94.7134
425,94.5662
426,94.5162
427,94.8542
428,95.0121
429,95.0779
430,95.0842
431,95.0529
432,95.3913
433,95.501
434,95.3945
435,95.2517
436,94.9899
437,95.0317
438,95.2996
439,95.261
440,95.0776
441,95.1825
442,95.3346
443,95.4417
444,95.4652
445,95.5695
446,95.115
447,94.9424
448,94.6294
449,94.6188
450,94.5696
451,94.6631
452,94.697
453,94.6613
454,94.7459
455,94.8283
456,94.3652
457,94.2655
458,93.9116
459,93.863
460,93.4623
461,93.4762
462,93.2347
463,92.625
464,91.5481
465,89.5069
466,84.743
467,62.1021
468,25.0287
469,6.5254
470,1.72736
471,0.536986
472,0.195674
473,0.0839706
474,0.0405081
475,0.0211776
476,0.0118997
477,0.00752833
478,0.00499932
479,0.00328502
480,0.00296032
481,0.00224417
482,0.00202605
483,0.00197928
484,0.00213309
485,0.00237007
486,0.00358701
487,0.00560041
488,0.0103466
489,0.014315
490,0.0121952
491,0.0068175
492,0.00396909
493,0.00281957
494,0.00244472
495,0.00227156
496,0.00229645
497,0.00242841
498,0.00318287
499,0.00332849
500,0.00262582
501,0.00192931
502,0.00117382
503,0.000768051
504,0.000472041
505,0.000485265
506,0.000511331
507,0.000362161
508,0.000261913
509,0.000377138
510,0.000325233
511,0.000548666
512,0.000561794
513,0.000974395
514,0.00103083
515,0.00105968
516,0.000959343
517,0.000785883
518,0.000606851
519,0.000450444
520,0.000387923
521,0.000323059
522,0.000343891
523,0.000461578
524,0.000516767
525,0.000561623
526,0.000878849
527,0.000988894
528,0.000820588
529,0.00065883
530,0.000607123
531,0.00030578
532,0.000341491
533,7.04E-06
534,0.000189368
535,5.78E-05
536,0.000147395
537,0.000143974
538,7.84E-05
539,0.000205292
540,0.00025117
541,0.000385279
542,0.000629045
543,0.000534305
544,0.000475892
545,0.000228392
546,0.000182201
547,3.49E-05
548,0.000100552
549,0.000179984
550,0.000103425
551,0.000131783
552,9.31E-05
553,0.000141852
554,0.000180774
555,0.000424187
556,0.000511733
557,0.000808838
558,0.000391242
559,0.00019958
560,0.000120504
561,0.000155188
562,4.8E-05
563,-7.86E-05
564,0.000149532
565,5.38E-05
566,7.72E-05
567,8.16E-05
568,0.000138297
569,0.000265055
570,0.00069276
571,0.00099524
572,0.000556308
573,0.000180417
574,0.000103948
575,9.19E-05
576,4.01E-05
577,-7.62E-05
578,9.54E-05
579,7.86E-06
580,7.94E-05
581,-8.52E-05
582,4.021E-05
583,6.91E-05
584,5.12E-05
585,8.87E-05
586,-1.29E-05
587,7.53E-05
588,6.86E-05
589,6.65E-05
590,3.56E-05
591,0.000124236
592,0.000158451
593,0.000167817
594,0.000423538
595,0.000473646
596,0.000392629
597,0.000346301
598,0.00017525
599,7.97E-05
600,0.000120834
601,9.72E-05
602,0.000111103
603,0.000113988
604,0.000112067
605,0.00012676
606,0.000121688
607,0.000319824
608,0.000741508
609,0.00367721
610,0.0162066
611,0.00591675
612,0.000908776
613,0.000373951
614,0.000206711
615,0.000213256
616,4.13E-05
617,0.000168691
618,0.000161752
619,0.000170071
620,0.000112977
621,0.000136578
622,0.000161001
623,0.000206191
624,0.00023406
625,0.000357995
626,0.000501973
627,0.000863413
628,0.00166429
629,0.00401657
630,0.00838711
631,0.00917493
632,0.00547385
633,0.00343736
634,0.00248299
635,0.00217158
636,0.00222186
637,0.00249781
638,0.00292396
