Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA460-510CFP"
Comment,""
Public,1
wavedataset
300,5.00889
301,7.18922
302,10.2944
303,6.31517
304,10.6704
305,12.3122
306,7.81855
307,14.5755
308,18.9728
309,11.461
310,13.7917
311,13.8311
312,8.76122
313,9.01065
314,10.3583
315,9.50496
316,13.8289
317,34.8666
318,56.9868
319,52.9691
320,49.8843
321,42.0256
322,43.1321
323,46.7415
324,33.7273
325,31.2542
326,44.3367
327,36.3364
328,26.331
329,40.9021
330,39.3514
331,18.742
332,23.6882
333,44.4648
334,22.3608
335,12.3356
336,33.7839
337,46.3794
338,15.9659
339,20.8092
340,53.6168
341,26.9962
342,15.5472
343,41.9136
344,34.2619
345,14.5449
346,35.8112
347,43.3987
348,16.967
349,34.7366
350,28.6974
351,15.2919
352,23.8819
353,6.3189
354,9.42375
355,1.68299
356,0.598414
357,0.00271752
358,-9.45E-06
359,-0.000142216
360,0.00051191
361,6.59E-05
362,-0.000177441
363,0.000481648
364,0.000208863
365,-0.00014319
366,-5.96E-05
367,0.000220905
368,4.02E-05
369,-0.000255375
370,-0.000206054
371,-4.87E-05
372,0.00020215
373,0.000395415
374,-6.8E-05
375,-1.41E-05
376,-4.11E-05
377,-5.81E-05
378,-5.24E-05
379,2.56E-05
380,-0.000228309
381,-4.74E-05
382,-0.00040993
383,7.96E-05
384,-0.00027676
385,7.3E-05
386,-0.000137475
387,0.000158675
388,-0.000138389
389,-0.00017004
390,-5.16E-05
391,0.000287011
392,1.94E-05
393,-1.36E-05
394,0.000101173
395,-3.93E-05
396,0.000105715
397,3.95E-05
398,2.63E-05
399,-8.59E-05
400,6.39E-05
401,-0.000285229
402,-0.000209667
403,-0.000274019
404,4.45E-05
405,-5.4E-05
406,0.000177362
407,-5.95E-05
408,-0.000169146
409,-0.00012549
410,0.000102373
411,-7.69E-05
412,8.08E-05
413,7.59E-05
414,1.36E-05
415,8.72E-06
416,-0.000155087
417,8.29E-06
418,0.000205819
419,8.75E-05
420,-0.000136292
421,-8.63E-05
422,0.000120525
423,8.19E-05
424,-1.25E-05
425,2.62E-05
426,0.000107025
427,0.000172828
428,-6.86E-05
429,-4.23E-05
430,-1.32E-05
431,-0.000198945
432,6.28E-05
433,0.000194488
434,0.000153541
435,3.29E-05
436,-7.32E-05
437,-3.36E-05
438,-0.000100356
439,-6.79E-05
440,-0.000139309
441,-4.35E-05
442,4.37E-05
443,-8.08E-05
444,6.03E-05
445,6.87E-05
446,2.09E-05
447,-0.00010971
448,-3.56E-05
449,-4.69E-07
450,-1.3E-05
451,-2.88E-05
452,4.3E-05
453,0.00010096
454,0.000268467
455,0.000543539
456,0.0033592
457,0.0235243
458,0.294059
459,6.21926
460,53.6102
461,95.9288
462,97.7438
463,97.6566
464,98.3806
465,98.4468
466,98.4153
467,98.3609
468,98.5369
469,99.146
470,99.2104
471,99.3419
472,99.0932
473,99.3427
474,99.3443
475,99.264
476,98.8179
477,98.9016
478,99.0165
479,98.9926
480,99.0049
481,98.7327
482,98.3034
483,98.6799
484,98.8912
485,99.3017
486,99.4792
487,99.3465
488,99.3216
489,99.1657
490,99.4127
491,99.4275
492,99.6068
493,99.1542
494,99.3751
495,98.8032
496,99.1554
497,99.3419
498,99.4745
499,99.2977
500,99.0959
501,98.915
502,98.7362
503,99.079
504,98.8449
505,98.6072
506,98.6071
507,97.4683
508,83.9583
509,51.3122
510,21.7487
511,8.38261
512,3.35169
513,1.48212
514,0.736138
515,0.398782
516,0.230049
517,0.147427
518,0.0962058
519,0.0658153
520,0.0474458
521,0.0327953
522,0.0237549
523,0.016465
524,0.0108078
525,0.00643708
526,0.00430867
527,0.0028607
528,0.00165959
529,0.00105303
530,0.000701874
531,0.000371059
532,0.00040059
533,0.000280326
534,0.000190001
535,0.000112706
536,7.77E-05
537,0.000177839
538,0.000106409
539,0.000254182
540,0.000107406
541,0.00013342
542,0.000143922
543,9.4E-05
544,0.000212487
545,7.96E-05
546,0.000217967
547,0.000129349
548,-3.87E-06
549,8.18E-05
550,-3.54E-05
551,0.00011721
552,-4.39E-05
553,-1.67E-06
554,5.84E-05
555,9.03E-05
556,0.000109007
557,0.000132783
558,-2.47E-05
559,-7.46E-05
560,-4.08E-05
561,-1.65E-05
562,5.65E-05
563,2.67E-05
564,9.06E-05
565,5.02E-05
566,0.00016362
567,-5.38E-05
568,-1.12E-05
569,1.47E-05
570,-2.14E-05
571,7.38E-05
572,2.98E-05
573,7.75E-05
574,8.5E-05
575,-1.27E-05
576,-2.96E-05
577,0.000120807
578,1.37E-06
579,4.96E-05
580,9.4E-05
581,4.66E-05
582,-1.66E-05
583,-1E-05
584,9.58E-05
585,-2.72E-05
586,6.63E-05
587,9.59E-05
588,8.5E-05
589,-3.41E-06
590,-2.8E-05
591,5.25E-05
592,2.31E-05
593,0.000125509
594,-6.18E-05
595,1.68E-05
596,6.03E-06
597,2.98E-05
598,9.14E-05
599,9.44E-05
600,7.65E-05
601,6.72E-05
602,5.59E-05
603,5.17E-05
604,9.2E-06
605,1.76E-05
606,2.8E-05
607,2.86E-05
608,-3.86E-06
609,4.6E-05
610,-1.2E-05
611,1.34E-05
612,5.94E-05
613,3.78E-05
614,8.37E-06
615,-1.19E-05
616,6.34E-06
617,4.75E-06
618,0.000107871
619,4.2E-05
620,8.62E-05
621,6.99E-05
622,9.66E-05
623,-1.26E-05
624,2.73E-05
625,2.2E-05
626,-9.03E-06
627,1.76E-05
628,-1.21E-05
629,4.63E-05
630,3.62E-05
631,-7.04E-07
632,2.33E-05
633,-4.87E-05
634,-1.53E-05
635,5.11E-05
636,-3.33E-05
637,1.59E-05
638,1.89E-05
639,2.14E-05
640,5.12E-05
641,5.04E-05
642,2.34E-05
643,-2.81E-06
644,3.98E-05
645,-4.26E-06
646,4.87E-05
647,6.1E-06
648,-1.89E-06
649,4.32E-05
650,-8.45E-06
651,2.21E-05
652,5.48E-05
653,8.24E-06
654,2.25E-05
655,3.89E-05
656,4.44E-05
657,4.55E-05
658,0.000104565
659,0.000204863
660,0.000422807
661,0.00483417
662,0.0112172
663,0.00169087
664,0.000478501
665,0.000357392
666,0.000177208
667,0.000170455
668,0.000163112
669,0.00014462
670,0.000180488
671,0.000142576
672,0.000319003
673,0.000397025
674,0.000522581
675,0.000864928
676,0.00175943
677,0.00452514
678,0.010723
679,0.00852732
680,0.00299334
681,0.00145521
682,0.000929104
683,0.000700837
684,0.00044402
685,0.000315963
686,0.00039361
687,0.000424238
688,0.00025978
689,0.000537932
690,0.000370689
691,0.000408969
692,0.000456839
693,0.000540206
694,0.0005636
695,0.000808783
696,0.00111512
697,0.00163054
698,0.00260185
699,0.00494992
700,0.00759468
701,0.00952185
702,0.00797042
703,0.005064
704,0.00345952
705,0.00229154
706,0.00185266
707,0.00122807
708,0.00140057
709,0.00127967
710,0.000950135
711,0.00059238
712,0.000989833
713,0.0010829
714,0.000895789
715,0.000921012
716,0.000870092
717,0.00124897
718,0.00131664
719,0.00141687
720,0.00175006
721,0.00208542
722,0.00298076
723,0.00378613
724,0.00569003
725,0.00808897
726,0.0109417
727,0.0157823
728,0.0193381
729,0.0183944
730,0.0155418
731,0.0125364
732,0.00979039
733,0.00743735
734,0.00613598
735,0.00535681
736,0.00499405
737,0.00393917
738,0.00458956
739,0.00399679
740,0.00355734
741,0.00402901
742,0.00423038
743,0.00402569
744,0.00451832
745,0.00550678
746,0.00547191
747,0.00728492
748,0.00739771
749,0.00832757
750,0.0103628
751,0.0127727
752,0.0169385
753,0.0216305
754,0.0301531
755,0.0404029
756,0.0524305
757,0.0713753
758,0.0898725
759,0.0994402
760,0.100696
761,0.0974632
762,0.0863791
763,0.0774629
764,0.0690504
765,0.0603195
766,0.0562672
767,0.0515442
768,0.0479508
769,0.0510066
770,0.0484633
771,0.0492726
772,0.0521269
773,0.0546741
774,0.0600396
775,0.0604811
776,0.0701132
777,0.0800568
778,0.0919943
779,0.102588
780,0.118526
781,0.148922
782,0.176871
783,0.22813
784,0.283951
785,0.375565
786,0.490605
787,0.646995
788,0.874543
789,1.15808
790,1.56312
791,1.98656
792,2.42779
793,2.781
794,2.94802
795,2.97564
796,2.94533
797,2.89689
798,2.85189
799,2.82783
800,2.86934
801,2.98072
802,3.1588
803,3.41355
804,3.80265
805,4.24368
806,4.89305
807,5.76474
808,6.99396
809,8.60501
810,10.7445
811,13.7175
812,17.8938
813,23.393
814,30.7401
815,39.3988
816,49.7677
817,58.51
818,64.7718
819,68.0605
820,68.135
821,67.5802
822,65.4596
823,65.3858
824,65.2181
825,65.7361
826,68.2445
827,70.6417
828,73.8552
829,78.3095
830,82.2021
831,85.1713
832,87.9492
833,87.5994
834,86.3305
835,83.7036
836,79.4018
837,74.3376
838,69.4924
839,65.6564
840,61.1943
841,57.9442
842,55.1346
843,53.2602
844,51.7453
845,51.0508
846,50.5117
847,50.5245
848,50.5868
849,52.7741
850,53.7058
851,55.2524
