Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA460IF"
Comment,""
Public,1
wavedataset
300,3.43697
301,4.34121
302,6.91246
303,7.5069
304,6.25539
305,7.58742
306,12.3233
307,12.7551
308,9.00097
309,9.18622
310,15.5763
311,20.3126
312,13.924
313,10.7358
314,15.3294
315,26.0308
316,21.7619
317,12.7531
318,12.4188
319,22.2121
320,31.8524
321,19.3912
322,11.644
323,13.4481
324,27.5657
325,33.3633
326,16.4289
327,9.87715
328,12.5278
329,28.8299
330,33.3188
331,13.5892
332,7.8306
333,10.5081
334,28.1092
335,29.7636
336,9.6334
337,5.27957
338,7.58709
339,25.2751
340,23.0903
341,5.47917
342,3.07419
343,5.62422
344,21.4008
345,11.0386
346,2.04785
347,1.68327
348,8.31258
349,9.86688
350,1.02048
351,0.534952
352,3.11627
353,2.11039
354,0.116399
355,0.279261
356,0.135035
357,0.00202947
358,0.000262742
359,-0.000126228
360,0.000270557
361,-0.000130905
362,0.000360324
363,0.000140036
364,0.000126934
365,4.61E-05
366,-0.000344174
367,6.48E-05
368,0.000136639
369,-7.13E-05
370,-0.000373615
371,0.000119435
372,-0.000353734
373,0.000114325
374,0.000309608
375,7.81E-05
376,3.46E-05
377,0.000218841
378,-0.000455738
379,0.000197089
380,0.000241915
381,0.000176153
382,6.13E-05
383,0.000383825
384,-0.000382871
385,0.00046922
386,1.46E-05
387,9.81E-05
388,9.92E-06
389,-0.000119718
390,-0.000280826
391,9.31E-05
392,-4.78E-05
393,0.00025479
394,2.9E-05
395,1.38E-05
396,8.13E-05
397,2.45E-05
398,0.000252494
399,9.24E-05
400,-5.98E-05
401,-0.000205475
402,0.000159128
403,8.79E-06
404,-2.99E-05
405,-2.86E-05
406,0.000244203
407,-3.02E-05
408,0.000179024
409,8.56E-05
410,0.000153148
411,3.86E-05
412,1.46E-06
413,-7.79E-06
414,1.32E-05
415,-9.63E-05
416,-7.24E-05
417,0.000117059
418,1.97E-05
419,0.000130176
420,-7.32E-05
421,7.11E-05
422,0.000154225
423,-5.99E-05
424,-0.000141595
425,5.86E-05
426,-2.79E-05
427,0.000135827
428,-5.47E-05
429,-3.05E-05
430,0.000144315
431,-5.35E-05
432,-1.65E-05
433,0.000117515
434,7.54E-05
435,-2.14E-05
436,-5.18E-05
437,3E-05
438,-2.9E-05
439,1.77E-05
440,3.15E-05
441,-3.85E-05
442,0.000165789
443,3.38E-06
444,6.67E-05
445,-1.71E-05
446,0.000143196
447,5.93E-05
448,0.000108878
449,0.000375129
450,0.000290259
451,0.000535389
452,0.00179237
453,0.00394338
454,0.0105137
455,0.029443
456,0.0938793
457,0.336249
458,1.45489
459,7.51336
460,34.6419
461,79.8589
462,95.1884
463,96.6626
464,98.4515
465,98.7223
466,98.407
467,98.0651
468,98.4586
469,98.7654
470,98.902
471,99.2701
472,98.7335
473,98.7211
474,98.9982
475,99.2634
476,99.1043
477,99.219
478,99.0754
479,98.9585
480,98.8057
481,99.0943
482,98.8792
483,99.1401
484,99.0794
485,99.1438
486,98.9473
487,98.9162
488,99.0403
489,98.6434
490,99.1136
491,98.9114
492,98.8966
493,99.0396
494,99.0864
495,98.901
496,98.8829
497,99.139
498,98.805
499,98.9464
500,99.0605
501,99.2633
502,99.0001
503,99.2956
504,99.2398
505,99.1593
506,99.1779
507,98.9627
508,98.9189
509,99.0002
510,99.0422
511,99.0369
512,99.1683
513,99.1106
514,99.392
515,99.3863
516,99.4056
517,99.4513
518,99.4173
519,99.3156
520,99.3004
521,99.275
522,99.079
523,98.6977
524,99.0146
525,99.1886
526,99.0877
527,99.1737
528,99.2487
529,99.5393
530,99.4914
531,99.436
532,99.438
533,99.3621
534,99.4217
535,99.4565
536,99.1137
537,99.2052
538,98.9019
539,99.1086
540,99.2737
541,99.4569
542,99.225
543,99.1533
544,99.0921
545,99.451
546,99.3747
547,99.3887
548,99.3825
549,99.4405
550,99.4224
551,99.4317
552,99.3832
553,99.157
554,99.0495
555,99.096
556,99.2665
557,99.2454
558,99.1555
559,99.2048
560,99.2625
561,99.4726
562,99.5387
563,99.3868
564,99.5519
565,99.386
566,99.6235
567,99.4857
568,99.2943
569,99.2072
570,99.4127
571,99.1617
572,99.3526
573,99.0238
574,99.1997
575,98.991
576,99.2011
577,99.3206
578,99.1642
579,99.309
580,99.3588
581,99.5832
582,99.2981
583,99.3637
584,99.5457
585,99.2622
586,99.4822
587,99.5101
588,99.361
589,99.186
590,99.4359
591,99.1814
592,99.2192
593,99.1545
594,99.0991
595,99.3633
596,99.1249
597,99.2358
598,99.3196
599,99.3105
600,99.392
601,99.3494
602,99.485
603,99.5899
604,99.4626
605,99.4882
606,99.3673
607,99.4822
608,99.251
609,99.4962
610,99.5587
611,99.3847
612,99.3239
613,99.4133
614,99.421
615,99.4268
616,99.3405
617,99.3357
618,99.298
619,99.2847
620,99.5034
621,99.4961
622,99.5617
623,99.4414
624,99.4848
625,99.5977
626,99.4851
627,99.3981
628,99.5783
629,99.3791
630,99.5544
631,99.263
632,99.2892
633,99.2501
634,99.2676
635,99.1122
636,99.0518
637,99.2656
638,99.1873
639,99.0651
640,99.3226
641,99.1705
642,99.2972
643,99.2964
644,99.1419
645,99.2978
646,99.3058
647,99.3038
648,99.4495
649,99.3144
650,99.4025
651,99.5047
652,99.4374
653,99.3776
654,99.3856
655,99.2996
656,99.3428
657,99.1473
658,99.2186
659,99.1883
660,98.9952
661,98.9724
662,99.0802
663,99.1738
664,99.1075
665,99.0767
666,99.0542
667,98.9666
668,99.111
669,98.991
670,99.2406
671,99.1652
672,99.1025
673,99.3587
674,99.3476
675,99.2882
676,99.1434
677,99.3376
678,99.092
679,99.2913
680,99.3087
681,99.159
682,98.8514
683,99.0577
684,98.7532
685,99.0515
686,99.1007
687,98.9359
688,98.7987
689,98.8297
690,98.6778
691,98.858
692,98.6658
693,98.5899
694,98.4069
695,98.4652
696,98.4993
697,98.4782
698,98.8152
699,98.5513
700,98.7919
701,98.6169
702,98.8698
703,98.6817
704,98.5734
705,98.5777
706,98.8275
707,98.1471
708,98.6923
709,98.2547
710,98.0784
711,98.1701
712,97.8404
713,97.8486
714,97.8879
715,97.9933
716,97.509
717,97.4152
718,97.507
719,97.1797
720,97.168
721,97.3955
722,97.4267
723,97.0735
724,97.1341
725,97.1575
726,97.3631
727,97.4632
728,97.6942
729,97.5367
730,97.5067
731,97.5965
732,97.9434
733,97.637
734,97.4662
735,97.9392
736,97.8105
737,97.6037
738,97.8555
739,97.837
740,97.5764
741,97.6777
742,97.5955
743,97.6531
744,97.3835
745,97.0771
746,96.7469
747,96.4613
748,96.0965
749,96.2254
750,96.1237
751,95.7473
752,96.0901
