Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA590"
Comment,""
Public,1
wavedataset
300,0.000258
301,0.00026
302,0.000268
303,0.000259
304,0.000263
305,0.000247
306,0.000252
307,0.000264
308,0.000247
309,0.00025
310,0.00023
311,0.000247
312,0.000232
313,0.000186
314,0.000196
315,0.000212
316,0.000205
317,0.000205
318,0.000207
319,0.000194
320,0.000217
321,0.000228
322,0.000222
323,0.000189
324,0.000161
325,0.000173
326,0.000154
327,0.000103
328,0.000114
329,0.000185
330,0.000222
331,0.000171
332,0.000167
333,0.000147
334,0.000186
335,0.000172
336,0.000222
337,0.000225
338,0.000177
339,0.00013
340,0.000144
341,0.000179
342,0.000152
343,0.000138
344,0.000157
345,0.000139
346,0.000152
347,0.000152
348,0.000209
349,0.000218
350,0.000152
351,0.000184
352,0.000201
353,0.000214
354,0.000188
355,0.000217
356,0.000214
357,0.000211
358,0.000228
359,0.000245
360,0.000345
361,0.000355
362,0.000309
363,0.000304
364,0.000323
365,0.000358
366,0.000429
367,0.000464
368,0.000485
369,0.000409
370,0.000449
371,0.000486
372,0.000547
373,0.000559
374,0.000577
375,0.000489
376,0.000481
377,0.000474
378,0.000475
379,0.000518
380,0.000566
381,0.000571
382,0.000527
383,0.000516
384,0.000528
385,0.000497
386,0.00047
387,0.000527
388,0.000503
389,0.000583
390,0.000645
391,0.000598
392,0.000485
393,0.000462
394,0.000387
395,0.000413
396,0.000431
397,0.000521
398,0.000643
399,0.000531
400,0.000477
401,0.00034
402,0.000317
403,0.000413
404,0.00038
405,0.000526
406,0.000641
407,0.000597
408,0.00047
409,0.000327
410,0.000247
411,0.000303
412,0.000308
413,0.000423
414,0.000579
415,0.000614
416,0.000347
417,0.00033
418,0.000243
419,0.000219
420,0.000229
421,0.000361
422,0.00057
423,0.00057
424,0.000294
425,0.000241
426,0.000156
427,0.000221
428,0.000163
429,0.000284
430,0.000449
431,0.000452
432,0.00026
433,0.000199
434,0.000163
435,0.00018
436,0.000211
437,0.000403
438,0.000368
439,0.000172
440,0.000128
441,0.000156
442,0.000179
443,0.000258
444,0.000211
445,0.000193
446,0.000139
447,0.000153
448,0.000136
449,0.000158
450,0.000122
451,0.000148
452,0.000202
453,0.00015
454,0.000148
455,0.000139
456,0.000147
457,0.000141
458,0.000121
459,0.000136
460,0.000117
461,0.000127
462,0.00013
463,0.000131
464,0.000144
465,0.000153
466,9.3E-05
467,0.000116
468,0.000121
469,0.000126
470,0.000135
471,0.000103
472,0.00011
473,0.000154
474,0.000122
475,0.000129
476,0.000127
477,0.000131
478,0.000116
479,0.000129
480,0.000125
481,0.000126
482,0.000112
483,0.000101
484,0.000162
485,0.000108
486,0.000126
487,0.000125
488,0.00011
489,0.000132
490,0.000142
491,0.000131
492,0.000135
493,0.000115
494,0.000102
495,0.000111
496,0.000101
497,8.3E-05
498,8.8E-05
499,0.000108
500,0.000114
501,0.00012
502,0.000128
503,0.000132
504,0.000121
505,0.000129
506,0.000115
507,0.000115
508,0.000115
509,0.000121
510,0.000108
511,0.000107
512,0.000141
513,0.00016
514,0.000117
515,8.1E-05
516,8.9E-05
517,0.000133
518,0.000125
519,9.3E-05
520,0.000106
521,0.000115
522,0.0001
523,9.1E-05
524,0.000135
525,0.000137
526,0.000112
527,0.000104
528,0.000113
529,0.000114
530,0.000116
531,0.000137
532,0.000125
533,0.000101
534,0.00011
535,0.000114
536,0.000139
537,0.000143
538,0.000104
539,8.5E-05
540,9.6E-05
541,0.000112
542,0.000105
543,0.000126
544,0.000134
545,0.000113
546,0.0001
547,0.000112
548,0.000129
549,8.7E-05
550,9.8E-05
551,0.000113
552,0.000105
553,0.000112
554,0.000127
555,0.000115
556,5.4E-05
557,4.9E-05
558,9.5E-05
559,8.5E-05
560,9.7E-05
561,0.000114
562,0.000116
563,0.000122
564,0.000107
565,9.7E-05
566,0.000108
567,0.000134
568,0.000148
569,0.000149
570,0.000194
571,0.000222
572,0.000275
573,0.000367
574,0.000534
575,0.000799
576,0.001154
577,0.001768
578,0.002851
579,0.004627
580,0.007597
581,0.01261
582,0.021391
583,0.036903
584,0.065277
585,0.117953
586,0.219953
587,0.423373
588,0.84174
589,1.747825
590,3.766441
591,8.285845
592,17.899384
593,35.280746
594,57.233081
595,74.80878
596,83.269282
597,85.629488
598,86.455737
599,87.473861
600,88.880125
601,90.561272
602,92.163422
603,93.507743
604,94.58916
605,95.484341
606,96.053544
607,96.381127
608,96.48916
609,96.471482
610,96.388238
611,96.154855
612,95.987495
613,95.969709
614,95.946848
615,96.119987
616,96.197943
617,96.541789
618,96.825523
619,97.042916
620,97.210111
621,97.291004
622,97.346323
623,97.323204
624,97.144999
625,96.924073
626,96.40434
627,96.053513
628,95.80703
629,95.610329
630,95.46103
631,95.409593
632,95.452094
633,95.547186
634,95.573176
635,95.948106
636,96.412687
637,96.448301
638,96.875045
639,96.979
640,97.339718
641,97.551709
642,97.519346
643,97.586549
644,97.662622
645,97.639803
646,97.583268
647,97.491088
648,97.418833
649,97.35428
650,97.253496
651,97.219523
652,97.260159
653,97.219491
654,97.278976
655,97.262156
656,97.259143
657,97.33349
658,97.460318
659,97.494657
660,97.699292
661,97.447399
662,97.768269
663,97.568132
664,97.538727
665,97.494372
666,97.550763
667,97.402685
668,97.614436
669,97.395011
670,97.30463
671,96.965585
672,97.02578
673,96.883383
674,96.847934
675,96.839617
676,96.928422
677,96.869079
678,96.828655
679,96.525307
680,96.614667
681,96.794954
682,96.899885
683,96.887051
684,97.216969
685,97.27508
686,97.032518
687,97.088522
688,97.579304
689,97.479383
690,97.622134
691,97.150257
692,97.03111
693,97.528473
694,97.449497
695,97.592553
696,97.170199
697,97.251806
698,97.236905
699,97.264783
700,97.268729
701,97.250994
702,96.975389
703,96.407293
704,96.858527
705,97.160479
706,96.899445
707,96.917924
708,96.289505
709,97.000753
710,96.937351
711,96.790758
712,96.808425
713,97.020808
714,96.603942
715,96.550315
716,96.962858
717,97.209813
718,97.327211
719,96.984559
720,96.912652
721,96.833533
722,96.485231
723,96.724639
724,96.68956
725,96.637493
726,96.5334
727,96.619275
728,96.390972
729,96.360379
730,96.248381
731,95.934786
732,95.627401
733,95.651382
734,95.312972
735,94.976292
736,94.881173
737,94.571635
738,94.371675
739,94.301788
740,93.992016
741,93.625112
742,93.557447
743,93.800558
744,93.60364
745,93.351856
746,93.370485
747,93.342681
748,93.364644
749,93.281948
750,93.385779
751,93.368123
752,93.513233
753,94.092658
754,94.118314
755,93.981807
756,93.967976
757,94.048545
758,94.39435
759,94.363957
760,94.268319
761,94.417508
762,94.712929
763,94.650182
764,94.268453
765,94.150503
766,94.164475
767,93.97534
768,93.726794
769,93.366996
770,93.179568
771,92.94307
772,92.659233
773,92.207886
774,91.901749
775,91.56001
776,91.20775
777,90.76115
778,90.182508
779,89.889875
780,89.617702
781,89.36847
782,89.136281
783,88.888148
784,88.739058
785,88.596605
786,88.50542
787,88.372416
788,88.356865
789,88.414693
790,88.454277
791,88.52221
792,88.722682
793,88.941223
794,89.169123
795,89.44332
796,89.618915
797,89.807599
798,90.118548
799,90.457623
800,90.509828
801,90.806377
802,91.026164
803,91.226018
804,91.29184
805,91.351642
806,91.445569
807,91.453625
808,91.346943
809,91.422167
810,91.119232
811,90.954874
812,90.986445
813,90.79552
814,90.309047
815,90.019624
816,89.535622
817,89.068435
818,88.631032
819,88.62428
820,88.348481
821,87.815339
822,87.704324
823,87.123303
824,86.853477
825,86.549618
826,86.276883
827,86.03509
828,85.924531
829,85.558497
830,85.530794
831,85.496641
832,85.528942
833,85.309656
834,85.466614
835,85.488715
836,85.655624
837,85.77032
838,86.044373
839,86.030275
840,86.234843
841,86.552965
842,87.026416
843,87.128717
844,87.441484
845,87.730837
846,88.238042
847,88.16876
848,88.632337
849,88.753539
850,88.884777
851,89.117645
852,89.225836
853,89.473572
854,89.774748
855,89.830757
856,89.746754
857,89.743492
858,89.409452
859,89.83549
860,89.788601
861,89.372978
862,89.316119
863,88.834964
864,88.969072
865,88.374833
866,88.562525
867,88.313999
868,87.983729
869,87.840713
870,87.106407
871,87.00928
872,86.909019
873,87.095139
874,86.829948
875,86.079907
876,85.293967
877,85.841849
878,85.119469
879,85.571174
880,85.898098
881,86.320421
882,85.28613
883,85.295101
884,85.676308
885,85.812994
886,85.799036
887,85.569887
888,86.321771
889,85.8802
890,85.680837
891,86.422043
892,86.748327
893,86.272285
894,88.19083
895,87.228783
896,87.054229
897,86.767869
898,87.743457
899,89.366754
