Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA600-690"
Comment,""
Public,1
wavedataset
300,0.001855
301,0.000907
302,0.00192
303,0.002153
304,0.002531
305,0.004467
306,0.017893
307,0.01647
308,0.003865
309,0.002162
310,0.00293
311,0.001422
312,0.002385
313,0.002619
314,0.001814
315,0.002126
316,0.002392
317,0.001307
318,0.002416
319,0.002955
320,0.004519
321,0.002359
322,0.022938
323,0.041812
324,0.060618
325,0.328387
326,0.919349
327,6.68552
328,6.40425
329,0.837234
330,5.61798
331,3.91392
332,0.602217
333,6.89271
334,3.58492
335,0.441299
336,6.20526
337,2.67877
338,0.279295
339,2.44785
340,1.1753
341,0.069129
342,0.539665
343,0.790757
344,0.029571
345,0.038547
346,0.706849
347,0.359374
348,0.026952
349,0.123193
350,0.70852
351,0.205262
352,0.111667
353,1.79039
354,3.9072
355,0.270332
356,0.221382
357,4.17619
358,4.85663
359,0.307938
360,0.295173
361,4.22901
362,9.62846
363,1.00106
364,0.7574
365,5.54815
366,15.0503
367,3.03389
368,2.106
369,10.2441
370,40.0256
371,14.5603
372,5.68985
373,6.34113
374,7.29657
375,5.18513
376,2.60105
377,1.37935
378,1.0423
379,1.3038
380,2.00419
381,1.99692
382,1.24099
383,0.913037
384,0.971625
385,1.33611
386,2.64668
387,6.33322
388,9.07235
389,7.00195
390,6.28283
391,10.5455
392,31.1885
393,46.8457
394,25.6028
395,20.8949
396,34.619
397,41.8974
398,23.5622
399,15.7927
400,20.6434
401,38.5751
402,38.3572
403,22.8863
404,20.9624
405,38.9241
406,65.3959
407,40.8279
408,20.6912
409,20.2053
410,37.4583
411,65.0127
412,46.967
413,26.207
414,25.3738
415,43.1847
416,72.8526
417,56.3451
418,31.9339
419,27.8846
420,39.4423
421,60.7047
422,54.2378
423,32.9223
424,24.3566
425,24.1249
426,27.2001
427,29.2116
428,29.3772
429,30.3769
430,32.3833
431,32.2863
432,30.2003
433,30.2444
434,36.5838
435,50.7138
436,63.4824
437,61.6777
438,55.2589
439,54.3645
440,59.5828
441,67.5347
442,76.5183
443,79.3269
444,70.2629
445,60.1665
446,61.8914
447,76.3932
448,79.0764
449,60.5653
450,52.2876
451,64.6832
452,72.1257
453,49.3718
454,37.277
455,53.3808
456,69.4215
457,38.4622
458,26.7008
459,46.9053
460,35.7109
461,11.7734
462,16.6932
463,14.031
464,2.11813
465,2.77889
466,3.34886
467,0.232302
468,0.380856
469,0.053575
470,0.000542
471,-5.3E-05
472,4.6E-05
473,-5.4E-05
474,4.9E-05
475,-6.5E-05
476,-4E-05
477,3.4E-05
478,-6.9E-05
479,-2.1E-05
480,6E-06
481,-7E-06
482,4.7E-05
483,5E-06
484,-1.5E-05
485,-5.2E-05
486,-0.000149
487,1.1E-05
488,0.000104
489,-3E-06
490,4.7E-05
491,-1.9E-05
492,6.4E-05
493,-4.2E-05
494,-4E-05
495,3.6E-05
496,-2.8E-05
497,-5E-05
498,-9.4E-05
499,4.8E-05
500,-2.3E-05
501,-6.1E-05
502,-1.4E-05
503,5.8E-05
504,2.7E-05
505,-6.9E-05
506,-8.1E-05
507,-3.3E-05
508,-3E-05
509,-9E-06
510,-5.4E-05
511,5.7E-05
512,4E-06
513,8.3E-05
514,-2E-05
515,5.2E-05
516,-5.3E-05
517,3.8E-05
518,0.000112
519,-0.000122
520,-1.5E-05
521,-6.3E-05
522,-3.9E-05
523,-6.8E-05
524,-8E-06
525,4.1E-05
526,0.000125
527,8.9E-05
528,-3.8E-05
529,-8E-06
530,-1.8E-05
531,0.000114
532,4.3E-05
533,3.6E-05
534,-3E-05
535,-2.6E-05
536,4.9E-05
537,0
538,-1.2E-05
539,-0.000127
540,-9.8E-05
541,-8E-06
542,-1.2E-05
543,-6E-06
544,2E-06
545,4E-06
546,-2E-05
547,7.3E-05
548,-2.9E-05
549,1.6E-05
550,-5.8E-05
551,2.3E-05
552,-0.0001
553,1.3E-05
554,-0.0001
555,8.8E-05
