Type,Emitter
Maker,"Semrock"
ProductName,"BLP01-405R-25"
Comment,""
Public,1
wavedataset
270,0.199
270.2,0.439
270.4,0.060603
270.6,0.024128
270.8,0.022082
271,0.042727
271.2,0.094656
271.4,0.234
271.6,0.286
271.8,0.165
272,0.050678
272.2,0.015076
272.4,0.014714
272.6,0.018739
272.8,0.035282
273,0.02583
273.2,0.013145
273.4,0.012503
273.6,0.011767
273.8,0.010838
274,0.022925
274.2,0.077408
274.4,0.055943
274.6,0.044343
274.8,0.059833
275,0.060901
275.2,0.016273
275.4,0.035783
275.6,0.043914
275.8,0.014679
276,0.06239
276.2,0.074298
276.4,0.08032
276.6,0.037563
276.8,0.030797
277,0.013329
277.2,0.205
277.4,0.039663
277.6,0.011835
277.8,0.031826
278,0.050125
278.2,0.011627
278.4,0.010122
278.6,0.017442
278.8,0.029596
279,0.0095828
279.2,0.0091615
279.4,0.04485
279.6,0.012182
279.8,0.030447
280,0.017952
280.2,0.018885
280.4,0.014132
280.6,0.021875
280.8,0.047907
281,0.024613
281.2,0.032399
281.4,0.024391
281.6,0.0059992
281.8,0.015231
282,0.022236
282.2,0.011092
282.4,0.0073418
282.6,0.004833
282.8,0.015516
283,0.02227
283.2,0.0061274
283.4,0.013665
283.6,0.0054384
283.8,0.0041807
284,0.01828
284.2,0.01521
284.4,0.0083579
284.6,0.006058
284.8,0.0069903
285,0.0067401
285.2,0.020718
285.4,0.0063266
285.6,0.0061041
285.8,0.0058577
286,0.0073606
286.2,0.0091076
286.4,0.0052946
286.6,0.0051007
286.8,0.0049858
287,0.0049238
287.2,0.0048547
287.4,0.0048721
287.6,0.014473
287.8,0.0070026
288,0.022971
288.2,0.014062
288.4,0.010486
288.6,0.0044787
288.8,0.022373
289,0.0049319
289.2,0.0040065
289.4,0.0098069
289.6,0.01047
289.8,0.0050835
290,0.0035455
290.2,0.025648
290.4,0.012359
290.6,0.011356
290.8,0.0041668
291,0.0053288
291.2,0.0032877
291.4,0.010019
291.6,0.0028535
291.8,0.0157
292,0.010101
292.2,0.0049176
292.4,0.0098331
292.6,0.0026384
292.8,0.0025912
293,0.0025206
293.2,0.0024695
293.4,0.0023914
293.6,0.0033539
293.8,0.0076617
294,0.004396
294.2,0.0021703
294.4,0.0058295
294.6,0.010644
294.8,0.0063551
295,0.0068802
295.2,0.0039784
295.4,0.0039256
295.6,0.0038881
295.8,0.010043
296,0.0038013
296.2,0.0037653
296.4,0.0037682
296.6,0.003743
296.8,0.0037383
297,0.0037509
297.2,0.0037647
297.4,0.0048661
297.6,0.0037244
297.8,0.0057619
298,0.0058784
298.2,0.0037254
298.4,0.0034195
298.6,0.0033084
298.8,0.0032527
299,0.0032142
299.2,0.0095594
299.4,0.003832
299.6,0.0083146
299.8,0.0032521
300,0.0032766
300.2,0.010762
300.4,0.014097
300.6,0.005464
300.8,0.003242
301,0.003179
301.2,0.0030894
301.4,0.0032892
301.6,0.0048543
301.8,0.0029385
302,0.0028998
302.2,0.0028779
302.4,0.0028697
302.6,0.0028607
302.8,0.0057049
303,0.0062849
303.2,0.010547
303.4,0.0043213
303.6,0.0027267
303.8,0.0026723
304,0.0026247
304.2,0.0026866
304.4,0.0025515
304.6,0.0076709
304.8,0.0025246
305,0.0041984
305.2,0.0083971
305.4,0.0083606
305.6,0.0059078
305.8,0.0059252
306,0.0058989
306.2,0.0059012
306.4,0.0058464
306.6,0.0058131
306.8,0.005724
307,0.0061689
307.2,0.0055697
307.4,0.0055016
307.6,0.0054857
307.8,0.00646
308,0.0054783
308.2,0.010528
308.4,0.005525
308.6,0.0055832
308.8,0.005627
309,0.0056637
309.2,0.0055531
309.4,0.0056628
309.6,0.0071171
309.8,0.0066708
310,0.0082458
310.2,0.0077778
310.4,0.0062011
310.6,0.0063182
310.8,0.0063949
311,0.0064168
311.2,0.0081611
311.4,0.006349
311.6,0.0062695
311.8,0.0061467
312,0.010947
312.2,0.0058142
312.4,0.0082041
312.6,0.0055157
312.8,0.01146
313,0.0086121
313.2,0.0053487
313.4,0.0053852
313.6,0.0071685
313.8,0.0054653
314,0.005544
314.2,0.006097
314.4,0.0056194
314.6,0.0056399
314.8,0.0056282
315,0.0056139
315.2,0.005591
315.4,0.0054994
315.6,0.0055309
315.8,0.0054929
316,0.0055052
316.2,0.0054774
316.4,0.0054962
316.6,0.0055174
316.8,0.0055166
317,0.0055199
317.2,0.005509
317.4,0.0054577
317.6,0.0054214
317.8,0.0054154
318,0.0088911
318.2,0.0053562
318.4,0.0053317
318.6,0.0053035
318.8,0.0052796
319,0.0052978
319.2,0.0052899
319.4,0.0052766
319.6,0.0058501
319.8,0.0052284
320,0.0064027
320.2,0.0051141
320.4,0.0050314
320.6,0.0050049
320.8,0.004974
321,0.005624
321.2,0.0050118
321.4,0.0050911
321.6,0.0052275
321.8,0.0053638
322,0.010083
322.2,0.005685
322.4,0.010632
322.6,0.0059413
322.8,0.0060161
323,0.0060259
323.2,0.011055
323.4,0.0059113
323.6,0.0057808
323.8,0.0055916
324,0.0054062
324.2,0.0051943
324.4,0.0049892
324.6,0.004836
324.8,0.011669
325,0.0045741
325.2,0.0044966
325.4,0.0051782
325.6,0.0074138
325.8,0.0044655
326,0.0072583
326.2,0.0044851
326.4,0.0045191
326.6,0.0066804
326.8,0.0045185
327,0.0044918
327.2,0.0044559
327.4,0.0043711
327.6,0.0054614
327.8,0.0042301
328,0.0074618
328.2,0.0040597
328.4,0.0039831
328.6,0.0043362
328.8,0.0038272
329,0.0037715
329.2,0.0037145
329.4,0.0036669
329.6,0.0036237
329.8,0.0044481
330,0.0035571
330.2,0.0035119
330.4,0.00349
330.6,0.0034408
330.8,0.0034143
331,0.0033918
331.2,0.0048683
331.4,0.0033219
331.6,0.0032838
331.8,0.0057832
332,0.003198
332.2,0.0031681
332.4,0.0031391
332.6,0.0031028
332.8,0.0030713
333,0.0030533
333.2,0.0030412
333.4,0.0030234
333.6,0.0030082
333.8,0.0029984
334,0.0032847
334.2,0.0035101
334.4,0.002969
334.6,0.0029457
334.8,0.0039012
335,0.0038205
335.2,0.0055054
335.4,0.0054227
335.6,0.0053595
335.8,0.0052721
336,0.005269
336.2,0.0065263
336.4,0.0050158
336.6,0.0050543
336.8,0.0048429
337,0.0057402
337.2,0.0047012
337.4,0.0046488
337.6,0.0078456
337.8,0.0053249
338,0.0045384
338.2,0.0045163
338.4,0.0044792
338.6,0.0044493
338.8,0.0044137
339,0.0043601
339.2,0.0043011
339.4,0.0042431
339.6,0.0041624
339.8,0.0041061
340,0.0040414
340.2,0.0039687
340.4,0.0059882
340.6,0.015938
340.8,0.0051269
341,0.0073761
341.2,0.015256
341.4,0.004946
341.6,0.0049036
341.8,0.0048531
342,0.011061
342.2,0.035522
342.4,0.016087
342.6,0.010504
342.8,0.0046196
343,0.0067497
343.2,0.016874
343.4,0.0052959
343.6,0.014136
343.8,0.010795
344,0.0047939
344.2,0.0070002
344.4,0.0096441
344.6,0.0042401
344.8,0.004193
345,0.0041687
345.2,0.0078996
345.4,0.0046486
345.6,0.0042297
345.8,0.00401
346,0.0043837
346.2,0.0091432
346.4,0.0044895
346.6,0.0038409
346.8,0.0038146
347,0.0090891
347.2,0.0040882
347.4,0.0078382
347.6,0.0038205
347.8,0.0038485
348,0.005336
348.2,0.0042406
348.4,0.0083824
348.6,0.0078402
348.8,0.005169
349,0.010191
349.2,0.0038781
349.4,0.0045353
349.6,0.0038022
349.8,0.0037224
350,0.0036951
350.2,0.010674
350.4,0.0082161
350.6,0.0037206
350.8,0.0064265
351,0.0035316
351.2,0.0035372
351.4,0.0078732
351.6,0.0035721
351.8,0.0083543
352,0.0058765
352.2,0.0066122
352.4,0.0037428
352.6,0.0037686
352.8,0.0037736
353,0.01051
353.2,0.0046885
353.4,0.014823
353.6,0.004061
353.8,0.014301
354,0.0034951
354.2,0.0046004
354.4,0.0058619
354.6,0.0032818
354.8,0.0031982
355,0.0031506
355.2,0.0053176
355.4,0.0030606
355.6,0.0058818
355.8,0.0030131
356,0.0030054
356.2,0.0039259
356.4,0.0034663
356.6,0.0029914
356.8,0.0030015
357,0.0054168
357.2,0.0030192
357.4,0.0033949
357.6,0.0049364
357.8,0.0055187
358,0.0030905
358.2,0.0031177
358.4,0.0062998
358.6,0.0031846
358.8,0.0032125
359,0.0068286
359.2,0.0032167
359.4,0.008403
359.6,0.0032043
359.8,0.0031622
360,0.0036628
360.2,0.003103
360.4,0.0016294
360.6,0.00069412
360.8,0.00029569
361,0.00012596
361.2,5.3659E-05
361.4,2.2858E-05
361.6,1.6811E-05
361.8,1.8824E-05
362,2.1078E-05
362.2,2.3602E-05
362.4,2.6428E-05
362.6,2.9592E-05
362.8,3.3136E-05
363,3.7103E-05
363.2,4.1546E-05
363.4,4.6521E-05
363.6,5.2091E-05
363.8,5.8329E-05
364,6.5313E-05
364.2,7.3134E-05
364.4,8.1891E-05
364.6,9.1697E-05
364.8,0.00010268
365,0.00011497
365.2,0.00012874
365.4,0.0001415
365.6,0.00013733
365.8,0.00013328
366,0.00012935
366.2,0.00012554
366.4,0.00012184
366.6,0.00011825
366.8,0.00011477
367,0.00011138
367.2,0.0001081
367.4,0.00010491
367.6,0.00010182
367.8,9.8822E-05
368,9.5909E-05
368.2,9.3083E-05
368.4,9.0339E-05
368.6,8.7677E-05
368.8,8.5093E-05
369,8.2585E-05
369.2,8.0151E-05
369.4,6.3884E-05
369.6,4.6891E-05
369.8,3.4418E-05
370,2.5262E-05
370.2,1.8543E-05
