Type,Emitter
Maker,"Chroma"
ProductName,"D485/25m"
Comment,""
Public,1
wavedataset
299,1E-08
300,0.0002739
301,1E-08
302,0.0009316
303,1E-08
304,1E-08
305,0.0005771
306,1E-08
307,0.0002052
308,1E-08
309,1E-08
310,1E-08
311,1E-08
312,0.0001295
313,1E-08
314,0.0004261
315,0.0004548
316,0.0008872
317,1E-08
318,0.0008794
319,1E-08
320,1E-08
321,1E-08
322,1E-08
323,4.806E-05
324,1E-08
325,1E-08
326,5.486E-05
327,1E-08
328,0.0004524
329,0.0008905
330,4.418E-06
331,1E-08
332,1E-08
333,1.815E-05
334,0.0008936
335,9.917E-05
336,1E-08
337,1E-08
338,0.0002118
339,6.676E-05
340,1E-08
341,1E-08
342,1E-08
343,1E-08
344,1E-08
345,1E-08
346,1E-08
347,0.000498
348,1E-08
349,1E-08
350,1E-08
351,1E-08
352,1E-08
353,5.312E-05
354,0.0009234
355,1E-08
356,6.45E-05
357,0.0009261
358,2.825E-05
359,1E-08
360,1E-08
361,0.0001156
362,1E-08
363,1E-08
364,1E-08
365,1E-08
366,0.001774
367,9.504E-05
368,1E-08
369,0.001779
370,0.001349
371,1E-08
372,0.0004795
373,1E-08
374,0.0005158
375,1E-08
376,5.215E-05
377,8.012E-05
378,0.0009393
379,1E-08
380,0.0009269
381,1E-08
382,2.127E-05
383,5.026E-05
384,1E-08
385,1E-08
386,1E-08
387,7.138E-05
388,1E-08
389,1E-08
390,6.628E-05
391,1E-08
392,1E-08
393,1E-08
394,0.001373
395,0.001374
396,0.0009421
397,0.0001111
398,0.002707
399,0.001809
400,0.000476
401,1E-08
402,1E-08
403,1E-08
404,0.00092
405,1E-08
406,1E-08
407,1E-08
408,1E-08
409,1E-08
410,1E-08
411,1E-08
412,2.887E-05
413,7.012E-05
414,0.0009371
415,1E-08
416,1E-08
417,0.0005482
418,1E-08
419,1E-08
420,1E-08
421,1E-08
422,0.000518
423,1E-08
424,1E-08
425,0.001835
426,0.0005166
427,1E-08
428,0.0005433
429,1E-08
430,1E-08
431,0.001417
432,0.002669
433,0.0001813
434,9.288E-05
435,0.000981
436,0.002292
437,0.004464
438,0.0005577
439,1E-08
440,1E-08
441,1E-08
442,1E-08
443,0.0005727
444,1E-08
445,0.001426
446,0.000158
447,1E-08
448,1E-08
449,0.000585
450,1E-08
451,0.0005896
452,1E-08
453,1E-08
454,0.001428
455,0.001013
456,0.002669
457,1E-08
458,0.004538
459,0.001429
460,1E-08
461,0.0009886
462,0.004942
463,0.001428
464,0.003177
465,1E-08
466,1E-08
467,0.006187
468,0.01694
469,0.07784
470,0.3611
471,2.118
472,14.19
473,51.48
474,74.46
475,76.65
476,77.81
477,78.88
478,78.84
479,78.31
480,78.83
481,79.7
482,79.74
483,78.56
484,77.89
485,78.43
486,79.54
487,79.76
488,78.13
489,76.77
490,77.02
491,78.24
492,78.16
493,76.54
494,76.87
495,71.95
496,39.22
497,10.63
498,2.428
499,0.6313
500,0.1879
501,0.06359
502,0.02406
503,0.01022
504,0.006453
505,0.002692
506,0.00394
507,0.001857
508,0.005588
509,0.0001992
510,0.002269
511,0.0006154
512,1E-08
513,0.0002068
514,0.001444
515,1E-08
516,1E-08
517,1E-08
518,1E-08
519,1E-08
520,1E-08
521,1E-08
522,0.003495
523,1E-08
524,0.001445
525,0.002266
526,0.0006261
527,1E-08
528,0.001446
529,0.005548
530,0.0006246
531,0.0006243
532,1E-08
533,0.0002107
534,0.004344
535,0.00062
536,0.001034
537,0.001447
538,0.0006138
539,1E-08
540,1E-08
541,0.0001831
542,0.001451
543,1E-08
544,1E-08
545,0.000574
546,1E-08
547,1E-08
548,1E-08
549,0.00145
550,1E-08
551,0.0001564
552,0.0001618
553,1E-08
554,0.001881
555,0.0001744
556,0.001027
557,1E-08
558,1E-08
559,0.003976
560,0.0006161
561,1E-08
562,1E-08
563,0.002697
564,0.001901
565,1E-08
566,0.001004
567,1E-08
568,1E-08
569,0.0009905
570,1E-08
571,1E-08
572,1E-08
573,6.8E-05
574,0.001011
575,1E-08
576,0.001465
577,0.001922
578,1E-08
579,0.005161
580,1E-08
581,1E-08
582,1E-08
583,1E-08
584,1E-08
585,1E-08
586,0.0009643
587,0.003421
588,1E-08
589,1E-08
590,1E-08
591,1E-08
592,0.001479
593,1E-08
594,0.003138
595,1E-08
596,0.003102
597,1E-08
598,0.003913
599,0.0002544
600,1E-08
601,0.001092
602,0.000293
603,0.001885
604,0.0011
605,0.00109
606,1E-08
607,1E-08
608,0.00148
609,1E-08
610,1E-08
611,1E-08
612,0.0001851
613,0.00018
614,1E-08
615,0.0001827
616,1E-08
617,1E-08
618,0.0001077
619,1E-08
620,1E-08
621,1E-08
622,8.247E-05
623,0.001948
624,0.002392
625,1E-08
626,0.001021
627,1E-08
628,1E-08
629,1E-08
630,0.0001818
631,1E-08
632,0.0006417
633,0.001918
634,0.001075
635,0.0006598
636,1E-08
637,0.0002422
638,0.000334
639,1E-08
640,1E-08
641,1E-08
642,1E-08
643,0.0003513
644,1E-08
645,0.001502
646,1E-08
647,1E-08
648,0.001132
649,0.002264
650,1E-08
651,1E-08
652,0.002275
653,1E-08
654,0.001121
655,0.0003235
656,1.389E-06
657,0.0003411
658,0.0003945
659,1E-08
660,0.001894
661,1E-08
662,1E-08
663,0.00033
664,1E-08
665,1E-08
666,0.003858
667,0.0002858
668,0.001115
669,1E-08
670,1E-08
671,1E-08
672,0.0003117
673,1E-08
674,0.001498
675,1E-08
676,1E-08
677,1E-08
678,0.000715
679,0.001901
680,0.0003582
681,0.000722
682,0.0007062
683,0.001096
684,1E-08
685,1E-08
686,0.0003047
687,0.001093
688,0.001116
689,1E-08
690,0.000305
691,1E-08
692,0.001506
693,0.0003309
694,1E-08
695,1E-08
696,0.001503
697,1E-08
698,0.0007144
699,1E-08
700,0.001097
701,0.00192
702,1E-08
703,1E-08
704,1E-08
705,1E-08
706,1E-08
707,0.0007203
708,0.0003078
709,0.0002892
710,0.001097
711,0.001093
712,0.0007223
713,0.0003088
714,0.0006975
715,1E-08
716,0.0003445
717,0.002701
718,1E-08
719,1E-08
720,0.001929
721,0.003619
722,1E-08
723,1E-08
724,0.002739
725,0.001933
726,1E-08
727,1E-08
728,1E-08
729,0.0003049
730,1E-08
731,0.001521
732,1E-08
733,0.0003297
734,1E-08
735,0.001116
736,1E-08
737,0.003219
738,1E-08
739,0.001124
740,0.003574
741,1E-08
742,0.002314
743,0.001134
744,0.0007259
745,0.0007153
746,0.001532
747,1E-08
748,0.001533
749,0.001535
750,0.001126
751,0.001536
752,0.000272
753,0.003251
754,0.0003292
755,0.0003111
756,0.0007085
757,0.004909
758,0.0007465
759,0.0003311
760,0.004844
761,0.0007053
762,0.0002723
763,1E-08
764,1E-08
765,1E-08
766,0.0007128
767,0.0007003
768,0.001148
769,1E-08
770,1E-08
771,1E-08
772,0.002401
773,1E-08
774,1E-08
775,1E-08
776,0.001551
777,0.0002779
778,1E-08
779,1E-08
780,0.002386
781,1E-08
782,1E-08
783,0.001122
784,0.0003314
785,0.005712
786,0.0007163
787,1E-08
788,1E-08
789,1E-08
790,0.001976
791,0.0007136
792,0.0007645
793,0.001157
794,0.0003297
795,0.0003111
796,1E-08
797,1E-08
798,0.0002547
799,1E-08
800,1E-08
801,0.001132
802,0.000751
803,0.0003347
804,1E-08
805,1E-08
806,1E-08
807,0.0007063
808,0.000697
809,0.001996
810,1E-08
811,0.0007278
812,1E-08
813,0.001132
814,0.0007556
815,0.0003355
816,1E-08
817,0.001555
818,0.0003652
819,0.001952
820,0.0007314
821,0.0002988
822,1E-08
823,0.002345
824,0.0007196
825,0.001536
826,0.0003402
827,0.001121
828,1E-08
829,0.0007253
830,0.001136
831,0.00112
832,0.0003905
833,0.001114
834,0.0003953
835,0.0007298
836,1E-08
837,0.0003434
838,2.221E-05
839,0.001829
840,1E-08
841,0.0006933
842,0.0003517
843,0.001049
844,1E-08
845,0.0007129
846,0.0007308
847,1E-08
848,1E-08
849,1E-08
850,0.0001569
