Type,Emitter
Maker,"Semrock"
ProductName,"FF01-465/537/623-25"
Comment,""
Public,1
wavedataset
270,0.00031268
270.2,0.00034307
270.4,0.00037642
270.6,0.00041302
270.8,0.00045317
271,0.00049722
271.2,0.00054556
271.4,0.00059859
271.6,0.00065678
271.8,0.00072063
272,0.00071492
272.2,0.00070926
272.4,0.00070364
272.6,0.00069807
272.8,0.00069254
273,0.00068706
273.2,0.00068161
273.4,0.00067622
273.6,0.00067086
273.8,0.00066555
274,0.00065539
274.2,0.00064411
274.4,0.00063302
274.6,0.00062213
274.8,0.00061142
275,0.0006009
275.2,0.00059056
275.4,0.00058039
275.6,0.00057041
275.8,0.00056059
276,0.00051966
276.2,0.00046174
276.4,0.00041028
276.6,0.00036456
276.8,0.00032393
277,0.00028783
277.2,0.00025576
277.4,0.00022725
277.6,0.00020193
277.8,0.00017942
278,0.00017685
278.2,0.000208
278.4,0.00024462
278.6,0.0002877
278.8,0.00033836
279,0.00039795
279.2,0.00046802
279.4,0.00055044
279.6,0.00064737
279.8,0.00076137
280,0.00088609
280.2,0.00092101
280.4,0.00095731
280.6,0.00099503
280.8,0.0010342
281,0.001075
281.2,0.0011174
281.4,0.0011614
281.6,0.0012072
281.8,0.0012548
282,0.00099107
282.2,0.00077617
282.4,0.00060787
282.6,0.00047607
282.8,0.00037284
283,0.000292
283.2,0.00022868
283.4,0.0001791
283.6,0.00014026
283.8,0.00010985
284,0.00010195
284.2,9.984E-05
284.4,9.777E-05
284.6,9.5744E-05
284.8,9.3759E-05
285,9.1815E-05
285.2,8.9912E-05
285.4,8.8048E-05
285.6,8.6222E-05
285.8,8.4435E-05
286,9.3452E-05
286.2,0.0001141
286.4,0.00013931
286.6,0.00017008
286.8,0.00020766
287,0.00025354
287.2,0.00030956
287.4,0.00037795
287.6,0.00046145
287.8,0.0005634
288,0.00062644
288.2,0.00058765
288.4,0.00055126
288.6,0.00051712
288.8,0.0004851
289,0.00045506
289.2,0.00042688
289.4,0.00040045
289.6,0.00037565
289.8,0.00035239
290,0.00033161
290.2,0.00032435
290.4,0.00031726
290.6,0.00031032
290.8,0.00030354
291,0.0002969
291.2,0.00029041
291.4,0.00028406
291.6,0.00027784
291.8,0.00027177
292,0.00025567
292.2,0.00024038
292.4,0.000226
292.6,0.00021248
292.8,0.00019977
293,0.00018783
293.2,0.00017659
293.4,0.00016603
293.6,0.0001561
293.8,0.00014677
294,0.00012855
294.2,0.00011044
294.4,9.4874E-05
294.6,8.1504E-05
294.8,7.0018E-05
295,6.0151E-05
295.2,5.1674E-05
295.4,4.4392E-05
295.6,3.8136E-05
295.8,3.2762E-05
296,3.0582E-05
296.2,3.0278E-05
296.4,2.9977E-05
296.6,2.968E-05
296.8,2.9385E-05
297,2.9093E-05
297.2,2.8805E-05
297.4,2.8519E-05
297.6,2.8235E-05
297.8,2.7955E-05
298,2.9866E-05
298.2,3.5942E-05
298.4,4.3254E-05
298.6,5.2054E-05
298.8,6.2643E-05
299,7.5387E-05
299.2,9.0723E-05
299.4,0.00010918
299.6,0.00013139
299.8,0.00015812
300,0.00018764
300.2,0.00019481
300.4,0.00020225
300.6,0.00020998
300.8,0.000218
301,0.00022633
301.2,0.00023498
301.4,0.00024396
301.6,0.00025329
301.8,0.00026297
302,0.00025729
302.2,0.00025128
302.4,0.00024541
302.6,0.00023967
302.8,0.00023407
303,0.0002286
303.2,0.00022326
303.4,0.00021804
303.6,0.00021295
303.8,0.00020797
304,0.00017097
304.2,0.00013371
304.4,0.00010456
304.6,8.1768E-05
304.8,6.3944E-05
305,5.0005E-05
305.2,3.9105E-05
305.4,3.0581E-05
305.6,2.3915E-05
305.8,1.8702E-05
306,1.9034E-05
306.2,2.3443E-05
306.4,2.8874E-05
306.6,3.5563E-05
306.8,4.3802E-05
307,5.3949E-05
307.2,6.6447E-05
