Type,Emitter
Maker,"Semrock"
ProductName,"FF01-500/LP-25"
Comment,""
Public,1
wavedataset
270,0.004089
270.2,0.0040347
270.4,0.0039811
270.6,0.0039282
270.8,0.0038761
271,0.0038246
271.2,0.0037738
271.4,0.0037237
271.6,0.0036742
271.8,0.0036254
272,0.0035773
272.2,0.0035298
272.4,0.0034829
272.6,0.0034367
272.8,0.0033907
273,0.0032765
273.2,0.0031662
273.4,0.0030595
273.6,0.0029565
273.8,0.0028569
274,0.0027607
274.2,0.0026678
274.4,0.0025779
274.6,0.0024911
274.8,0.0024072
275,0.0023262
275.2,0.0021561
275.4,0.0019984
275.6,0.0018523
275.8,0.0017169
276,0.0015913
276.2,0.001475
276.4,0.0013671
276.6,0.0012672
276.8,0.0011745
277,0.0010886
277.2,0.001009
277.4,0.00093525
277.6,0.00086687
277.8,0.00084027
278,0.00088195
278.2,0.00092569
278.4,0.00097161
278.6,0.0010198
278.8,0.0010704
279,0.0011235
279.2,0.0011792
279.4,0.0012377
279.6,0.0012991
279.8,0.0013635
280,0.0014312
280.2,0.0015022
280.4,0.0015767
280.6,0.0016549
280.8,0.001737
281,0.0018231
281.2,0.0019136
281.4,0.0020085
281.6,0.0021081
281.8,0.0021502
282,0.0021045
282.2,0.0020598
282.4,0.002016
282.6,0.0019732
282.8,0.0019313
283,0.0018903
283.2,0.0018501
283.4,0.0018108
283.6,0.0017724
283.8,0.0017347
284,0.0016979
284.2,0.0016618
284.4,0.0016265
284.6,0.0015919
284.8,0.0015581
285,0.001525
285.2,0.0014926
285.4,0.0014609
285.6,0.0014299
285.8,0.0013903
286,0.0013418
286.2,0.001295
286.4,0.0012498
286.6,0.0012062
286.8,0.0011641
287,0.0011235
287.2,0.0010843
287.4,0.0010465
287.6,0.00101
287.8,0.00097476
288,0.00094076
288.2,0.00090794
288.4,0.00087626
288.6,0.00084569
288.8,0.00081619
289,0.00078772
289.2,0.00076024
289.4,0.00073371
289.6,0.00070812
289.8,0.00069477
290,0.00069152
290.2,0.00068828
290.4,0.00068505
290.6,0.00068184
290.8,0.00067864
291,0.00067546
291.2,0.0006723
291.4,0.00066915
291.6,0.00066601
291.8,0.00066289
292,0.00065978
292.2,0.00065669
292.4,0.00065361
292.6,0.00065055
292.8,0.0006475
293,0.00064447
293.2,0.00064145
293.4,0.00063844
293.6,0.00063545
293.8,0.00064119
294,0.00065266
294.2,0.00066435
294.4,0.00067624
294.6,0.00068835
294.8,0.00070067
295,0.00071321
295.2,0.00071225
295.4,0.00071129
295.6,0.00071015
295.8,0.00069736
296,0.00068481
296.2,0.00067248
296.4,0.00066037
296.6,0.00064848
296.8,0.0006368
297,0.00062534
297.2,0.00061408
