Type,Emitter
Maker,"Semrock"
ProductName,"FF01-520/28-25"
Comment,""
Public,1
wavedataset
300,5.8753E-05
300.2,5.813E-05
300.4,5.7513E-05
300.6,5.6903E-05
300.8,5.6299E-05
301,5.5702E-05
301.2,5.5111E-05
301.4,5.4526E-05
301.6,5.3948E-05
301.8,5.1759E-05
302,4.8096E-05
302.2,4.4691E-05
302.4,4.1528E-05
302.6,3.8588E-05
302.8,3.5857E-05
303,3.3319E-05
303.2,3.0961E-05
303.4,2.8769E-05
303.6,2.6733E-05
303.8,2.484E-05
304,2.3082E-05
304.2,2.1448E-05
304.4,1.993E-05
304.6,1.8519E-05
304.8,1.7209E-05
305,1.599E-05
305.2,1.518E-05
305.4,1.4411E-05
305.6,1.3838E-05
305.8,1.3803E-05
306,1.3769E-05
306.2,1.3734E-05
306.4,1.37E-05
306.6,1.3666E-05
306.8,1.3631E-05
307,1.3597E-05
307.2,1.3563E-05
307.4,1.3529E-05
307.6,1.3495E-05
307.8,1.3461E-05
308,1.3428E-05
308.2,1.3394E-05
308.4,1.3361E-05
308.6,1.3327E-05
308.8,1.3294E-05
309,1.326E-05
309.2,1.3227E-05
309.4,1.3469E-05
309.6,1.3934E-05
309.8,1.4416E-05
310,1.4914E-05
310.2,1.543E-05
310.4,1.5963E-05
310.6,1.6515E-05
310.8,1.7085E-05
311,1.7676E-05
311.2,1.8287E-05
311.4,1.8919E-05
311.6,1.9573E-05
311.8,2.0249E-05
312,2.0949E-05
312.2,2.1673E-05
312.4,2.2422E-05
312.6,2.3197E-05
312.8,2.3999E-05
313,2.4828E-05
313.2,2.4E-05
313.4,2.3034E-05
313.6,2.2107E-05
313.8,2.1217E-05
314,2.0363E-05
314.2,1.9543E-05
314.4,1.8757E-05
314.6,1.8002E-05
314.8,1.7277E-05
315,1.6582E-05
315.2,1.5915E-05
315.4,1.5274E-05
315.6,1.4659E-05
315.8,1.4069E-05
316,1.3503E-05
316.2,1.296E-05
316.4,1.2438E-05
316.6,1.1938E-05
316.8,1.1571E-05
317,1.1534E-05
317.2,1.1498E-05
317.4,1.1461E-05
317.6,1.1425E-05
317.8,1.1389E-05
318,1.1353E-05
318.2,1.1318E-05
318.4,1.1282E-05
318.6,1.1246E-05
318.8,1.1211E-05
319,1.1176E-05
319.2,1.114E-05
319.4,1.1105E-05
319.6,1.107E-05
319.8,1.1035E-05
320,1.1001E-05
320.2,1.0966E-05
320.4,1.0931E-05
320.6,1.0897E-05
320.8,1.0863E-05
321,1.0829E-05
321.2,1.0795E-05
321.4,1.0762E-05
321.6,1.0728E-05
321.8,1.0695E-05
322,1.0661E-05
322.2,1.0628E-05
322.4,1.0595E-05
322.6,1.0562E-05
322.8,1.0529E-05
323,1.0496E-05
323.2,1.0463E-05
323.4,1.043E-05
323.6,1.0398E-05
323.8,1.0365E-05
324,1.0333E-05
324.2,1.0301E-05
324.4,1.1191E-05
324.6,1.2174E-05
324.8,1.3243E-05
325,1.4406E-05
325.2,1.5671E-05
325.4,1.7048E-05
325.6,1.8545E-05
325.8,2.0174E-05
326,2.1946E-05
326.2,2.3873E-05
326.4,2.597E-05
326.6,2.8251E-05
326.8,3.0732E-05
327,3.3431E-05
327.2,3.6367E-05
327.4,3.9562E-05
327.6,4.3036E-05
327.8,4.6816E-05
328,4.9891E-05
328.2,5.1218E-05
328.4,5.258E-05
328.6,5.3979E-05
328.8,5.5415E-05
329,5.6888E-05
329.2,5.8401E-05
329.4,5.9955E-05
329.6,6.1549E-05
329.8,6.3186E-05
330,6.4867E-05
330.2,6.6592E-05
330.4,6.8363E-05
330.6,7.0181E-05
330.8,7.2048E-05
331,7.3964E-05
331.2,7.5931E-05
331.4,7.7951E-05
331.6,8.0024E-05
331.8,7.3174E-05
332,6.4243E-05
332.2,5.6403E-05
332.4,4.952E-05
332.6,4.3476E-05
332.8,3.817E-05
333,3.3512E-05
333.2,2.9422E-05
333.4,2.5831E-05
333.6,2.2679E-05
333.8,1.9911E-05
334,1.7481E-05
334.2,1.5348E-05
334.4,1.3475E-05
334.6,1.183E-05
334.8,1.0386E-05
335,9.1188E-06
335.2,7.661E-06
335.4,6.4362E-06
335.6,5.7552E-06
335.8,6.0416E-06
336,6.3421E-06
336.2,6.6577E-06
336.4,6.9889E-06
336.6,7.3366E-06
336.8,7.7016E-06
337,8.0848E-06
337.2,8.487E-06
337.4,8.9093E-06
337.6,9.3525E-06
337.8,9.8179E-06
338,1.0306E-05
338.2,1.0819E-05
338.4,1.1357E-05
338.6,1.1922E-05
338.8,1.2516E-05
339,1.3138E-05
339.2,1.3792E-05
339.4,1.3443E-05
339.6,1.2578E-05
339.8,1.1769E-05
340,1.1012E-05
340.2,1.0304E-05
340.4,9.6411E-06
340.6,9.021E-06
340.8,8.4408E-06
341,7.8979E-06
341.2,7.3899E-06
341.4,6.9146E-06
341.6,6.4699E-06
341.8,6.0537E-06
342,5.6644E-06
342.2,5.3E-06
342.4,4.9592E-06
342.6,4.6402E-06
342.8,4.3417E-06
343,4.07E-06
343.2,4.3052E-06
343.4,4.5541E-06
343.6,4.8173E-06
343.8,5.0957E-06
344,5.3903E-06
344.2,5.7018E-06
344.4,6.0314E-06
344.6,6.38E-06
344.8,6.7488E-06
345,7.1388E-06
345.2,7.5515E-06
345.4,7.9879E-06
345.6,8.4496E-06
345.8,8.938E-06
346,9.4547E-06
346.2,1.0001E-05
346.4,1.0579E-05
346.6,1.1191E-05
346.8,1.1316E-05
347,1.0694E-05
347.2,1.0107E-05
347.4,9.552E-06
347.6,9.0274E-06
347.8,8.5316E-06
348,8.0631E-06
348.2,7.6203E-06
348.4,7.2018E-06
348.6,6.8063E-06
348.8,6.4325E-06
349,6.0792E-06
349.2,5.7454E-06
349.4,5.4298E-06
349.6,5.1316E-06
349.8,4.8498E-06
350,4.5835E-06
350.2,4.3317E-06
350.4,4.0938E-06
350.6,4.0497E-06
350.8,4.0564E-06
351,4.0631E-06
351.2,4.0698E-06
351.4,4.0765E-06
351.6,4.0833E-06
351.8,4.09E-06
352,4.0968E-06
352.2,4.1036E-06
352.4,4.1103E-06
352.6,4.1171E-06
352.8,4.124E-06
353,4.1308E-06
353.2,4.1376E-06
353.4,4.1444E-06
353.6,4.1513E-06
353.8,4.1582E-06
354,4.165E-06
354.2,4.2394E-06
354.4,4.6314E-06
354.6,5.0596E-06
354.8,5.5273E-06
355,6.0383E-06
355.2,6.5966E-06
355.4,7.2065E-06
355.6,7.8727E-06
355.8,8.6006E-06
356,9.3957E-06
356.2,1.0264E-05
356.4,1.1213E-05
356.6,1.225E-05
356.8,1.3383E-05
357,1.462E-05
357.2,1.5971E-05
357.4,1.7448E-05
357.6,1.9061E-05
357.8,2.0823E-05
358,2.2062E-05
358.2,2.2882E-05
358.4,2.3733E-05
358.6,2.4615E-05
358.8,2.553E-05
359,2.6479E-05
359.2,2.7463E-05
359.4,2.8484E-05
359.6,2.9543E-05
359.8,3.0641E-05
360,3.178E-05
360.2,3.2961E-05
360.4,3.4187E-05
360.6,3.5457E-05
360.8,3.6775E-05
361,3.8142E-05
361.2,3.956E-05
361.4,4.1031E-05
361.6,4.2556E-05
361.8,4.5205E-05
362,4.8019E-05
362.2,5.1008E-05
362.4,5.4184E-05
362.6,5.7557E-05
362.8,6.114E-05
363,6.4946E-05
