Type,Emitter
Maker,"Chroma"
ProductName,"HQ560/50m"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.00095
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00131615
363,0.00240313
364,0.0042245
365,0.00745472
366,0.0125447
367,0.02165
368,0.0384133
369,0.0629861
370,0.0999086
371,0.155311
372,0.231008
373,0.326074
374,0.43607
375,0.554199
376,0.699555
377,0.890774
378,1.09712
379,1.23666
380,1.37064
381,1.64866
382,1.85729
383,1.74177
384,1.80175
385,2.43003
386,2.98463
387,2.67431
388,2.76511
389,3.79835
390,3.97859
391,2.96392
392,2.39661
393,1.77938
394,1.03753
395,0.630663
396,0.453744
397,0.323454
398,0.207427
399,0.141967
400,0.116082
401,0.124006
402,0.171511
403,0.309171
404,0.749087
405,2.51278
406,10.2564
407,25.7163
408,29.8694
409,28.1619
410,32.0743
411,42.0665
412,43.8485
413,31.3458
414,24.0403
415,28.3617
416,43.4257
417,40.937
418,24.3827
419,19.7666
420,27.9497
421,44.2903
422,37.7217
423,24.7706
424,25.0288
425,38.9002
426,57.2023
427,61.652
428,63.6082
429,56.7324
430,39.4688
431,35.0369
432,48.2185
433,49.5837
434,31.3596
435,31.9284
436,47.2852
437,32.0739
438,20.8655
439,34.027
440,25.0112
441,16.5304
442,5.93808
443,2.70956
444,1.52892
445,0.0479548
446,0.00168623
447,0.00095
448,0.00095
449,0.00095
450,0.00095
451,0.00095
452,0.00095
453,0.00095
454,0.00095
455,0.00095
456,0.00095
457,0.00095
458,0.00095
459,0.00095
460,0.00095
461,0.00095
462,0.00095
463,0.00095
464,0.00095
465,0.00095
466,0.00095
467,0.00095
468,0.00095
469,0.00095
470,0.00095
471,0.00095
472,0.00095
473,0.00095
474,0.00095
475,0.00095
476,0.00095
477,0.00095
478,0.00095
479,0.00095
480,0.00095
481,0.00095
482,0.00095
483,0.00095
484,0.00095
485,0.00095
486,0.00095
487,0.00095
488,0.00095
489,0.00095
490,0.00095
491,0.00095
492,0.00095
493,0.00095
494,0.00095
495,0.00095
496,0.00095
497,0.00095
498,0.00095
499,0.00095
500,0.00095
501,0.00095
502,0.00095
503,0.00095
504,0.00095
505,0.00095
506,0.00095
507,0.00095
508,0.00095
509,0.00095
510,0.00095
511,0.00095
512,0.00095
513,0.00095
514,0.00095
515,0.00095
516,0.00095
517,0.00095
518,0.00095
519,0.00095
520,0.00095
521,0.00095
522,0.00095
523,0.00095
524,0.00095
525,0.00095
526,0.00095
527,0.00095
528,0.00095
529,0.00132559
530,0.00743984
531,0.0575501
532,0.665405
533,12.4422
534,62.4026
535,81.8839
536,84.823
537,85.7193
538,87.1889
539,87.3366
540,87.407
541,88.1262
542,87.9284
543,86.3956
544,85.6065
545,86.5096
546,88.3271
547,89.0209
548,87.7396
549,86.2699
550,85.4514
551,86.5528
552,87.9297
553,89.5629
554,89.7226
555,89.1604
556,88.2283
557,88.0366
558,88.059
559,88.4196
560,89.1396
561,89.6136
562,89.5751
563,89.4916
564,88.7786
565,88.3749
566,88.2648
567,88.5089
568,88.9526
569,89.454
570,89.3655
571,88.7857
572,88.3152
573,88.3252
574,88.5917
575,88.7898
576,88.3112
577,87.0414
578,86.5163
579,87.0681
580,87.0824
581,85.2504
582,84.0448
583,84.7568
584,76.1203
585,58.4911
586,59.514
587,7.89576
588,3.28692
589,0.290656
590,0.0472261
591,0.0110119
592,0.00328455
593,0.00125079
594,0.00095
595,0.00095
596,0.00095
597,0.00095
598,0.00095
599,0.00095
600,0.00095
601,0.00095
602,0.00095
603,0.00095
604,0.00095
605,0.00095
606,0.00095
607,0.00095
608,0.00095
609,0.00095
610,0.00095
611,0.00095
612,0.00095
613,0.00095
614,0.00095
615,0.00095
616,0.00095
617,0.00095
618,0.00095
619,0.00095
620,0.00095
621,0.00095
622,0.00095
623,0.00095
624,0.00095
625,0.00095
626,0.00095
627,0.00095
628,0.00095
629,0.00095
630,0.00095
631,0.00095
632,0.00095
633,0.00095
634,0.00095
635,0.00095
636,0.00095
637,0.00095
638,0.00095
639,0.00095
640,0.00095
641,0.00095
642,0.00095
643,0.00095
644,0.00095
645,0.00095
646,0.00095
647,0.00095
648,0.00095
649,0.00095
650,0.00095
651,0.00095
652,0.00095
653,0.00095
654,0.00095
655,0.00095
656,0.00095
657,0.00095
658,0.00095
659,0.00095
660,0.00095
661,0.00095
662,0.00095
663,0.00095
664,0.00095
665,0.00095
666,0.00095
667,0.00095
668,0.00095
669,0.00095
670,0.00095
671,0.00095
672,0.00095
673,0.00095
674,0.00095
675,0.00095
676,0.00095
677,0.00095
678,0.00095
679,0.00095
680,0.00095
681,0.00095
682,0.00095
683,0.00095
684,0.00095
685,0.00095
686,0.00095
687,0.00095
688,0.00095
689,0.00095
690,0.00095
691,0.00095
692,0.00095
693,0.00095
694,0.00095
695,0.00095
696,0.00095
697,0.00095
698,0.00095
699,0.00095
700,0.00095
701,0.00095
702,0.00095
703,0.00095
704,0.00095
705,0.00095
706,0.00095
707,0.00095
708,0.00095
709,0.00095
710,0.00095
711,0.00095
712,0.00095
713,0.00095
714,0.00095
715,0.00095
716,0.00095
717,0.00095
718,0.00095
719,0.00095
720,0.00095
721,0.00095
722,0.00095
723,0.00095
724,0.00095
725,0.00095
726,0.00095
727,0.00095
728,0.00095
729,0.00095
730,0.00095
731,0.00095
732,0.00095
733,0.00095
734,0.00095
735,0.00095
736,0.00095
737,0.00095
738,0.00095
739,0.000985306
740,0.0017033
741,0.00298179
742,0.00573205
743,0.0116179
744,0.024809
745,0.0587544
746,0.158709
747,0.508746
748,2.2496
749,17.592
750,62.3971
751,39.2901
752,25.017
753,28.9824
754,45.6731
755,73.6535
756,83.151
757,63.0095
758,45.1138
759,36.6001
760,34.5508
