Type,Emitter
Maker,"Omega"
ProductName,"XF3058(457-528-633TBEM)"
Comment,""
Public,1
wavedataset
1195,0.045535348
1194.5,0.044434942
1194,0.046431031
1193.5,0.039862886
1193,0.045655023
1192.5,0.047264136
1192,0.04582087
1191.5,0.044352341
1191,0.044004958
1190.5,0.045855828
1190,0.04548816
1189.5,0.046799775
1189,0.041419085
1188.5,0.045227744
1188,0.045642499
1187.5,0.050629389
1187,0.045753658
1186.5,0.047379084
1186,0.042684801
1185.5,0.043737616
1185,0.051171541
1184.5,0.043901846
1184,0.046986595
1183.5,0.044960987
1183,0.049885053
1182.5,0.046093047
1182,0.039549362
1181.5,0.043832928
1181,0.044264514
1180.5,0.047392178
1180,0.042366315
1179.5,0.044597641
1179,0.042979039
1178.5,0.042685796
1178,0.046262406
1177.5,0.04434634
1177,0.043713108
1176.5,0.047099009
1176,0.038853809
1175.5,0.043989763
1175,0.048189241
1174.5,0.044663459
1174,0.041282121
1173.5,0.042858094
1173,0.04465979
1172.5,0.046458278
1172,0.042635955
1171.5,0.044296701
1171,0.044347171
1170.5,0.041164316
1170,0.047598936
1169.5,0.042179838
1169,0.048742905
1168.5,0.03747455
1168,0.046873871
1167.5,0.044551462
1167,0.038080893
1166.5,0.044684958
1166,0.036503028
1165.5,0.042766012
1165,0.043217421
1164.5,0.038599521
1164,0.047452275
1163.5,0.046019275
1163,0.044193372
1162.5,0.045142401
1162,0.040482238
1161.5,0.050044555
1161,0.041430976
1160.5,0.045733459
1160,0.041564293
1159.5,0.041192323
1159,0.047718953
1158.5,0.040986136
1158,0.0424302
1157.5,0.04605224
1157,0.04785252
1156.5,0.049333896
1156,0.043864612
1155.5,0.042033307
1155,0.042785063
1154.5,0.044258218
1154,0.043491896
1153.5,0.046030644
1153,0.04451441
1152.5,0.039924454
1152,0.050630443
1151.5,0.04487437
1151,0.046456572
1150.5,0.048041325
1150,0.042765673
1149.5,0.052855618
1149,0.043714147
1148.5,0.041799545
1148,0.045458287
1147.5,0.046412677
