Type,Emitter
Maker,"Omega"
ProductName,"XF3106(545AF35)"
Comment,""
Public,1
wavedataset
1200,61.002
1199.5,61.298
1199,61.607
1198.5,61.945
1198,62.245
1197.5,62.556
1197,62.921
1196.5,63.245
1196,63.552
1195.5,63.857
1195,64.174
1194.5,64.484
1194,64.823
1193.5,65.13
1193,65.445
1192.5,65.73
1192,65.98
1191.5,66.305
1191,66.569
1190.5,66.828
1190,67.128
1189.5,67.369
1189,67.584
1188.5,67.834
1188,68.073
1187.5,68.287
1187,68.505
1186.5,68.664
1186,68.863
1185.5,69.003
1185,69.14
1184.5,69.284
1184,69.456
1183.5,69.517
1183,69.59
1182.5,69.663
1182,69.711
1181.5,69.731
1181,69.758
1180.5,69.749
1180,69.723
1179.5,69.702
1179,69.625
1178.5,69.536
1178,69.444
1177.5,69.351
1177,69.236
1176.5,69.051
1176,68.878
1175.5,68.761
1175,68.558
1174.5,68.338
1174,68.103
1173.5,67.852
1173,67.607
1172.5,67.309
1172,67.059
1171.5,66.717
1171,66.578
1170.5,66.086
1170,65.847
1169.5,65.513
1169,65.134
1168.5,64.759
1168,64.262
1167.5,64.044
1167,63.691
1166.5,63.276
1166,62.914
1165.5,62.501
1165,62.103
1164.5,61.728
1164,61.304
1163.5,60.93
1163,60.561
1162.5,60.156
1162,59.752
1161.5,59.351
1161,58.955
1160.5,58.552
1160,58.128
1159.5,57.748
1159,57.343
1158.5,56.971
1158,56.586
1157.5,56.234
1157,55.861
1156.5,55.459
1156,55.12
1155.5,54.739
1155,54.389
1154.5,54.064
1154,53.746
1153.5,53.404
1153,53.088
1152.5,52.76
1152,52.423
1151.5,52.129
1151,51.859
1150.5,51.586
1150,51.3
1149.5,51.042
1149,50.796
1148.5,50.556
1148,50.324
1147.5,50.088
1147,49.897
1146.5,49.711
1146,49.508
1145.5,49.312
1145,49.153
1144.5,49.029
1144,48.866
1143.5,48.748
1143,48.613
1142.5,48.48
1142,48.431
1141.5,48.309
1141,48.25
1140.5,48.179
1140,48.134
1139.5,48.069
1139,48.032
1138.5,48.022
1138,47.986
1137.5,48.023
1137,48.058
1136.5,48.075
1136,48.129
1135.5,48.174
1135,48.251
1134.5,48.338
1134,48.44
1133.5,48.56
1133,48.699
1132.5,48.84
1132,48.968
1131.5,49.143
1131,49.299
1130.5,49.491
1130,49.722
1129.5,49.936
1129,50.147
1128.5,50.407
1128,50.65
1127.5,50.942
1127,51.24
1126.5,51.546
1126,51.882
1125.5,52.177
1125,52.518
1124.5,52.883
1124,53.256
1123.5,53.645
1123,54.03
1122.5,54.453
1122,54.868
1121.5,55.306
1121,55.758
1120.5,56.22
1120,56.694
1119.5,57.156
1119,57.687
1118.5,58.167
1118,58.684
1117.5,59.229
1117,59.755
1116.5,60.291
1116,60.845
1115.5,61.384
1115,61.93
1114.5,62.508
1114,63.073
1113.5,63.636
1113,64.217
1112.5,64.763
1112,65.313
1111.5,65.878
1111,66.474
1110.5,67.027
1110,67.534
1109.5,68.056
1109,68.569
1108.5,69.083
1108,69.596
1107.5,70.04
1107,70.502
1106.5,70.905
1106,71.341
1105.5,71.703
1105,72.048
1104.5,72.352
1104,72.641
1103.5,72.889
1103,73.068
1102.5,73.269
1102,73.442
1101.5,73.584
1101,73.612
1100.5,73.631
1100,73.638
1099.5,73.572
1099,73.499
1098.5,73.383
1098,73.21
1097.5,72.973
1097,72.751
1096.5,72.413
1096,72.102
1095.5,71.751
1095,71.352
1094.5,70.889
1094,70.47
1093.5,69.973
1093,69.492
1092.5,68.93
1092,68.351
1091.5,67.786
1091,67.187
1090.5,66.527
1090,65.978
1089.5,65.208
1089,64.569
1088.5,63.905
1088,63.232
1087.5,62.557
1087,61.869
1086.5,61.152
1086,60.45
1085.5,59.739
1085,59.053
1084.5,58.378
1084,57.729
1083.5,57.047
1083,56.369
1082.5,55.696
1082,55.06
1081.5,54.459
1081,53.853
1080.5,53.236
1080,52.631
1079.5,52.035
1079,51.476
1078.5,50.916
1078,50.414
1077.5,49.894
1077,49.37
1076.5,48.858
1076,48.345
1075.5,47.908
1075,47.464
1074.5,47.087
1074,46.65
1073.5,46.241
1073,45.857
1072.5,45.513
1072,45.176
1071.5,44.853
1071,44.553
1070.5,44.246
1070,43.979
1069.5,43.71
1069,43.477
1068.5,43.271
1068,43.053
1067.5,42.884
1067,42.702
1066.5,42.567
1066,42.423
1065.5,42.298
1065,42.195
1064.5,42.129
1064,42.081
1063.5,42.029
1063,42.017
1062.5,41.977
1062,42.004
1061.5,42.032
1061,42.076
1060.5,42.16
1060,42.243
1059.5,42.339
1059,42.466
1058.5,42.597
1058,42.783
1057.5,42.968
1057,43.169
1056.5,43.386
1056,43.662
1055.5,43.918
1055,44.187
1054.5,44.474
1054,44.799
1053.5,45.178
1053,45.56
1052.5,45.943
1052,46.369
1051.5,46.818
1051,47.283
1050.5,47.77
1050,48.314
1049.5,48.803
1049,49.361
1048.5,49.955
1048,50.593
1047.5,51.237
1047,51.871
1046.5,52.565
1046,53.293
1045.5,54.029
1045,54.778
1044.5,55.591
1044,56.392
1043.5,57.194
1043,58.043
1042.5,58.853
1042,59.749
1041.5,60.706
1041,61.608
1040.5,62.505
1040,63.379
1039.5,64.309
1039,65.215
1038.5,66.186
1038,67.103
1037.5,67.978
1037,68.824
1036.5,69.613
1036,70.431
1035.5,71.202
1035,71.955
1034.5,72.666
1034,73.295
1033.5,73.86
1033,74.37
1032.5,74.821
1032,75.192
1031.5,75.506
1031,75.765
1030.5,75.842
1030,75.956
1029.5,75.917
1029,75.804
1028.5,75.623
1028,75.325
1027.5,74.953
1027,74.507
1026.5,73.963
1026,73.337
1025.5,72.609
1025,71.857
1024.5,71.079
1024,70.189
1023.5,69.327
1023,68.357
1022.5,67.235
1022,66.338
1021.5,65.201
1021,64.205
1020.5,63.106
1020,62.009
1019.5,60.86
1019,59.667
1018.5,58.645
1018,57.577
1017.5,56.485
1017,55.376
1016.5,54.31
1016,53.216
1015.5,52.206
1015,51.245
1014.5,50.279
1014,49.359
1013.5,48.409
1013,47.455
1012.5,46.637
1012,45.803
1011.5,45.02
1011,44.293
1010.5,43.533
1010,42.796
1009.5,42.136
1009,41.509
1008.5,40.868
1008,40.306
1007.5,39.739
1007,39.183
1006.5,38.691
1006,38.235
1005.5,37.788
1005,37.368
1004.5,36.987
1004,36.6
1003.5,36.252
1003,35.936
1002.5,35.672
1002,35.409
1001.5,35.155
1001,34.945
1000.5,34.771
1000,34.599
999.5,34.459
999,34.348
998.5,34.279
998,34.222
997.5,34.178
997,34.15
996.5,34.192
996,34.21
995.5,34.3
995,34.391
994.5,34.508
994,34.63
993.5,34.842
993,35.046
992.5,35.26
992,35.491
991.5,35.811
991,36.132
990.5,36.504
990,36.881
989.5,37.285
989,37.744
988.5,38.227
988,38.764
987.5,39.369
987,39.956
986.5,40.616
986,41.226
985.5,41.961
985,42.756
984.5,43.641
984,44.493
983.5,45.367
983,46.302
982.5,47.336
982,48.397
981.5,49.506
981,50.793
980.5,51.931
980,53.23
979.5,54.485
979,55.871
978.5,57.25
978,58.748
977.5,60.252
977,61.724
976.5,63.249
976,64.666
975.5,66.263
975,67.764
974.5,69.176
974,70.644
973.5,71.926
973,73.185
972.5,74.303
972,75.342
971.5,76.298
971,77.047
970.5,77.585
970,78.069
969.5,78.19
969,78.225
968.5,78.021
968,77.651
967.5,77.011
967,76.253
966.5,75.345
966,74.197
965.5,72.937
965,71.553
964.5,70.117
964,68.578
963.5,66.856
963,65.139
962.5,63.266
962,61.461
961.5,59.633
961,57.883
960.5,56.118
960,54.339
959.5,52.522
959,50.848
958.5,49.099
958,47.552
957.5,46.062
957,44.637
956.5,43.152
956,41.761
955.5,40.481
955,39.206
954.5,38.038
954,36.971
953.5,35.885
953,34.88
952.5,33.937
952,33.063
951.5,32.22
951,31.496
950.5,30.71
950,30.077
949.5,29.392
949,28.842
948.5,28.312
948,27.819
947.5,27.341
947,26.938
946.5,26.532
946,26.188
945.5,25.852
945,25.586
944.5,25.351
944,25.118
943.5,24.951
943,24.792
942.5,24.694
942,24.591
941.5,24.588
941,24.529
940.5,24.542
940,24.593
939.5,24.678
939,24.809
938.5,24.938
938,25.134
937.5,25.351
937,25.622
936.5,25.946
936,26.272
935.5,26.652
935,27.075
934.5,27.575
934,28.145
933.5,28.715
933,29.35
932.5,30.05
932,30.793
931.5,31.619
931,32.59
930.5,33.609
930,34.655
929.5,35.804
929,37.016
928.5,38.363
928,39.949
927.5,41.558
927,43.27
926.5,44.923
926,46.885
925.5,48.883
925,50.99
924.5,53.221
924,55.649
923.5,57.912
923,60.247
922.5,62.715
922,65.155
921.5,67.67
921,69.92
920.5,72.101
920,73.938
919.5,75.559
919,76.868
918.5,77.854
918,78.54
917.5,78.731
917,78.465
916.5,77.81
916,76.7
915.5,75.19
915,73.334
914.5,71.131
914,68.828
913.5,66.225
913,63.643
912.5,60.805
912,58.04
911.5,55.039
911,52.38
910.5,49.703
910,47.021
909.5,44.566
909,42.228
908.5,39.893
908,37.912
907.5,35.978
907,34.196
906.5,32.492
906,30.923
905.5,29.495
905,28.078
