Type,Emitter
Maker,"Omega"
ProductName,"XF3409(695QM55)"
Comment,""
Public,1
wavedataset
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1E-05
353,0
354,1E-05
355,1E-05
356,0
357,2E-05
358,0
359,0
360,1E-05
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,4E-05
393,0.00021
394,0.00039
395,0.00045
396,0.0006
397,0.00058
398,0.00046
399,0.00047
400,0.00055
401,0.00058
402,0.00043
403,0.00042
404,0.00061
405,0.00079
406,0.00047
407,0.00026
408,0.00027
409,0.00046
410,0.00072
411,0.00061
412,0.00036
413,0.00021
414,0.00016
415,0.0001
416,6E-05
417,5E-05
418,6E-05
419,9E-05
420,0.0001
421,9E-05
422,0.00012
423,0.00024
424,0.00053
425,0.00056
426,0.00035
427,0.00024
428,0.00023
429,0.00028
430,0.00026
431,0.00018
432,0.00015
433,0.00017
434,0.00026
435,0.0003
436,0.00024
437,0.00023
438,0.00026
439,0.00034
440,0.00052
441,0.00055
442,0.00044
443,0.0004
444,0.00043
445,0.00055
446,0.00062
447,0.00052
448,0.00045
449,0.00045
450,0.00054
451,0.00065
452,0.00057
453,0.00043
454,0.00036
455,0.00038
456,0.00047
457,0.0005
458,0.00042
459,0.00038
460,0.0004
461,0.00049
462,0.00058
463,0.0005
464,0.00038
465,0.00033
466,0.00034
467,0.00041
468,0.00039
469,0.00028
470,0.00025
471,0.0003
472,0.00044
473,0.00056
474,0.00041
475,0.00027
476,0.00024
477,0.00028
478,0.0004
479,0.00035
480,0.0002
481,0.00016
482,0.0002
483,0.00035
484,0.00046
485,0.00023
486,0.00014
487,0.00014
488,0.00024
489,0.00042
490,0.00018
491,8E-05
492,8E-05
493,0.00016
494,0.00035
495,0.0001
496,5E-05
497,6E-05
498,0.00022
499,9E-05
500,2E-05
501,2E-05
502,0.00014
503,2E-05
504,1E-05
505,1E-05
506,1E-05
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,1E-05
659,2E-05
660,4E-05
661,0.00011
662,0.0003
663,0.00083
664,0.00249
665,0.00813
666,0.02928
667,0.12011
668,0.58538
669,3.59804
670,26.78805
671,90.74964
672,99.67643
673,99.70806
674,99.84694
675,99.54124
676,99.65276
677,99.84508
678,99.68574
679,99.36236
680,99.24445
681,99.39977
682,99.60648
683,99.63614
684,99.46231
685,99.24312
686,99.15949
687,99.27505
688,99.50836
689,99.70124
690,99.72458
691,99.55422
692,99.2758
693,99.02831
694,98.9293
695,99.02228
696,99.26323
697,99.5461
698,99.74971
699,99.78829
700,99.64483
701,99.37403
702,99.07555
703,98.8547
704,98.78574
705,98.8896
706,99.12941
707,99.42446
708,99.67549
709,99.79692
710,99.74563
711,99.5364
712,99.23682
713,98.94507
714,98.75754
715,98.73671
716,98.88779
717,99.1523
718,99.42322
719,99.58462
720,99.56926
721,99.4103
722,99.24759
723,99.24536
724,99.3728
725,98.98474
726,96.24548
727,88.11593
728,72.69336
729,52.90247
730,34.75485
731,21.62614
732,13.28131
733,8.24789
734,5.23727
735,3.41325
736,2.28342
737,1.5654
738,1.09726
739,0.78442
740,0.57044
741,0.42089
742,0.31422
743,0.23675
744,0.17957
745,0.13679
746,0.10443
747,0.07977
748,0.06088
749,0.04639
750,0.03528
751,0.0268
752,0.02035
753,0.01545
754,0.01175
755,0.00896
756,0.00687
757,0.00529
758,0.0041
759,0.0032
760,0.00251
761,0.00199
762,0.0016
763,0.00129
764,0.00105
765,0.00087
766,0.00072
767,0.00061
768,0.00051
769,0.00044
770,0.00038
771,0.00034
772,0.0003
773,0.00027
774,0.00024
775,0.00022
776,0.00021
777,0.00019
778,0.00018
779,0.00018
780,0.00017
781,0.00017
782,0.00017
783,0.00017
784,0.00018
785,0.00019
786,0.0002
787,0.00022
788,0.00024
789,0.00026
790,0.00029
791,0.00031
792,0.00034
793,0.00035
794,0.00034
795,0.00032
796,0.00028
797,0.00024
798,0.0002
799,0.00016
800,0.00013
801,0.00011
802,0.0001
803,8E-05
804,7E-05
805,6E-05
806,6E-05
807,5E-05
808,5E-05
809,5E-05
810,5E-05
811,4E-05
812,4E-05
813,5E-05
814,5E-05
815,5E-05
816,5E-05
817,6E-05
818,6E-05
819,7E-05
820,8E-05
821,9E-05
822,0.0001
823,0.0001
824,0.00011
825,0.00011
826,0.0001
827,9E-05
828,8E-05
829,7E-05
830,6E-05
831,5E-05
832,5E-05
833,4E-05
834,4E-05
835,3E-05
836,3E-05
837,3E-05
838,3E-05
839,2E-05
840,2E-05
841,2E-05
842,2E-05
843,3E-05
844,3E-05
845,3E-05
846,3E-05
847,3E-05
848,4E-05
849,5E-05
850,5E-05
851,6E-05
852,8E-05
853,9E-05
854,0.00011
855,0.00012
856,0.00012
857,0.00011
858,0.0001
859,8E-05
860,7E-05
861,5E-05
862,5E-05
863,4E-05
864,3E-05
865,3E-05
866,3E-05
867,3E-05
868,2E-05
869,2E-05
870,2E-05
871,2E-05
872,2E-05
873,2E-05
874,3E-05
875,3E-05
876,3E-05
877,4E-05
878,4E-05
879,5E-05
880,6E-05
881,9E-05
882,0.00012
883,0.00017
884,0.00024
885,0.0003
886,0.00029
887,0.00022
888,0.00015
889,0.00011
890,8E-05
891,6E-05
892,5E-05
893,4E-05
894,3E-05
895,3E-05
896,3E-05
897,3E-05
898,3E-05
899,3E-05
900,3E-05
901,3E-05
902,3E-05
903,4E-05
904,4E-05
905,6E-05
906,8E-05
907,0.00013
908,0.00028
909,0.00078
910,0.00088
911,0.00026
912,0.0001
913,5E-05
914,3E-05
915,2E-05
916,1E-05
917,1E-05
918,1E-05
919,1E-05
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1E-05
968,1E-05
969,1E-05
970,1E-05
971,2E-05
972,3E-05
973,5E-05
974,0.00011
975,0.00033
976,0.00201
977,0.00139
978,0.00031
979,0.00013
980,7E-05
981,5E-05
982,4E-05
983,3E-05
984,2E-05
985,2E-05
986,2E-05
987,2E-05
988,2E-05
989,1E-05
990,1E-05
991,1E-05
992,1E-05
993,1E-05
994,1E-05
995,2E-05
996,2E-05
997,2E-05
998,2E-05
999,2E-05
1000,3E-05
1001,3E-05
1002,3E-05
1003,4E-05
1004,5E-05
1005,7E-05
1006,0.0001
1007,0.00014
1008,0.00022
1009,0.00037
1010,0.00064
1011,0.00091
1012,0.00076
1013,0.00046
1014,0.00027
1015,0.00018
1016,0.00012
1017,9E-05
1018,7E-05
1019,6E-05
1020,5E-05
1021,4E-05
1022,4E-05
1023,3E-05
1024,3E-05
1025,3E-05
1026,3E-05
1027,2E-05
1028,2E-05
1029,2E-05
1030,2E-05
1031,2E-05
1032,2E-05
1033,2E-05
1034,2E-05
1035,2E-05
1036,2E-05
1037,2E-05
1038,3E-05
1039,3E-05
1040,3E-05
1041,3E-05
1042,3E-05
1043,4E-05
1044,4E-05
1045,5E-05
1046,5E-05
1047,6E-05
1048,7E-05
1049,9E-05
1050,0.00011
1051,0.00013
1052,0.00017
1053,0.00022
1054,0.00029
1055,0.00038
1056,0.00051
1057,0.00064
1058,0.00073
