Type,Emitter
Maker,"Omega"
ProductName,"XF3470(535-710DBEM)"
Comment,""
Public,1
wavedataset
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,2E-05
329,6E-05
330,5E-05
331,0.00011
332,0.00037
333,7E-05
334,0.00024
335,0.002
336,0.00133
337,0.00037
338,8E-05
339,3E-05
340,1E-05
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,2E-05
349,0.00012
350,0.00338
351,0.00237
352,0.00098
353,0.0008
354,0.00062
355,0.01642
356,0.00425
357,0.00238
358,0.00033
359,0.0017
360,3E-05
361,0.00015
362,0
363,0
364,0
365,0
366,1E-05
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1E-05
494,1E-05
495,1E-05
496,2E-05
497,5E-05
498,0.00017
499,0.00069
500,0.00131
501,0.00172
502,0.00301
503,0.00722
504,0.02371
505,0.11657
506,0.89317
507,7.49156
508,31.09786
509,77.71219
510,98.05347
511,98.27187
512,98.53524
513,98.50362
514,98.66237
515,98.65549
516,98.69834
517,98.79794
518,98.76017
519,98.79896
520,98.88673
521,98.85497
522,98.87159
523,98.96394
524,98.95348
525,98.93672
526,99.01334
527,99.02221
528,98.97868
529,99.04938
530,99.11384
531,99.0541
532,99.05039
533,99.12703
534,99.1097
535,99.08481
536,99.16304
537,99.16963
538,99.10224
539,99.15484
540,99.20359
541,99.14049
542,99.17827
543,99.23731
544,99.14984
545,99.19206
546,99.28665
547,99.15171
548,99.17697
549,99.27262
550,99.16835
551,99.25509
552,99.11824
553,99.22031
554,99.13454
555,99.1397
556,98.97554
557,98.67824
558,3.13411
559,0.03252
560,0.00105
561,6E-05
562,1E-05
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,2E-05
659,0.0001
660,0.00058
661,0.00425
662,0.0416
663,0.6363
664,18.87332
665,99.50924
666,99.80982
667,99.61433
668,99.83323
669,99.74957
670,99.76219
671,99.89872
672,99.79534
673,99.7299
674,99.83449
675,99.89046
676,99.84217
677,99.83039
678,99.88423
679,99.90168
680,99.85
681,99.81083
682,99.84436
683,99.91038
684,99.93679
685,99.91178
686,99.88124
687,99.8805
688,99.8982
689,99.90493
690,99.89504
691,99.88871
692,99.9008
693,99.92009
