Type,Exciter
Maker,"Chroma"
ProductName,"61001x"
Comment,""
Public,1
wavedataset
299,6.427E-05
300,1E-08
301,5.154E-05
302,3.019E-05
303,5.213E-05
304,2.678E-05
305,6.436E-05
306,0.0001256
307,0.000118
308,8.44E-05
309,1.956E-05
310,9.368E-05
311,0.0001097
312,6.541E-05
313,3.161E-06
314,1E-08
315,0.0001509
316,4.703E-06
317,1E-08
318,0.0001156
319,1.506E-05
320,0.0001915
321,5.945E-05
322,0.000109
323,0.0001882
324,1E-08
325,0.0001309
326,1E-08
327,0.0002655
328,2.257E-05
329,1E-08
330,0.0001368
331,5.135E-05
332,0.0001468
333,7.347E-05
334,3.883E-05
335,6.971E-05
336,6.934E-05
337,1E-08
338,1.899E-05
339,0.0001333
340,6.541E-05
341,9.585E-05
342,8.327E-05
343,1E-08
344,5.574E-05
345,1E-08
346,7.369E-05
347,0.0001226
348,1.831E-05
349,7.983E-05
350,1E-08
351,1E-08
352,6.594E-05
353,0.0001202
354,6.41E-05
355,9.831E-05
356,5.673E-05
357,1E-08
358,1.021E-05
359,4.41E-05
360,3.537E-05
361,6.868E-05
362,0.0001129
363,6.505E-05
364,9.121E-05
365,0.0002331
366,0.0004962
367,0.001263
368,0.002667
369,0.005329
370,0.01036
371,0.01884
372,0.03347
373,0.05672
374,0.09321
375,0.1438
376,0.2136
377,0.2941
378,0.3775
379,0.4337
380,0.4437
381,0.3738
382,0.261
383,0.1749
384,0.1331
385,0.1291
386,0.167
387,0.29
388,0.7054
389,2.297
390,6.071
391,9.138
392,11.6
393,16.13
394,20.53
395,23.05
396,25.89
397,28.71
398,30.02
399,31.77
400,35.1
401,37.78
402,39.3
403,41.58
404,43.35
405,43.48
406,44.69
407,44.76
408,43.08
409,32.15
410,8.492
411,1.273
412,0.2756
413,0.09459
414,0.04329
415,0.02547
416,0.01807
417,0.01589
418,0.01692
419,0.02199
420,0.03655
421,0.08736
422,0.4041
423,5.471
424,7.838
425,2.404
426,3.327
427,15.26
428,31.6
429,22.76
430,21.29
431,5.856
432,1.28
433,0.6402
434,0.6782
435,1.895
436,10.31
437,8.198
438,4.331
439,16.52
440,15.74
441,7.736
442,0.1851
443,0.007601
444,0.0008416
445,0.0001932
446,8.435E-05
447,4.517E-05
448,4.086E-05
449,3.218E-05
450,4.518E-05
451,4.951E-05
452,4.519E-05
453,3.655E-05
454,4.951E-05
455,4.519E-05
456,4.084E-05
457,5.378E-05
458,5.374E-05
459,4.086E-05
