Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP400-440(U-MWBV2)"
Comment,""
Public,1
wavedataset
300,5E-05
301,4.6E-05
302,2.3E-05
303,6.3E-05
304,3.9E-05
305,2.3E-05
306,4.6E-05
307,6.3E-05
308,4.4E-05
309,5E-05
310,5.2E-05
311,2.3E-05
312,3E-05
313,5.5E-05
314,2.3E-05
315,3E-05
316,2.3E-05
317,2.3E-05
318,7.5E-05
319,7.2E-05
320,2.9E-05
321,4.3E-05
322,6.4E-05
323,7.6E-05
324,4.9E-05
325,6.4E-05
326,5.9E-05
327,3.2E-05
328,2.3E-05
329,2.3E-05
330,4.8E-05
331,9.3E-05
332,6.1E-05
333,5.9E-05
334,9.6E-05
335,7.4E-05
336,3.2E-05
337,2.6E-05
338,6E-05
339,5.2E-05
340,4.2E-05
341,3.2E-05
342,5.3E-05
343,2.4E-05
344,6.3E-05
345,8.2E-05
346,5E-05
347,7.5E-05
348,7.3E-05
349,6.2E-05
350,3.5E-05
351,5.7E-05
352,4.7E-05
353,2.3E-05
354,5.2E-05
355,3.4E-05
356,4.8E-05
357,8.2E-05
358,0.000113
359,0.000106
360,0.000103
361,3.2E-05
362,5.4E-05
363,6.7E-05
364,0.000106
365,2.7E-05
366,2.6E-05
367,2.6E-05
368,5.9E-05
369,4.7E-05
370,0.00018
371,0.000414
372,0.000782
373,0.001552
374,0.002678
375,0.004265
376,0.006813
377,0.011214
378,0.018884
379,0.031267
380,0.049188
381,0.078626
382,0.128367
383,0.207525
384,0.331897
385,0.534313
386,0.857398
387,1.353699
388,2.111542
389,3.260313
390,5.026787
391,7.489055
392,10.808134
393,15.226369
394,20.711604
395,27.179322
396,33.928901
397,40.591893
398,47.394913
399,54.58666
400,60.909502
401,64.815474
402,66.953713
403,69.313158
404,72.701238
405,75.995354
406,77.075086
407,75.765348
408,74.571118
409,75.223064
410,77.484066
411,79.335536
412,79.674696
413,78.99236
414,78.743534
415,79.602691
416,81.090351
417,82.141996
418,82.137739
419,81.414873
420,81.16462
421,81.919602
422,82.829714
423,83.506009
424,83.187568
425,82.44593
426,81.930451
427,82.472729
428,83.242876
429,84.02753
430,84.164551
431,83.578231
432,83.246602
433,83.274488
434,83.95489
435,84.250825
436,83.510034
437,81.194584
438,77.690734
439,73.458892
440,68.845534
441,61.043978
442,46.697547
443,27.799855
444,13.013955
445,8.243539
446,2.480919
447,1.091169
448,0.475466
449,0.195713
450,0.074673
451,0.02662
452,0.008913
453,0.003075
454,0.001111
455,0.000434
456,0.000192
457,0.000139
458,9.8E-05
459,6.3E-05
460,5.9E-05
461,5.1E-05
462,6.2E-05
463,7.1E-05
464,3.6E-05
465,6E-05
466,3.6E-05
467,2.3E-05
468,2.5E-05
469,2.3E-05
470,3.8E-05
471,3.7E-05
472,2.3E-05
473,4.4E-05
474,4.2E-05
475,5.6E-05
476,4.8E-05
477,4.3E-05
478,4.2E-05
479,2.3E-05
480,2.3E-05
481,3.2E-05
482,6.3E-05
483,6.1E-05
484,4.4E-05
485,5.4E-05
486,4.1E-05
487,5.8E-05
488,5.6E-05
489,4.3E-05
490,6.8E-05
491,7.6E-05
492,4.5E-05
493,6.8E-05
494,5.4E-05
495,4.8E-05
496,2.7E-05
497,3.7E-05
498,5.3E-05
499,6.2E-05
500,5.7E-05
501,3.5E-05
502,4E-05
503,4.7E-05
504,3.3E-05
505,4.1E-05
506,4.3E-05
507,3.4E-05
508,4.8E-05
509,4.4E-05
510,4E-05
511,3.7E-05
512,4.8E-05
513,4.8E-05
514,3E-05
515,6.2E-05
516,4.9E-05
517,3.7E-05
518,2.3E-05
519,2.3E-05
520,2.3E-05
521,3E-05
522,3.6E-05
523,6E-05
524,5.2E-05
525,3.9E-05
526,2.7E-05
527,2.3E-05
528,5E-05
