Type,Exciter
Maker,"Chroma"
ProductName,"D380xv2"
Comment,""
Public,1
wavedataset
300,6.258E-05
301,0.0001148
302,0.0006301
303,0.002029
304,0.0006809
305,0.0002809
306,0.0002252
307,0.0001344
308,9.571E-05
309,6.447E-05
310,6.536E-05
311,7.06E-05
312,6.931E-05
313,7.464E-05
314,0.0001213
315,0.0001732
316,0.0002083
317,0.0002356
318,0.0002443
319,0.000285
320,0.0003676
321,0.0005725
322,0.0008547
323,0.0009854
324,0.0008078
325,0.0006718
326,0.0007794
327,0.001155
328,0.002847
329,0.008355
330,0.009446
331,0.003879
332,0.001949
333,0.001571
334,0.001526
335,0.001856
336,0.002407
337,0.002841
338,0.00302
339,0.002502
340,0.002088
341,0.001637
342,0.001281
343,0.001138
344,0.0009348
345,0.00083
346,0.0007354
347,0.0006646
348,0.0006291
349,0.000684
350,0.0007055
351,0.0006894
352,0.0006854
353,0.0007415
354,0.0008259
355,0.0008435
356,0.001034
357,0.001128
358,0.001381
359,0.00158
360,0.00207
361,0.002593
362,0.003399
363,0.00464
364,0.006429
365,0.009163
366,0.01363
367,0.02077
368,0.03335
369,0.05587
370,0.09941
371,0.1875
372,0.3858
373,0.8829
374,2.31
375,6.918
376,21.75
377,47.1
378,56.21
379,51.93
380,50.83
381,53.87
382,58.14
383,61.39
384,62.97
385,63.76
386,64.43
387,64.17
388,59.4
389,46.18
390,28.46
391,14.46
392,6.831
393,3.281
394,1.656
395,0.8821
396,0.498
397,0.2947
398,0.1832
399,0.1185
400,0.07924
401,0.05497
402,0.03919
403,0.02878
404,0.0218
405,0.01659
406,0.01296
407,0.01028
408,0.008301
409,0.006624
410,0.005359
411,0.004383
412,0.003641
413,0.00307
414,0.002786
415,0.002496
416,0.002522
417,0.002555
418,0.002602
419,0.002381
420,0.00174
421,0.001018
422,0.0005214
423,0.0003006
424,0.0001636
425,0.0001125
426,7.734E-05
427,5.982E-05
428,3.954E-05
429,3.961E-05
430,3.092E-05
431,2.11E-05
432,1.539E-05
433,2.885E-05
434,2.385E-05
435,2.683E-05
436,2.314E-05
437,1.271E-05
438,2.568E-05
439,2.226E-05
440,2.425E-05
441,2.278E-05
442,2.707E-05
443,2.521E-05
444,1.627E-05
445,3.052E-05
446,2.372E-05
447,1.881E-05
448,3.046E-05
449,2.132E-05
450,2.223E-05
451,2.028E-05
452,2.486E-05
453,3.115E-05
454,4.616E-05
455,4.917E-05
456,8.527E-05
457,0.0001635
458,0.0004075
459,0.0008417
460,0.0007203
461,0.0003269
462,0.0001836
463,0.0001221
464,9.961E-05
465,7.914E-05
466,6.606E-05
467,6.561E-05
468,6.896E-05
469,7.245E-05
470,7.13E-05
471,7.992E-05
472,8.5E-05
473,0.0001014
474,0.000115
475,0.0001399
476,0.000184
477,0.000232
478,0.0002946
479,0.0003392
480,0.0003722
481,0.000338
482,0.0002857
483,0.0002365
484,0.0001886
485,0.0001493
486,0.0001373
487,0.0001205
488,0.0001111
489,0.0001058
490,0.0001061
491,9.402E-05
492,0.0001215
493,0.0001097
494,0.0001248
495,0.0001303
496,0.0001354
497,0.0001678
498,0.0001798
499,0.0001968
500,0.0002158
501,0.0001892
502,0.0001955
503,0.0001779
504,0.0001624
505,0.0001381
506,0.0001196
507,0.0001049
508,0.0001005
509,9.482E-05
510,8.658E-05
511,9.296E-05
512,0.000103
513,0.0001085
514,0.0001221
515,0.0001489
516,0.0001644
517,0.0001893
518,0.0001897
