Type,Exciter
Maker,"Chroma"
ProductName,"D515/30x"
Comment,""
Public,1
wavedataset
299,0.0003794
300,1E-08
301,2.006E-05
302,4.312E-06
303,0.0006866
304,1E-08
305,1E-08
306,0.0006647
307,1E-08
308,1E-08
309,0.0002732
310,1E-08
311,0.000625
312,0.0002228
313,0.0002062
314,9.302E-05
315,0.0009739
316,1E-08
317,1E-08
318,0.0005686
319,1E-08
320,0.0001285
321,1E-08
322,0.0001037
323,0.0001397
324,1E-08
325,1E-08
326,1E-08
327,1E-08
328,0.0001211
329,1E-08
330,1E-08
331,1E-08
332,7.446E-05
333,1E-08
334,0.0001552
335,0.0006005
336,1E-08
337,0.0002693
338,1E-08
339,1E-08
340,0.0005488
341,1E-08
342,1E-08
343,1E-08
344,0.00231
345,1E-08
346,0.0001257
347,1E-08
348,1E-08
349,1E-08
350,1E-08
351,0.0005951
352,1E-08
353,1E-08
354,0.0006097
355,0.0002241
356,1E-08
357,1E-08
358,0.00145
359,0.002746
360,1E-08
361,0.000216
362,1E-08
363,1E-08
364,0.0006219
365,0.0006396
366,1E-08
367,0.0006146
368,0.001016
369,0.004512
370,0.003592
371,0.006042
372,0.008952
373,0.008797
374,0.01204
375,0.01307
376,0.01199
377,0.00833
378,0.005662
379,0.00517
380,0.001905
381,0.001471
382,0.001474
383,0.001914
384,1E-08
385,0.00105
386,0.0001378
387,0.0006047
388,1E-08
389,1E-08
390,1E-08
391,1E-08
392,0.0001331
393,0.002359
394,1E-08
395,0.001038
396,0.0001762
397,0.0006386
398,0.002382
399,1E-08
400,0.001494
401,1E-08
402,1E-08
403,1E-08
404,1E-08
405,0.0005877
406,0.001981
407,1E-08
408,0.0006107
409,0.001075
410,1E-08
411,0.002391
412,1E-08
413,0.0006193
414,0.000579
415,1E-08
416,0.001075
417,1E-08
418,0.001975
419,1E-08
420,0.001088
421,1E-08
422,0.001527
423,1E-08
424,0.0002277
425,1E-08
426,1E-08
427,1E-08
428,1E-08
429,1E-08
430,0.001533
431,0.003229
432,1E-08
433,1E-08
434,0.001539
435,1E-08
436,0.002862
437,0.002853
438,0.0006646
439,0.001537
440,0.005434
441,1E-08
442,1E-08
443,0.0002532
444,0.002397
445,0.001113
446,1E-08
447,0.0002649
448,0.0006934
449,1E-08
450,1E-08
