Type,Exciter
Maker,"Semrock"
ProductName,"FF01-575/25-25"
Comment,""
Public,1
wavedataset
300,0.00046313
300.2,0.00040033
300.4,0.00034605
300.6,0.00029913
300.8,0.00025857
301,0.00022351
301.2,0.0001932
301.4,0.000167
301.6,0.00014436
301.8,0.00012479
302,0.00012376
302.2,0.00012382
302.4,0.00012388
302.6,0.00012394
302.8,0.000124
303,0.00012407
303.2,0.00012413
303.4,0.00012419
303.6,0.00012425
303.8,0.00012431
304,0.00012037
304.2,0.00011528
304.4,0.00011041
304.6,0.00010575
304.8,0.00010128
305,9.7001E-05
305.2,9.2902E-05
305.4,8.8977E-05
305.6,8.5218E-05
305.8,8.1618E-05
306,8.06E-05
306.2,8.1532E-05
306.4,8.2475E-05
306.6,8.3429E-05
306.8,8.4395E-05
307,8.5371E-05
307.2,8.6358E-05
307.4,8.7357E-05
307.6,8.8368E-05
307.8,8.939E-05
308,8.4862E-05
308.2,7.2474E-05
308.4,6.1894E-05
308.6,5.2859E-05
308.8,4.5143E-05
309,3.8553E-05
309.2,3.2925E-05
309.4,2.8119E-05
309.6,2.4014E-05
309.8,2.0509E-05
310,1.7956E-05
310.2,1.9925E-05
310.4,2.2111E-05
310.6,2.4535E-05
310.8,2.7226E-05
311,3.0212E-05
311.2,3.3525E-05
311.4,3.7202E-05
311.6,4.1282E-05
311.8,4.5809E-05
312,4.1136E-05
312.2,3.653E-05
312.4,3.244E-05
312.6,2.8808E-05
312.8,2.5583E-05
313,2.2719E-05
313.2,2.0175E-05
313.4,1.7916E-05
313.6,1.591E-05
313.8,1.4129E-05
314,1.7105E-05
314.2,2.2776E-05
314.4,3.0326E-05
314.6,4.038E-05
314.8,5.3768E-05
315,7.1593E-05
315.2,9.5329E-05
315.4,0.00012693
315.6,0.00016902
315.8,0.00022505
316,0.00022776
316.2,0.00018897
316.4,0.00015679
316.6,0.00013008
316.8,0.00010793
317,8.9547E-05
317.2,7.4297E-05
317.4,6.1643E-05
317.6,5.1145E-05
317.8,4.2434E-05
318,3.6465E-05
318.2,3.3031E-05
318.4,2.992E-05
318.6,2.7102E-05
318.8,2.4549E-05
319,2.2237E-05
319.2,2.0143E-05
319.4,1.8246E-05
319.6,1.6527E-05
319.8,1.4971E-05
320,1.3919E-05
320.2,1.5985E-05
320.4,1.8357E-05
320.6,2.1082E-05
320.8,2.4211E-05
321,2.7804E-05
321.2,3.193E-05
321.4,3.6669E-05
321.6,4.211E-05
321.8,4.836E-05
322,4.3071E-05
322.2,3.7465E-05
322.4,3.2589E-05
322.6,2.8348E-05
322.8,2.4658E-05
323,2.1449E-05
323.2,1.8657E-05
323.4,1.6229E-05
323.6,1.4117E-05
323.8,1.228E-05
324,1.1675E-05
324.2,1.1462E-05
324.4,1.1254E-05
324.6,1.1048E-05
324.8,1.0847E-05
325,1.0649E-05
325.2,1.0455E-05
325.4,1.0265E-05
325.6,1.0078E-05
325.8,9.8941E-06
326,9.7546E-06
326.2,9.6494E-06
326.4,9.5453E-06
326.6,9.4424E-06
326.8,9.3406E-06
327,9.2398E-06
327.2,9.1402E-06
327.4,9.0416E-06
