Type,Exciter
Maker,"Omega"
ProductName,"XF1402(440QM21)"
Comment,""
Public,1
wavedataset
300,-0.00061
300.5,0.045
301,-0.027
301.5,0.011
302,-0.037
302.5,-0.045
303,-0.015
303.5,-0.027
304,0.019
304.5,0.0096
305,0.027
305.5,0.029
306,0.056
306.5,-0.0012
307,0.033
307.5,0.0044
308,0.044
308.5,-0.021
309,-0.04
309.5,0.14
310,0.13
310.5,0.11
311,0.055
311.5,0.066
312,-0.44
312.5,0.14
313,-0.1
313.5,0.11
314,0.45
314.5,0.15
315,-0.02
315.5,-0.038
316,-0.11
316.5,0.38
317,0.037
317.5,-0.051
318,-0.039
318.5,0.16
319,-0.023
319.5,-0.0035
320,-0.056
320.5,-0.036
321,-0.25
321.5,0.026
322,-0.0044
322.5,-0.071
323,0.23
323.5,0.17
324,0.045
324.5,0.26
325,0.046
325.5,-0.025
326,-0.19
326.5,0.21
327,-0.29
327.5,-0.13
328,0.52
328.5,0.22
329,-0.3
329.5,0.012
330,-0.013
330.5,-0.094
331,0.062
331.5,0.16
332,0.031
332.5,0.0045
333,-0.025
333.5,-0.062
334,-0.024
334.5,-0.18
335,0.12
335.5,-0.016
336,-0.053
336.5,-0.08
337,-0.17
337.5,-0.12
338,-0.017
338.5,-0.098
339,0.014
339.5,0.072
340,-0.49
340.5,-0.2
341,-0.21
341.5,-0.28
342,0.26
342.5,0.2
343,-0.2
343.5,0.16
344,-0.012
344.5,-0.51
345,-0.13
345.5,0.19
346,0.32
346.5,0.088
347,0.23
347.5,0.13
348,-0.29
348.5,-0.2
349,0.22
349.5,-0.01
350,-7.7E-05
350.5,-0.0047
351,-0.0075
351.5,-0.0028
352,-0.003
352.5,0.0034
353,0.00083
353.5,0.00035
354,-0.0014
354.5,0.0011
355,-0.0031
355.5,-0.013
356,-0.005
356.5,-0.0032
357,-0.0091
357.5,-0.0037
358,0.0028
358.5,-0.003
359,-0.0013
359.5,-0.0044
360,0.0008
360.5,0.003
361,0.0042
361.5,-0.0026
362,-0.0078
362.5,0.0039
363,-0.00082
363.5,0.00042
364,-0.0021
364.5,0.0014
365,0.0015
365.5,0.0057
366,-0.0022
366.5,-0.0029
367,-0.0023
367.5,-0.0031
368,-0.0032
368.5,-0.0013
369,0.011
369.5,-0.0013
370,-0.0027
