Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Calcein/AM"
Comment,"Calcein/pH 9.0"
Public,1
Excitation
300,15.84258
301,15.43895
302,14.87134
303,14.39203
304,13.87487
305,13.23158
306,12.72704
307,12.20989
308,11.59183
309,11.15035
310,10.73411
311,10.25479
312,9.914227
313,9.586276
314,9.308779
315,9.144803
316,9.018668
317,8.942986
318,8.91776
319,8.930373
320,8.968213
321,9.006055
322,9.018668
323,8.980827
324,8.930373
325,8.842079
326,8.627649
327,8.438446
328,8.186176
329,7.896065
330,7.656407
331,7.328456
332,6.924824
333,6.546418
334,6.205853
335,5.840061
336,5.436428
337,5.12109
338,4.780525
339,4.515641
340,4.22553
341,3.834511
342,3.657921
343,3.443491
344,3.15338
345,2.964178
346,2.800202
347,2.610999
348,2.43441
349,2.320888
350,2.194753
351,2.056004
352,1.980323
353,1.929869
354,1.866801
355,1.803734
356,1.765893
357,1.728052
358,1.677598
359,1.614531
360,1.614531
361,1.639758
362,1.627144
363,1.639758
364,1.639758
365,1.652371
366,1.664985
367,1.652371
368,1.639758
369,1.652371
370,1.664985
371,1.677598
372,1.652371
373,1.639758
374,1.627144
375,1.614531
376,1.601917
377,1.564077
378,1.53885
379,1.513623
380,1.488396
381,1.475782
382,1.463169
383,1.450555
384,1.450555
385,1.450555
386,1.412714
387,1.387487
388,1.36226
389,1.36226
390,1.349647
391,1.337033
392,1.299193
393,1.273966
394,1.248739
395,1.223512
396,1.236125
397,1.236125
398,1.248739
399,1.261352
400,1.311806
401,1.311806
402,1.337033
403,1.387487
404,1.412714
405,1.450555
406,1.501009
407,1.57669
408,1.627144
409,1.690212
410,1.79112
411,1.892028
412,1.980323
413,2.106458
414,2.207366
415,2.320888
416,2.484864
417,2.610999
418,2.737134
419,2.964178
420,3.140767
421,3.32997
422,3.58224
423,3.79667
424,4.023714
425,4.313825
426,4.566095
427,4.843593
428,5.209384
429,5.486882
430,5.789606
431,6.193239
432,6.48335
433,6.798688
434,7.252775
435,7.580727
436,7.933905
437,8.438446
438,8.829465
439,9.270939
440,9.901615
441,10.39354
442,10.96115
