Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"ERTracker Blue-White DPX"
Comment,"ER-Tracker Blue-White DPX/lipid"
Public,1
Excitation
250,30.29636711
251,31.6762269
252,32.82345443
253,33.26959847
254,34.60803059
255,35.14977693
256,35.14977693
257,35.40471638
258,36.26513703
259,36.96622052
260,37.69917145
261,38.78266412
262,39.6749522
263,40.75844487
264,41.55513066
265,43.05289994
266,43.91332059
267,45.18801785
268,46.68578713
269,48.7890376
270,50.44614404
271,51.88017846
272,53.50541746
273,54.74824729
274,56.3734863
275,57.68005099
276,58.47673678
277,59.2096877
278,60.35691523
279,60.96239643
280,61.37667304
281,61.31293818
282,60.89866157
283,60.4206501
284,59.24155513
285,58.25366475
286,56.85149777
287,55.38559592
288,53.56915233
289,51.94391332
290,50.44614404
291,48.72530274
292,47.32313576
293,45.72976418
294,44.3275972
295,42.70235819
296,41.49139579
297,40.02549395
298,38.68706182
299,37.47609943
300,36.16953474
301,34.86297004
302,33.71574251
303,32.72785214
304,32.05863607
305,31.63161249
306,30.74251115
307,30.347355
308,30.01593372
309,29.89483748
310,30.05417463
311,30.07329509
312,30.06373486
313,30.30911409
314,30.74888464
315,31.22052263
316,31.65391969
317,32.24984066
318,32.98279159
319,33.68387508
320,34.25748885
321,34.99043977
322,36.10579987
323,37.25302741
324,38.14531549
325,39.64308477
326,41.01338432
327,42.12874442
328,43.6265137
329,45.12428298
330,46.78138942
331,47.92861695
332,49.42638623
333,50.76481836
334,52.10325048
335,53.28234544
336,54.90758445
337,56.05481198
338,57.3932441
339,58.47673678
340,60.00637349
341,61.34480561
342,62.61950287
343,63.89420013
344,65.39196941
345,66.44359465
346,67.8138942
347,69.05672403
348,69.94901211
349,71.15997451
350,72.33906947
351,73.45442957
352,74.66539197
353,75.8126195
354,76.99171447
355,78.45761632
356,79.8597833
357,81.45315488
358,83.3014659
359,84.92670491
360,86.67941364
361,88.30465264
362,89.99362651
363,91.58699809
364,93.14850223
365,94.80560867
366,96.11217336
367,97.41873805
368,98.21542384
369,99.10771192
370,99.42638623
371,99.77692798
372,100
373,99.96813257
374,99.61759082
375,98.56596558
376,97.92861695
377,96.74952199
378,95.82536648
379,94.29572976
380,92.31994901
381,90.7903123
382,88.78266412
383,86.90248566
384,84.99043977
385,83.07839388
386,81.35755258
387,79.06309751
388,77.21478649
389,75.2071383
390,73.19949012
391,71.00063735
392,69.24792862
393,67.39961759
394,65.39196941
395,63.41618866
396,61.31293818
397,59.27342256
398,57.42511154
399,55.38559592
400,53.31421287
401,51.14722753
402,49.17144678
403,46.84512428
404,44.7418738
405,42.57488846
406,40.43977055
407,38.43212237
408,36.1376673
409,34.09815169
410,31.89929892
411,29.92033142
412,27.9764181
413,25.83173996
414,23.80178458
415,21.98215424
416,20.14659018
417,18.52135118
418,16.93435309
