Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"POPO 1"
Comment,"POPO -1/DNA"
Public,1
Excitation
300,30.58317
301,27.83957
302,25.42885
303,23.65974
304,22.05707
305,20.83024
306,20.06487
307,19.38864
308,18.77361
309,18.37657
310,18.09711
311,17.68906
312,17.25443
313,16.91591
314,16.54034
315,16.01927
316,15.49874
317,15.05284
318,14.75217
319,14.3119
320,13.7511
321,13.46386
322,13.24614
323,12.73876
324,12.42494
325,12.1028
326,11.70522
327,11.1871
328,10.7871
329,10.53234
330,10.01154
331,9.490739
332,8.838397
333,8.395179
334,7.887801
335,7.47465
336,7.144184
337,6.792777
338,6.467948
339,6.473048
340,6.164595
341,6.008624
342,5.796545
343,5.761914
344,5.511982
345,5.493191
346,5.496144
347,5.273328
348,5.093195
349,5.012659
350,4.921384
351,4.830379
352,4.80058
353,4.736151
354,4.838163
355,4.77105
356,4.714675
357,4.862325
358,4.867962
359,4.841117
360,4.789842
361,4.843533
362,4.897492
363,4.838163
364,4.943129
365,4.883801
366,4.985813
367,5.103933
368,5.195208
369,5.420977
370,5.514936
371,5.705271
372,5.928086
373,6.191172
374,6.360567
375,6.69855
376,7.219351
377,7.324316
378,7.665253
379,8.027665
380,8.451823
381,8.926987
382,9.452888
383,9.93342
384,10.97261
385,12.03005
386,12.74145
387,13.65983
388,14.60211
389,15.6786
390,16.76289
391,18.00073
392,19.27052
393,20.65279
394,22.11049
395,23.66753
396,25.2812
397,27.01783
398,28.80305
399,30.76303
400,32.70664
401,34.854
402,37.07707
403,39.42577
404,41.82334
405,44.41096
406,46.9586
407,49.88233
408,52.66351
409,55.67556
410,58.64708
411,61.74236
412,64.83522
413,67.90364
414,70.84026
415,73.64024
416,76.31699
417,78.80825
418,81.15694
419,83.21089
420,85.09248
421,86.64146
422,88.17165
423,89.65083
424,90.88062
425,92.2253
426,93.55147
427,94.80515
428,95.97051
429,97.0497
430,98.26553
431,99.0094
432,99.61853
433,100
434,99.85772
435,99.4094
436,98.30042
437,96.76218
438,94.50206
439,91.54639
440,87.86857
441,83.72364
442,78.88852
443,73.67809
444,67.96271
445,62.19873
446,56.19099
447,50.22836
448,44.56667
449,39.04484
450,33.93079
451,29.14426
452,24.87315
453,21.09305
454,17.64342
455,14.68774
456,12.26655
457,10.10281
458,8.317327
459,6.848884
460,5.737485
461,4.765949
462,3.949581
463,3.342875
464,2.784759
465,2.365971
466,2.038188
467,1.770003
468,1.58987
469,1.356584
470,1.230142
471,1.098868
472,1.055915
473,0.8972591
474,0.8140383
475,0.7952468
476,0.7230325
477,0.7039722
478,0.577799
479,0.5726984
480,0.5539067
481,0.5297455
482,0.4033036
483,0.3979349
484,0.3388747
485,0.3445124
486,0.4220955
487,0.3576666
488,0.3633041
489,0.3791429
490,0.4167266
491,0.3418278
492,0.2959223
493,0.2451845
494,0.2502851
495,0.1619637
496,0.1565947
497,0.1536416
498,0.1565947
499,0.0892127
500,0.0975
Emission
425,0.7841657
426,0.9267414
427,1.176249
428,1.4614
429,1.853483
430,2.352497
431,3.029731
432,3.956472
433,4.990146
434,6.415901
435,8.05552
436,9.944648
437,12.22586
438,14.79222
439,17.57244
440,21.20812
441,25.74915
442,30.36524
443,36.20749
444,42.05141
445,48.36248
446,54.92515
447,61.26976
448,67.40051
449,73.06579
450,78.29496
451,82.98318
452,87.23529
453,91.4203
454,95.47532
455,98.1004
456,99.85323
457,100
458,99.81549
459,99.96645
460,99.35002
461,98.23878
462,96.314
463,95.05598
464,93.59248
465,91.31547
466,89.96939
467,87.31916
468,86.28758
469,83.92251
470,82.7819
471,80.82778
472,79.27622
473,77.64498
474,76.60921
475,75.37216
476,74.53348
477,73.17902
478,72.7429
479,71.81616
480,70.52879
481,69.24142
482,68.03371
483,66.16766
484,64.7377
485,63.3413
486,62.06651
487,60.63237
488,59.2779
489,57.64667
490,56.68218
491,54.99224
492,53.26037
493,51.48656
494,49.67501
495,47.74605
496,46.05191
497,44.2823
498,43.15847
499,41.6522
500,40.06584
501,38.6015
502,37.76659
503,36.24607
504,35.01321
505,33.73925
506,32.589
507,31.05296
508,30.26418
509,29.43767
510,28.30545
511,27.2571
512,26.37648
513,25.66612
514,24.81906
515,24.01434
516,23.4822
517,22.58397
518,21.98474
519,20.99132
520,20.21386
521,19.71233
522,18.97094
523,18.36038
524,17.7884
525,17.26003
526,16.62431
527,16.13536
528,15.51306
529,15.03124
530,14.40307
531,13.90364
532,13.31488
533,12.93538
534,12.29547
535,11.83839
536,11.34734
537,11.1167
538,10.7523
539,10.24028
540,9.956808
541,9.534113
542,9.145386
543,8.813687
544,8.509247
545,8.174614
546,7.908751
547,7.571183
548,7.296515
549,6.907368
550,6.770663
551,6.623475
552,6.383193
553,6.135782
554,5.888372
555,5.688766
556,5.535287
557,5.327714
558,5.124753
559,4.962469
560,4.757831
561,4.642093
562,4.435778
563,4.315847
564,4.211851
565,4.036147
566,3.878895
567,3.751415
568,3.592905
569,3.461652
570,3.461652
571,3.274206
572,3.11318
573,3.005829
574,2.921122
575,2.812932
576,2.671196
577,2.616681
578,2.453139
579,2.472009
580,2.362142
581,2.324821
582,2.158762
583,2.158762
584,2.048056
585,2.0078
586,1.896255
587,1.840483
588,1.728939
589,1.79813
590,1.685747
591,1.629555
592,1.573364
593,1.517172
594,1.404789
595,1.358661
596,1.358661
597,1.24544
598,1.24544
599,1.24544
600,1.132218
601,1.132218
602,1.075607
603,1.075607
604,1.083574
605,1.026544
606,0.969514
607,0.969514
608,0.7984232
609,0.8554535
610,0.7984232
611,0.804294
612,0.7468445
613,0.804294
614,0.7468445
615,0.694427
616,0.694427
617,0.6411708
618,0.5828825
619,0.5828825
620,0.5870759
621,0.5283684
622,0.5321424
623,0.5321424
624,0.5359164
