Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Qdot 605"
Comment,"Qdot 605 streptavidin/pH 7.2"
Public,1
Excitation
300,100
301,98.4858479
302,97.01085491
303,95.66639227
304,94.38066829
305,93.1275769
306,91.86143248
307,90.66707974
308,89.42051487
309,88.25226821
310,86.98612378
311,85.86356274
312,84.84542599
313,83.78160361
314,82.815679
315,81.76490965
316,80.84467066
317,79.84611346
318,79.07598437
319,78.19490449
320,77.34645719
321,76.51106293
322,75.78661947
323,74.95775173
324,74.35078559
325,73.55455043
326,72.97369036
327,71.22458363
328,71.10710631
329,70.76772739
330,70.23255294
331,69.56032162
332,69.05777976
333,68.45081362
334,67.88300658
335,67.28909348
336,66.73433948
337,66.17305896
338,65.7096762
339,65.07660399
340,64.65238034
341,63.99972857
342,63.52329279
343,63.03380396
344,62.54366248
345,62.02872024
346,61.47396624
347,60.99753045
348,60.37098475
349,59.95981414
350,59.36590103
351,59.32944647
352,58.81801364
353,58.33443593
354,57.85118212
355,57.35043788
356,56.9034605
357,56.41146147
358,55.92496869
359,55.43329356
360,55.02064922
361,54.55197076
362,54.12604665
363,53.6949402
364,53.26610102
365,52.84762654
366,52.4249414
367,52.03853269
368,51.63236628
369,51.24790095
370,50.88772786
371,50.50747319
372,50.16932508
373,49.80461744
374,49.45092229
375,49.10435286
376,48.73964523
377,48.40182101
378,48.07079863
379,47.75791446
380,47.41134503
381,47.06024105
382,46.78330941
383,46.44386571
384,46.10247864
385,45.12366293
386,44.82438242
387,44.5066398
388,44.20152915
389,43.87568911
390,43.55308804
391,43.21299655
392,42.8787352
393,42.52536394
394,42.161628
395,41.78590787
396,41.39982306
397,41.01017538
398,40.61664094
399,40.20885504
400,39.78940887
401,39.37546894
402,38.95407939
403,38.53722439
404,38.10352676
405,37.69088242
406,37.25880428
407,36.85360956
408,36.42865715
409,36.02961646
410,35.6189155
411,35.2218182
412,34.83573338
413,34.46487171
414,34.09303834
415,33.73156967
416,33.3895348
417,33.05754073
418,32.73623524
419,32.41007131
420,32.11824042
421,31.82025549
422,31.55109737
423,31.37263031
424,31.10606336
425,30.84856552
426,30.5978695
427,30.35332753
428,30.11979804
429,29.88205789
430,29.65079568
431,29.42892647
432,29.20608556
433,28.98418396
434,28.75198245
435,28.53299592
436,28.30662454
437,28.08540313
438,27.83891777
439,27.59923424
440,27.34270809
441,27.08488635
442,26.80633522
443,26.51158927
444,26.19870509
445,25.86671102
446,25.52143718
447,25.1508994
448,24.75215023
449,24.32784561
450,23.89677154
451,23.43878167
452,22.97431386
453,22.48490601
454,21.99906102
455,21.49507782
456,21.0127957
457,20.51690992
458,20.04110572
459,19.56721252
460,19.10957894
461,18.67620521
462,18.26518035
463,17.86937863
464,17.49722137
465,17.15259533
466,16.83711998
467,16.54107844
468,16.2638229
469,16.02835003
470,15.80194626
471,15.60534099
472,15.42655004
473,15.27302302
474,15.13439525
475,15.01099062
476,14.90604811
477,14.80758352
478,14.71430128
479,14.62944036
480,14.54619892
481,14.46166189
482,14.37453369
483,14.2767169
484,14.17760452
485,14.06845135
486,13.94504672
487,13.81905092
488,13.68009925
489,13.53564135
490,13.38373381
491,13.22340497
492,13.06858236
493,12.90501455
494,12.74371402
495,12.58306127
496,12.42014125
497,12.2604602
498,12.09980746
499,11.94336537
500,11.78854277
501,11.63631134
502,11.48181264
503,11.33249628
504,11.1847994
505,11.03677863
506,10.8845472
507,10.73814591
508,10.58591448
509,10.43368305
510,10.28177552
511,10.12695291
512,9.971158622
513,9.813744846
514,9.655683277
515,9.498269501
516,9.340207932
517,9.181822466
518,9.026999863
519,8.869586088
520,8.719621935
521,8.564799332
522,8.424875976
523,8.283333136
524,8.14826823
525,8.021624636
526,7.902754563
527,7.790038526
528,7.689954459
529,7.600235084
530,7.516021953
531,7.443145205
532,7.385167703
533,7.324599028
534,7.280225186
535,7.233584067
536,7.191477502
537,7.154553283
538,7.115361787
539,7.077465878
540,7.039893866
541,6.996167817
542,6.948878905
543,6.900942199
544,6.849118734
545,6.791465129
546,6.732839834
547,6.681988058
548,6.627897316
549,6.573482678
550,6.522630902
551,6.481496027
552,6.442952325
553,6.410886555
554,6.382059753
555,6.363273747
556,6.347726707
557,6.339629291
558,6.338333704
559,6.341248774
560,6.356795813
561,6.36877999
562,6.387242099
563,6.406028105
564,6.417040592
565,6.421251248
566,6.414773315
567,6.395339516
568,6.356471917
569,6.302057278
570,6.228856633
571,6.142376226
572,6.044559435
573,5.937349641
574,5.828520364
575,5.720986673
576,5.620254813
577,5.524705299
578,5.443083341
579,5.378627906
580,5.33166289
581,5.310285711
582,5.310609608
583,5.33846472
584,5.392555462
585,5.489400563
586,5.616368053
587,5.789004972
588,5.997918316
589,6.256711746
590,6.549190428
591,6.885719056
592,7.253989557
593,7.629385783
594,8.00866877
595,8.358477161
596,8.670713539
597,8.896145614
598,9.035745073
599,9.04967263
600,8.937280489
601,8.708609448
602,8.337747775
603,7.884940247
