Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"dKeima570"
Comment,"CoralHue  Series"
Public,1
Excitation
350,14.1532
350.5,14.3059
351,14.1111
351.5,14.1227
352,14.4788
352.5,14.7405
353,14.9876
353.5,15.0167
354,15.4674
354.5,15.4528
355,15.918
355.5,15.9035
356,16.1942
356.5,16.4268
357,16.7757
357.5,17.2554
358,17.7642
358.5,17.8224
359,18.3602
359.5,18.5783
360,18.9417
360.5,19.2906
361,19.8721
361.5,20.1337
362,20.5117
362.5,21.2822
363,21.7619
363.5,22.3288
364,22.7359
364.5,23.4191
365,24.0733
365.5,24.7856
366,25.149
366.5,25.8322
367,26.1666
367.5,26.7045
368,27.5912
368.5,28.0855
369,28.4925
369.5,29.3647
370,29.6991
370.5,30.4405
371,31.1092
371.5,31.6325
372,32.4757
372.5,33.217
373,33.8276
373.5,34.38
374,35.165
374.5,35.6883
375,36.2262
375.5,37.2292
376,38.0724
376.5,38.9592
377,39.1917
377.5,39.8459
378,40.2675
378.5,41.4014
379,42.2009
379.5,42.637
380,43.6982
380.5,44.3088
381,45.0356
381.5,45.7043
382,46.6347
382.5,47.158
383,47.8558
383.5,48.6263
384,49.4403
384.5,50.08
385,50.487
385.5,51.7372
386,52.5076
386.5,53.2199
387,53.7287
387.5,54.7899
388,55.2551
388.5,55.9384
389,56.6652
389.5,57.2903
390,58.1044
390.5,59.1074
391,59.8779
391.5,60.721
392,61.099
392.5,61.8549
393,62.9161
393.5,63.6575
394,64.0645
394.5,65.024
395,66.0416
395.5,66.7248
396,66.9719
396.5,67.8006
397,68.8327
397.5,69.2833
398,70.0683
398.5,71.1295
399,71.4929
399.5,72.2634
400,73.0629
400.5,73.9497
401,74.6184
401.5,75.258
402,76.2465
402.5,77.0315
403,77.9328
403.5,78.6015
404,79.0958
404.5,80.4187
405,81.0001
405.5,81.4072
406,82.0177
406.5,82.7591
407,83.6168
407.5,84.2419
408,85.1577
408.5,85.3758
409,85.9427
409.5,86.4224
410,87.5854
410.5,87.5127
411,88.1378
411.5,87.8325
412,88.9373
412.5,89.3153
413,89.7223
413.5,90.2021
414,90.7835
414.5,91.4813
415,91.4959
415.5,91.8011
416,92.3681
416.5,92.4408
417,93.2403
417.5,93.4147
418,93.4147
418.5,94.098
419,93.9962
419.5,94.1997
420,94.694
420.5,94.5777
421,95.0429
421.5,95.6534
422,96.1768
422.5,96.3367
423,96.4966
423.5,96.8019
424,96.8891
424.5,97.2961
425,97.5869
425.5,97.1507
426,97.456
426.5,97.8195
427,97.7613
427.5,98.4882
428,98.1247
428.5,98.1683
429,98.9969
429.5,99.0842
430,99.1714
430.5,99.2586
431,99.2295
431.5,98.8952
432,99.4476
432.5,99.8401
433,100
433.5,99.3313
434,99.5057
434.5,99.6075
435,99.3168
435.5,99.6075
436,99.4476
436.5,98.8516
437,99.6075
437.5,98.9243
438,98.9679
438.5,98.5318
439,98.6481
