Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"mMidoriichi-Cyan1"
Comment,"CoralHue  Series"
Public,1
Excitation
310,6.437
310.5,6.44461
311,6.36087
311.5,6.18196
312,6.04111
312.5,5.92311
313,5.76323
313.5,5.55767
314,5.40921
314.5,5.38257
315,5.30643
315.5,5.17701
316,5.10088
316.5,4.96384
317,4.97145
317.5,4.90293
318,4.77731
318.5,4.78873
319,4.66692
319.5,4.58698
320,4.55272
320.5,4.53369
321,4.46136
321.5,4.47659
322,4.40046
322.5,4.3091
323,4.18729
323.5,4.09973
324,3.89037
324.5,3.9056
325,3.74001
325.5,3.5196
326,3.40046
326.5,3.22307
327,3.10887
327.5,3.08298
328,2.8504
328.5,2.76475
329,2.68976
329.5,2.60944
330,2.48268
330.5,2.38637
331,2.3681
331.5,2.34983
332,2.31252
332.5,2.26799
333,2.21736
333.5,2.17472
334,2.14503
334.5,2.1378
335,2.04872
335.5,2.0472
336,2.0255
336.5,1.99848
337,1.9547
337.5,2
338,1.98325
338.5,1.94404
339,1.98782
339.5,1.99772
340,1.99124
340.5,1.97906
341,1.97069
341.5,1.97031
342,1.96726
342.5,1.96879
343,1.98211
343.5,2
344,1.91625
344.5,2.00457
345,2.03198
345.5,2.04492
346,2.05139
346.5,2.05443
347,2.08108
347.5,2.05672
348,2.11001
348.5,2.09364
349,2.11344
349.5,2.14351
350,2.18196
350.5,2.23639
351,2.25086
351.5,2.27712
352,2.32432
352.5,2.32775
353,2.36924
353.5,2.43396
354,2.45756
354.5,2.44385
355,2.52075
355.5,2.53635
356,2.61401
356.5,2.71108
357,2.78911
357.5,2.75752
358,2.85078
358.5,2.87628
359,2.92691
359.5,2.9566
360,2.96574
360.5,3.12943
361,3.15988
361.5,3.26532
362,3.32356
362.5,3.40046
363,3.45413
363.5,3.50666
364,3.63418
364.5,3.69813
365,3.81424
365.5,3.85611
366,3.9056
366.5,3.97031
367,4.11496
367.5,4.17967
368,4.25581
368.5,4.34336
369,4.41188
369.5,4.4842
370,4.59079
370.5,4.62885
371,4.75067
371.5,4.80777
372,4.92577
372.5,5.02094
373,5.18843
373.5,5.24933
374,5.41683
374.5,5.47773
375,5.60335
375.5,5.72516
376,5.72516
376.5,5.8622
377,6.0335
377.5,6.16292
378,6.24667
378.5,6.30758
379,6.45603
379.5,6.5512
380,6.74914
380.5,6.85573
381,7.03464
381.5,7.19833
382,7.22116
382.5,7.3582
383,7.55234
383.5,7.67415
384,7.79597
384.5,8.01675
385,8.22231
385.5,8.4469
386,8.51542
386.5,8.68291
387,8.86943
387.5,9.11686
388,9.26532
388.5,9.55462
389,9.72592
389.5,9.88961
390,10.0723
390.5,10.2398
391,10.4987
391.5,10.6814
392,10.906
392.5,11.1382
393,11.3209
393.5,11.5836
394,11.8614
394.5,12.1013
395,12.2573
395.5,12.4857
396,12.8397
396.5,13.19
397,13.3727
397.5,13.6544
398,13.9741
398.5,14.2444
399,14.5261
399.5,14.9105
400,15.1656
400.5,15.5539
401,15.9193
401.5,16.2352
402,16.6159
402.5,16.9813
403,17.5523
403.5,17.9901
404,18.3365
404.5,18.6601
405,19.0522
405.5,19.4024
406,19.7754
406.5,20.3616
407,20.7575
407.5,21.1991
408,21.6673
408.5,22.1241
409,22.619
409.5,23.129
410,23.6011
410.5,24.1987
411,24.5832
411.5,25.1808
412,25.7252
412.5,26.2352
413,26.7111
413.5,27.3658
414,27.6209
414.5,28.4812
415,28.8809
415.5,29.4861
416,30.0685
416.5,30.6471
417,31.2105
417.5,31.9604
418,32.3715
418.5,33.1329
419,33.7686
419.5,34.2939
420,34.804
420.5,35.3902
421,35.9536
421.5,36.6654
422,37.3239
422.5,38.0091
423,38.4469
423.5,39.3605
424,40.1218
424.5,40.8831
425,41.378
425.5,42.1393
426,42.8626
426.5,43.7762
427,44.5756
427.5,45.3369
428,46.1363
428.5,47.0879
429,47.7731
429.5,48.7248
430,49.5622
430.5,50.6281
431,51.6178
431.5,52.3791
432,53.1785
432.5,54.1302
433,55.5006
433.5,56.3761
434,57.5181
434.5,58.8123
435,59.7259
435.5,61.1344
436,62.1241
436.5,63.19
437,64.4461
437.5,65.3978
438,66.5778
438.5,67.796
439,68.8238
439.5,69.8515
440,70.6509
440.5,71.9452
441,72.7446
441.5,73.9246
442,74.6098
442.5,75.6376
443,76.7035
443.5,77.8455
444,78.3784
444.5,79.6346
445,80.7004
445.5,81.5759
446,82.3373
446.5,83.0986
447,84.0502
447.5,84.7735
448,85.4968
448.5,86.3723
449,86.753
449.5,87.2097
450,87.8188
450.5,88.1233
451,88.3517
451.5,88.9989
452,89.4937
452.5,89.7602
453,90.0266
453.5,90.3312
454,90.255
454.5,90.9783
455,91.0925
455.5,91.5493
456,91.8158
456.5,92.1584
457,92.2345
457.5,92.6532
458,92.9958
458.5,93.6049
459,93.6429
459.5,94.0617
460,94.3281
460.5,94.9372
461,95.3179
461.5,95.6604
462,96.0411
462.5,96.4218
