Type,Dichroic
Maker,"Chroma"
ProductName,"425DCLP"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.00127983
311,0.00123669
312,0.00141345
313,0.00154604
314,0.00192402
315,0.00207242
316,0.00218892
317,0.00253583
318,0.00303292
319,0.0030614
320,0.00358718
321,0.00405819
322,0.00475069
323,0.00576363
324,0.00639703
325,0.00696175
326,0.00833724
327,0.00967135
328,0.0105244
329,0.0120091
330,0.0145732
331,0.0187796
332,0.0220849
333,0.0270687
334,0.0336499
335,0.0415876
336,0.0519404
337,0.067047
338,0.0854631
339,0.110755
340,0.144327
341,0.187391
342,0.246022
343,0.322354
344,0.425582
345,0.551678
346,0.718829
347,0.923405
348,1.14073
349,1.42793
350,1.7853
351,2.19912
352,2.6788
353,3.23986
354,3.86764
355,4.58086
356,5.37412
357,6.19906
358,6.98841
359,7.73313
360,8.33608
361,8.79278
362,9.16924
363,9.49212
364,9.85936
365,10.3068
366,10.7865
367,11.2461
368,11.6199
369,11.88
370,11.9347
371,11.5284
372,10.3038
373,8.39244
374,6.33896
375,4.57025
376,3.28082
377,2.40061
378,1.79537
379,1.38833
380,1.10772
381,0.932134
382,0.779523
383,0.668004
384,0.583626
385,0.519166
386,0.469092
387,0.433194
388,0.403724
389,0.383795
390,0.368885
391,0.358699
392,0.353574
393,0.352435
394,0.353979
395,0.361989
396,0.370074
397,0.384311
398,0.404244
399,0.426873
400,0.456641
401,0.489507
402,0.533039
403,0.582268
404,0.645012
405,0.717095
406,0.809344
407,0.914218
408,1.01423
409,1.16869
410,1.36019
411,1.6013
412,1.89051
413,2.26211
414,2.7312
415,3.3165
416,4.06964
417,5.02173
418,6.23312
419,7.79891
420,9.7281
421,12.1734
422,15.1459
423,18.6777
424,22.7883
425,27.3613
426,32.1777
427,37.2016
428,42.0994
429,46.8809
430,51.6802
431,56.8282
432,62.3971
433,68.6431
434,75.0391
435,81.0296
436,85.5715
437,88.2403
438,89.3434
439,88.9923
440,88.2419
441,87.2766
442,86.7687
443,86.2675
444,86.3886
445,86.6476
446,87.333
447,88.0959
448,88.9123
449,89.8983
450,90.857
451,91.6038
452,92.4221
453,92.993
454,93.463
455,93.7687
456,93.9906
457,94.0693
458,94.0259
459,94.0915
460,94.003
461,93.9124
462,93.8592
463,93.8354
464,93.7455
465,93.8325
466,93.8333
467,93.8122
468,93.965
469,93.9601
470,93.9903
471,94.1664
472,94.1055
473,94.2074
474,94.167
475,94.212
476,94.15
477,94.1678
478,94.0123
479,94.0447
480,93.9626
481,93.8424
482,93.7529
483,93.7143
484,93.6973
485,93.6244
486,93.631
487,93.6452
488,93.5749
489,93.7221
490,93.6822
491,93.7574
492,93.8087
493,93.8784
494,93.9078
495,93.9598
496,93.9855
497,93.9928
498,94.082
499,93.9394
500,93.9835
501,93.7945
502,93.7894
503,93.72
504,93.462
505,93.4012
506,93.243
507,93.0831
508,92.8865
509,92.7822
510,92.6091
511,92.4253
512,92.412
513,92.2292
514,92.225
515,92.1793
516,92.1506
517,92.1822
518,92.2956
519,92.3577
520,92.4292
521,92.7104
522,92.7213
523,92.9632
524,93.1936
525,93.4173
526,93.4795
527,93.8276
528,93.8712
529,94.1044
530,94.1866
531,94.2945
532,94.3376
533,94.2725
534,94.2722
535,94.1146
536,93.9211
537,93.7603
538,93.3506
539,93.0565
540,92.6131
541,92.1318
542,91.7988
543,91.0872
544,90.6932
545,90.0271
546,89.5611
547,88.988
548,88.3955
549,87.8981
550,87.4371
551,86.9895
552,86.5708
553,86.2482
554,85.9226
555,85.6646
556,85.5388
557,85.3472
558,85.3605
559,85.3809
560,85.4617
561,85.6605
562,85.8947
563,86.1969
564,86.5734
565,86.9573
566,87.4381
567,88.0882
568,88.5136
569,89.2229
570,89.8312
571,90.4349
572,91.054
573,91.759
574,92.2758
575,92.9654
576,93.3666
577,93.9235
578,94.1693
579,94.5255
580,94.6895
581,94.651
582,94.6512
583,94.4013
584,94.0983
585,93.5478
586,93.0444
587,92.2207
588,91.4664
589,90.4529
590,89.4807
591,88.2823
592,87.2364
593,86.0135
594,84.6905
595,83.5627
596,82.3046
597,81.037
598,79.9699
599,78.7785
600,77.6843
601,76.6583
602,75.74
603,74.8229
604,74.1188
605,73.4635
606,72.761
607,72.482
608,71.9821
609,71.7988
610,71.6369
611,71.6504
612,71.7097
613,71.992
614,72.3347
615,72.8438
616,73.425
617,74.2988
618,75.0818
619,76.1979
620,77.3447
621,78.6369
622,80.0269
623,81.541
624,82.9984
625,84.5739
626,86.1285
627,87.5576
628,88.8698
629,90.051
630,90.8679
631,91.3963
632,91.7151
633,91.2986
634,90.7226
635,89.6636
636,88.0629
637,86.1648
638,83.9301
639,81.2844
640,78.5074
641,75.4913
642,72.3654
643,69.1981
644,65.913
645,62.7999
646,59.5994
647,56.4906
648,53.5232
649,50.5208
650,47.7727
651,45.0202
652,42.3987
653,39.9649
654,37.5637
655,35.3117
656,33.2053
657,31.1851
658,29.3022
659,27.5597
660,25.8817
661,24.3432
662,22.879
663,21.5311
664,20.2838
665,19.086
666,18.018
667,17.0086
668,16.0504
669,15.201
670,14.3926
671,13.6274
672,12.9419
673,12.3021
674,11.6778
675,11.1306
676,10.5983
677,10.1174
678,9.65923
679,9.23763
680,8.8481
681,8.47437
682,8.14228
683,7.81748
684,7.50755
685,7.23615
686,6.96457
687,6.71653
688,6.48951
689,6.26245
690,6.06432
691,5.8669
692,5.69092
