Type,Dichroic
Maker,"Chroma"
ProductName,"470dcxr"
Comment,""
Public,1
wavedataset
350,0.108738
351,0.109083
352,0.108989
353,0.114697
354,0.114406
355,0.110072
356,0.105181
357,0.0965813
358,0.0991252
359,0.101219
360,0.0970809
361,0.095309
362,0.0933053
363,0.090512
364,0.0922102
365,0.0977071
366,0.102985
367,0.117397
368,0.132367
369,0.145476
370,0.154164
371,0.151508
372,0.151194
373,0.147457
374,0.146726
375,0.149663
376,0.15646
377,0.167662
378,0.187654
379,0.218606
380,0.248629
381,0.258802
382,0.259919
383,0.25505
384,0.256299
385,0.27478
386,0.309057
387,0.375942
388,0.475322
389,0.486516
390,0.549268
391,0.507113
392,0.506156
393,0.51117
394,0.45408
395,0.442338
396,0.392585
397,0.414741
398,0.423841
399,0.459535
400,0.574077
401,0.672963
402,0.796086
403,0.81355
404,0.705041
405,0.621671
406,0.53693
407,0.475186
408,0.438556
409,0.444217
410,0.496704
411,0.576027
412,0.729948
413,1.01259
414,1.41238
415,1.93945
416,2.03727
417,1.65857
418,1.19006
419,0.911433
420,0.740513
421,0.669861
422,0.677581
423,0.814345
424,0.977805
425,1.25679
426,2.06491
427,3.74259
428,5.19807
429,4.37206
430,2.49908
431,1.28739
432,0.800059
433,0.551808
434,0.434386
435,0.375211
436,0.331475
437,0.313642
438,0.296879
439,0.305821
440,0.30397
441,0.322049
442,0.343541
443,0.370689
444,0.421978
445,0.467
446,0.531635
447,0.612201
448,0.672518
449,0.741876
450,0.775353
451,0.801457
452,0.814312
453,0.829765
454,0.838152
455,0.857757
456,0.880155
457,0.920926
458,0.996167
459,1.09324
460,1.22258
461,1.40729
462,1.67824
463,2.04049
464,2.54057
465,3.19536
466,4.14383
467,5.39368
468,7.3256
469,9.79084
470,13.4478
471,18.0415
472,24.0311
473,30.4982
474,37.4268
475,43.4631
476,49.2452
477,54.4602
478,60.5842
479,66.7116
480,73.5447
481,79.749
482,85.3541
483,89.6398
484,92.586
485,94.6567
486,95.9004
487,96.6023
488,96.798
489,96.6632
490,96.3007
491,95.9224
492,95.6296
493,95.4058
494,95.3216
495,95.3955
496,95.6667
497,96.0585
498,96.5137
499,96.8454
500,97.1065
501,97.3667
502,97.5365
503,97.6608
504,97.738
505,97.7234
506,97.612
507,97.591
508,97.6439
509,97.7029
510,97.7688
511,97.7307
512,97.599
513,97.5074
514,97.3963
515,97.2377
516,97.0782
517,96.9358
518,96.7909
519,96.6283
520,96.5076
521,96.3858
522,96.4165
523,96.4353
524,96.4907
525,96.5076
526,96.5209
527,96.6176
528,96.6701
529,96.6544
530,96.54
531,96.3523
532,96.086
533,95.8832
534,95.8231
535,95.6878
536,95.5002
537,95.4077
538,95.3982
539,95.4055
540,95.4741
541,95.514
542,95.6308
543,95.8592
544,96.0718
545,96.3166
546,96.5237
547,96.6864
548,96.7872
549,96.8649
550,96.9276
551,96.9329
552,96.972
553,96.9582
554,96.9276
555,96.8664
556,96.8243
557,96.8138
558,96.8035
559,96.8455
560,96.9699
561,97.1625
562,97.367
563,97.3794
564,97.511
565,97.4698
566,97.4257
567,97.5584
568,97.7636
569,97.7431
570,97.6533
571,97.6305
572,97.4337
573,97.2585
574,97.1065
575,96.8985
576,96.6757
577,96.477
578,96.2784
579,96.1547
580,96.0594
581,96.0093
582,96.0058
583,95.927
584,95.838
585,95.9186
586,96.0898
587,96.2275
588,96.444
589,96.6954
590,96.8674
591,96.9989
592,97.1082
593,97.1203
594,97.0875
595,97.0249
596,96.9418
597,96.7704
598,96.4833
599,96.1452
600,95.7292
601,95.4597
602,95.0374
603,94.3047
604,93.7575
605,93.1809
606,92.5953
607,92.1854
608,91.4957
609,90.8618
610,90.3959
611,90.0074
612,89.583
613,89.3235
614,89.2136
615,89.1827
616,89.0883
617,89.0631
618,89.1037
619,89.2247
620,89.4681
621,89.9273
622,90.2609
623,90.5735
624,91.0814
625,91.6763
626,92.3576
627,93.0096
628,93.6674
629,94.3544
630,94.9193
631,95.5294
632,96.081
633,96.5277
634,96.9593
635,97.2427
636,97.5718
637,97.6552
638,97.7118
639,97.7174
640,97.6363
641,97.4787
642,97.2784
643,96.6404
644,96.338
645,95.7776
646,95.3683
647,95.0983
648,94.8671
649,94.585
650,94.325
651,94.0044
652,93.8296
653,93.7027
654,93.6462
655,93.6794
656,93.6554
657,93.7021
658,93.847
659,94.0549
660,94.2316
661,94.494
662,94.8538
663,95.1579
664,95.4301
665,95.5894
666,95.7142
667,96.1337
668,96.3777
669,96.4802
670,96.6257
671,96.6566
672,96.7938
673,96.8916
674,96.9211
675,96.9229
676,96.9038
677,96.8089
678,96.6686
679,96.5516
680,96.4588
681,96.3671
682,96.1929
683,95.9101
684,95.7349
685,95.6591
686,95.676
687,95.7444
688,95.7784
689,95.8013
690,95.9666
691,96.0884
692,96.1865
693,96.2713
694,96.3964
695,96.6234
696,96.8081
697,96.9111
698,96.9289
699,96.8624
700,96.7725
701,96.6229
702,96.3128
703,95.9143
704,95.488
705,95.0174
706,94.5089
707,93.9081
708,93.263
709,92.6345
710,91.879
711,91.1606
712,90.5275
713,89.7712
714,89.0373
715,88.3287
716,87.6332
717,87.1484
718,86.7748
719,86.4262
720,86.1148
721,85.9323
722,85.768
723,85.7071
724,85.7141
725,85.8318
726,86.0057
727,86.2491
728,86.6213
729,87.0801
730,87.628
731,88.2051
732,88.8976
733,89.5877
734,90.3681
735,91.1916
736,92.004
737,92.8768
738,93.6798
739,94.5039
740,95.2641
741,95.913
742,96.4785
743,96.9095
744,97.2664
745,97.5435
746,97.6724
747,97.54
748,97.2781
749,96.8541
750,96.2078
751,95.446
752,94.6609
753,93.7985
754,92.7204
755,91.5424
756,90.4034
757,89.2591
758,88.1476
759,87.0042
760,85.8441
761,84.7239
762,83.5798
763,82.5084
764,81.8216
765,81.1356
766,80.404
767,79.7394
768,79.1645
769,78.7756
770,78.3321
771,77.9892
772,77.8435
773,77.799
774,77.7905
775,77.826
776,77.9469
777,78.2369
778,78.5935
779,79.0779
