Type,Dichroic
Maker,"Chroma"
ProductName,"505DCXT"
Comment,""
Public,1
wavedataset
380,10.3407
381,15.042
382,19.1075
383,24.3344
384,30.1781
385,35.868
386,40.9056
387,45.3361
388,49.6775
389,53.5241
390,57.0289
391,60.3708
392,63.1307
393,65.9821
394,68.5358
395,68.9612
396,67.6055
397,64.6444
398,61.2723
399,58.9246
400,58.3722
401,60.2016
402,64.1967
403,70.1452
404,75.5263
405,77.8489
406,76.1161
407,71.5527
408,65.6401
409,60.8802
410,58.1795
411,58.1513
412,61.4672
413,67.014
414,74.0735
415,79.337
416,80.2439
417,76.2053
418,69.837
419,63.0504
420,57.6232
421,54.404
422,53.8427
423,56.8512
424,63.099
425,71.7463
426,78.0362
427,78.9812
428,75.0496
429,68.5135
430,61.0506
431,53.8961
432,48.0117
433,44.2607
434,43.5551
435,46.7297
436,53.259
437,62.6952
438,68.1764
439,65.8999
440,61.7143
441,58.8951
442,55.1162
443,48.6128
444,41.2138
445,35.7579
446,34.4667
447,39.901
448,43.6418
449,36.0306
450,27.6237
451,27.6684
452,34.1467
453,42.358
454,42.3058
455,32.7168
456,20.3192
457,10.7702
458,5.89147
459,3.50637
460,2.24539
461,1.54187
462,1.11137
463,0.837711
464,0.653558
465,0.529529
466,0.4468
467,0.388393
468,0.338532
469,0.298743
470,0.27393
471,0.256837
472,0.240624
473,0.229392
474,0.222976
475,0.22106
476,0.22225
477,0.228504
478,0.237057
479,0.246788
480,0.261933
481,0.286202
482,0.317992
483,0.349499
484,0.393219
485,0.445406
486,0.512908
487,0.603657
488,0.725468
489,0.878517
490,1.08838
491,1.36283
492,1.76237
493,2.28978
494,3.07904
495,4.05645
496,5.39502
497,7.66088
498,10.8246
499,15.6102
500,21.8962
501,30.0109
502,38.4711
503,46.1705
504,52.1677
505,56.2768
506,60.6658
507,66.173
508,72.6167
509,78.5489
510,82.8346
511,85.3055
512,86.4977
513,87.4512
514,88.3784
515,89.3313
516,90.3715
517,91.3021
518,92.1831
519,92.784
520,93.1282
521,93.282
522,93.2662
523,93.1483
524,93.0373
525,93.0171
526,93.0768
527,93.1766
528,93.2909
529,93.4949
530,93.7156
531,93.9516
532,94.1549
533,94.2558
534,94.2658
535,94.1843
536,94.0639
537,93.9336
538,93.8043
539,93.665
540,93.4152
541,93.3169
542,93.2622
543,93.3066
544,93.3871
545,93.4708
546,93.4696
547,93.5424
548,93.6396
549,93.6925
550,93.6243
551,93.6559
552,93.6507
553,93.4773
554,93.2608
555,93.0518
556,92.9049
557,92.7755
558,92.6895
559,92.6372
560,92.571
561,92.5232
562,92.5321
563,92.6099
564,92.8188
565,92.9273
566,92.8765
567,93.0599
568,93.3155
569,93.3901
570,93.5214
571,93.5198
572,93.3817
573,93.3917
574,93.3456
575,93.2671
576,93.0896
577,92.8838
578,92.752
579,92.625
580,92.5116
581,92.3752
582,92.3282
583,92.3088
584,92.3683
585,92.3879
586,92.4449
587,92.5332
588,92.7485
589,92.8832
590,93.0539
591,93.2449
592,93.413
593,93.5462
594,93.6061
595,93.7022
596,93.8521
597,93.9072
598,93.7763
599,93.7265
600,93.7044
601,93.4932
602,93.2905
603,93.0961
604,92.7855
605,92.459
606,92.2819
607,92.1082
608,91.8992
609,91.7552
610,91.6828
611,91.6651
612,91.6463
613,91.6313
614,91.6167
615,91.6479
616,91.7691
617,91.9095
618,92.0145
619,92.1816
620,92.4261
621,92.6417
622,92.7701
623,92.9524
624,93.2228
625,93.4459
626,93.6975
627,93.8438
628,94.0354
629,94.1582
630,94.1715
631,94.2092
632,94.2252
633,94.1896
634,94.1957
635,94.0767
636,93.8871
637,93.7501
638,93.5759
639,93.3388
640,93.1353
641,92.9267
642,92.7207
643,92.5653
644,92.2957
645,92.0539
646,91.8377
647,91.685
648,91.5452
649,91.3139
650,91.1815
651,91.1303
652,91.0644
653,90.9523
654,90.9559
655,91.0024
656,91.0295
657,91.111
658,91.2197
659,91.4183
660,91.5607
661,91.6932
662,91.9195
663,92.0723
664,92.2287
665,92.5058
666,92.7836
667,92.9121
668,93.0289
669,93.2636
670,93.4053
671,93.4813
672,93.6142
673,93.6893
674,93.705
675,93.7218
676,93.6712
677,93.5772
678,93.4727
679,93.2807
680,93.0723
681,92.8289
682,92.5476
683,92.3028
684,92.0629
685,91.7763
686,91.5489
687,91.3075
688,91.0551
689,90.91
690,90.8086
691,90.4571
692,90.1549
693,90.0466
694,90.0039
695,90.1863
696,90.1222
697,89.8589
698,89.9658
699,90.054
700,90.0318
701,90.1336
702,90.2279
703,90.29
704,90.4075
705,90.5123
706,90.5863
707,90.7805
708,91.0911
709,91.2466
710,91.2994
711,91.427
712,91.5891
713,91.6587
714,91.7985
715,91.852
716,91.904
717,91.8407
718,91.8045
719,91.745
720,91.6267
721,91.5534
722,91.2581
723,91.0236
724,90.6952
725,90.5304
726,90.2789
727,89.9488
728,89.4322
729,89.2486
730,88.8089
731,88.4093
732,88.1223
733,87.862
734,87.6094
735,87.3234
736,87.1282
737,86.8658
738,86.6179
739,86.389
740,86.2126
741,86.1274
742,86.0576
743,86.0335
744,86.048
745,86.0559
746,86.0834
747,86.3041
748,86.5189
749,86.6562
750,86.6428
