Type,Dichroic
Maker,"Chroma"
ProductName,"51005bs"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.00113238
357,0.0018868
358,0.00419394
359,0.00907026
360,0.0196872
361,0.0419262
362,0.0851708
363,0.158913
364,0.274069
365,0.436933
366,0.646953
367,0.895305
368,1.04761
369,1.2268
370,1.29676
371,1.21929
372,1.04324
373,0.964351
374,0.876347
375,0.9498
376,1.16319
377,1.88504
378,3.44966
379,6.18378
380,9.91572
381,13.8571
382,17.4506
383,20.6316
384,23.3037
385,25.2969
386,26.7813
387,27.8477
388,28.2791
389,27.5594
390,25.3231
391,21.9713
392,18.1843
393,14.1419
394,9.54083
395,4.96397
396,1.90779
397,0.712852
398,0.284812
399,0.143055
400,0.0864968
401,0.0604402
402,0.0483288
403,0.0428276
404,0.0423682
405,0.0470999
406,0.0579957
407,0.0796794
408,0.125391
409,0.229088
410,0.521359
411,1.32634
412,3.6857
413,8.2969
414,14.9137
415,22.5526
416,30.1447
417,37.3444
418,44.3028
419,51.0666
420,57.6165
421,64.1687
422,68.608
423,69.5496
424,69.0336
425,70.1575
426,73.5494
427,77.5228
428,79.7472
429,79.2139
430,76.9262
431,75.1918
432,75.4572
433,77.1239
434,77.885
435,74.2303
436,64.7264
437,51.2176
438,37.2267
439,26.3536
440,19.2681
441,15.1089
442,12.9557
443,12.2086
444,12.6311
445,14.2743
446,17.5441
