Type,Dichroic
Maker,"Chroma"
ProductName,"62002BS"
Comment,""
Public,1
wavedataset
300,0.0011823
301,0.001992
302,0.00131571
303,0.00117899
304,0.00136362
305,0.00111595
306,0.001
307,0.00103091
308,0.00146552
309,0.001
310,0.0010013
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.00165704
321,0.00120545
322,0.00122478
323,0.00145896
324,0.001
325,0.001
326,0.00101912
327,0.001
328,0.00112406
329,0.0012241
330,0.0011503
331,0.001
332,0.00134729
333,0.00104065
334,0.0011104
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.00126843
347,0.0013118
348,0.0012933
349,0.00132491
350,0.00158049
351,0.00118821
352,0.00129755
353,0.0010087
354,0.00163953
355,0.00203578
356,0.00184698
357,0.00263587
358,0.00375544
359,0.00612452
360,0.0110464
361,0.0177221
362,0.0266668
363,0.0383684
364,0.0519952
365,0.0669037
366,0.0829277
367,0.10075
368,0.116088
369,0.126177
370,0.128806
371,0.12198
372,0.115012
373,0.113165
374,0.125727
375,0.153408
376,0.207556
377,0.298753
378,0.428425
379,0.602511
380,0.797253
381,0.997448
382,1.1977
383,1.39
384,1.58923
385,1.79598
386,2.01338
387,2.24767
388,2.50429
389,2.77314
390,2.98717
391,3.15003
392,3.28531
393,3.30887
394,2.94616
395,2.14649
396,1.20901
397,0.55428
398,0.248067
399,0.125899
400,0.076773
401,0.0541456
402,0.0438395
403,0.0390295
404,0.0381103
405,0.0413815
406,0.0492701
407,0.0635027
408,0.0914532
409,0.14827
410,0.279024
411,0.622121
412,1.72767
413,5.06625
414,11.5779
415,19.8132
416,27.7858
417,34.4027
418,39.701
419,45.1032
420,51.2226
421,56.8838
422,60.9108
423,63.2001
424,64.7666
425,67.309
426,71.2243
427,75.2769
428,77.764
429,77.7475
430,75.8541
431,73.7029
432,73.1001
433,74.3747
434,76.0368
435,75.2703
436,69.9167
437,59.83
438,47.6982
439,36.2256
440,27.5549
441,21.873
442,18.5258
443,16.8786
444,16.5902
445,17.5491
446,19.7895
447,23.5357
448,29.0219
449,36.1345
450,44.5267
451,53.6255
452,62.6592
453,70.8419
454,77.4358
455,82.0087
456,84.1871
457,84.1859
458,82.9153
459,81.6529
460,81.4722
461,82.6363
462,84.5525
463,85.894
464,85.6753
465,83.4232
466,79.8157
467,76.4591
468,74.9146
469,75.9398
470,78.7435
471,81.3704
472,81.8743
473,79.1328
474,73.2179
475,66.3963
476,61.5529
477,59.4772
478,58.9826
479,58.8117
480,57.4881
481,52.9787
482,44.5496
483,34.2872
484,24.0657
485,14.8547
486,8.25402
487,4.58145
488,2.72967
489,1.78831
490,1.2677
491,0.958353
492,0.767663
493,0.643949
494,0.56814
495,0.521191
496,0.494849
497,0.489887
498,0.50072
499,0.531159
500,0.581095
501,0.659168
502,0.77697
503,0.948933
504,1.20918
505,1.59746
506,2.21832
507,3.23576
508,4.89547
509,7.65125
510,11.92
511,17.9269
512,25.5575
513,34.4876
514,44.394
515,54.584
516,63.9179
517,71.763
518,77.8024
519,82.0334
520,84.6163
521,86.2078
522,87.4572
523,88.8457
524,90.3244
525,91.5158
526,92.2989
527,92.7157
528,92.9283
529,93.08
530,93.4994
531,94.0022
532,94.5064
533,94.9915
534,95.2947
535,95.3286
536,95.0759
537,94.6656
538,94.2259
539,93.688
540,93.1492
541,92.5531
542,91.8453
543,91.0322
544,90.1002
545,89.1775
546,88.4493
547,88.0493
548,88.141
549,88.4761
550,88.7626
551,88.5124
552,87.0619
553,84.0026
554,79.0767
555,72.4012
556,64.2385
557,55.311
558,46.323
559,38.1367
560,30.9255
561,25.0072
562,20.3235
563,16.6801
564,13.8779
565,11.7869
566,10.208
567,9.03687
568,8.18559
569,7.55563
