Type,Dichroic
Maker,"Chroma"
ProductName,"86004v1bs"
Comment,""
Public,1
wavedataset
350,0.04071
350.5,1E-06
351,1E-06
351.5,0.03798
352,0.02215
352.5,1E-06
353,0.001327
353.5,0.009691
354,0.01582
354.5,0.01139
355,0.02406
355.5,0.002168
356,0.009138
356.5,0.02534
357,0.036
357.5,0.03603
358,0.05809
358.5,0.09386
359,0.1749
359.5,0.191
360,0.2455
360.5,0.256
361,0.3062
361.5,0.4094
362,0.4577
362.5,0.5029
363,0.5537
363.5,0.6434
364,0.7727
364.5,0.908
365,0.9709
365.5,1.136
366,1.198
366.5,1.412
367,1.52
367.5,1.548
368,1.73
368.5,1.819
369,2.068
369.5,2.128
370,2.186
370.5,2.141
371,2.109
371.5,1.96
372,1.853
372.5,1.681
373,1.496
373.5,1.368
374,1.194
374.5,1.063
375,0.9419
375.5,0.8543
376,0.7175
376.5,0.6399
377,0.5302
377.5,0.5087
378,0.4701
378.5,0.3988
379,0.328
379.5,0.2914
380,0.2726
380.5,0.2146
381,0.2063
381.5,0.1817
382,0.1434
382.5,0.1581
383,0.1368
383.5,0.1313
384,0.1635
384.5,0.1882
385,0.189
385.5,0.1873
386,0.211
386.5,0.1841
387,0.2274
387.5,0.2179
388,0.2455
388.5,0.2466
389,0.221
389.5,0.2575
390,0.2361
390.5,0.2661
391,0.2701
391.5,0.2943
392,0.2682
392.5,0.294
393,0.2742
393.5,0.3241
394,0.3055
394.5,0.3117
395,0.3241
395.5,0.2986
396,0.3343
396.5,0.3125
397,0.3456
397.5,0.3526
398,0.3604
398.5,0.3695
399,0.4124
399.5,0.4295
400,0.4559
400.5,0.4497
401,0.4488
401.5,0.4505
402,0.4422
402.5,0.4413
403,0.4543
403.5,0.4164
404,0.4683
404.5,0.4588
405,0.5643
405.5,0.526
406,0.6449
406.5,0.6994
407,0.7905
407.5,0.907
408,0.9433
408.5,1.012
409,1.018
409.5,1.091
410,1.059
410.5,1.071
411,1.091
411.5,1.086
