Type,Dichroic
Maker,"Semrock"
ProductName,"CFW-Di01-Clin-25x36"
Comment,""
Public,1
wavedataset
300,0.0072045
300.2,0.0072414
300.4,0.0072788
300.6,0.0072465
300.8,0.0071796
301,0.0070811
301.2,0.0069103
301.4,0.0067647
301.6,0.006597
301.8,0.0064632
302,0.006352
302.2,0.0062822
302.4,0.0062231
302.6,0.0062013
302.8,0.0061688
303,0.00613
303.2,0.0060736
303.4,0.0060031
303.6,0.0058844
303.8,0.0057749
304,0.005639
304.2,0.0055216
304.4,0.0054105
304.6,0.0053558
304.8,0.0053075
305,20.455
305.2,38.543
305.4,35.162
305.6,31.056
305.8,26.923
306,22.829
306.2,19.211
306.4,16.223
306.6,13.805
306.8,11.988
307,10.498
307.2,9.438
307.4,8.624
307.6,8.04
307.8,7.633
308,7.371
308.2,7.14
308.4,7.174
308.6,7.255
308.8,7.494
309,7.884
309.2,8.416
309.4,9.01
309.6,9.894
309.8,11.103
310,12.485
310.2,14.227
310.4,16.1
310.6,18.173
310.8,20.543
311,22.727
311.2,24.895
311.4,27.065
311.6,29.375
311.8,31.588
312,33.757
312.2,36.049
312.4,37.859
312.6,39.609
312.8,40.916
313,41.497
313.2,41.497
313.4,40.986
313.6,40.17
313.8,39.106
314,37.269
314.2,35.175
314.4,32.94
314.6,30.623
314.8,28.215
315,25.749
315.2,23.338
315.4,20.993
315.6,18.973
315.8,17.138
316,15.463
316.2,14.174
316.4,13.015
316.6,12.084
316.8,11.319
317,10.75
317.2,10.376
317.4,9.989
317.6,9.761
317.8,9.689
318,9.776
318.2,9.891
318.4,10.158
318.6,10.547
318.8,11.057
319,11.806
319.2,12.81
319.4,13.956
319.6,15.443
319.8,17.139
320,19.059
320.2,21.158
320.4,23.166
320.6,24.79
320.8,25.93
321,26.282
321.2,25.815
321.4,24.9
321.6,23.257
321.8,21.716
322,0.094686
322.2,0.099187
322.4,0.104
322.6,0.109
322.8,0.114
323,0.119
323.2,0.125
323.4,0.131
323.6,0.137
323.8,0.144
324,0.151
324.2,0.158
324.4,0.165
324.6,0.173
324.8,0.181
325,15.867
325.2,17.711
325.4,20.267
325.6,23.57
325.8,27.31
326,31.11
326.2,34.144
326.4,36.238
326.6,37.116
326.8,36.65
327,35.157
327.2,32.633
327.4,29.965
327.6,27.581
327.8,25.688
328,24.494
328.2,24.212
328.4,24.365
328.6,24.831
328.8,25.899
329,27.14
329.2,28.669
329.4,30.341
329.6,31.911
329.8,33.499
330,34.928
330.2,36.091
330.4,36.881
330.6,37.213
330.8,37.257
331,36.878
331.2,36.223
331.4,35.337
331.6,34.553
331.8,33.689
332,33.129
332.2,32.777
332.4,32.859
332.6,33.298
332.8,34.448
333,35.873
333.2,37.536
333.4,39.227
333.6,40.605
333.8,41.079
334,40.432
334.2,38.464
334.4,35.375
334.6,31.321
334.8,26.71
335,22.036
335.2,17.861
335.4,14.266
335.6,11.425
335.8,9.167
336,7.504
336.2,6.181
336.4,5.201
336.6,4.446
336.8,3.884
337,3.421
337.2,3.1
337.4,2.82
337.6,2.609
337.8,2.443
338,2.333
338.2,2.241
338.4,2.168
338.6,2.139
338.8,2.152
339,2.177
339.2,2.255
339.4,2.386
339.6,2.55
339.8,2.764
340,3.044
340.2,3.426
340.4,3.911
340.6,4.528
340.8,5.214
341,5.882
341.2,6.441
341.4,6.697
341.6,6.575
341.8,6.141
342,5.468
342.2,4.569
342.4,3.648
342.6,2.818
342.8,2.164
343,1.683
343.2,1.351
343.4,1.104
343.6,0.936
343.8,0.811
344,0.724
344.2,0.662
344.4,0.6
344.6,0.563
344.8,0.524
345,0.493
345.2,0.463
345.4,0.447
345.6,0.427
345.8,0.413
346,0.396
346.2,0.385
346.4,0.372
346.6,0.368
346.8,0.359
347,0.352
347.2,0.349
347.4,0.345
347.6,0.343
347.8,0.341
348,0.344
348.2,0.344
348.4,0.344
348.6,0.354
348.8,0.362
349,0.376
349.2,0.398
349.4,0.431
349.6,0.483
349.8,0.543
350,0.628
350.2,0.745
350.4,0.917
350.6,1.171
350.8,1.477
351,1.801
351.2,2.036
351.4,2.168
351.6,2.178
351.8,2.052
352,1.817
352.2,1.486
352.4,1.12
352.6,0.804
352.8,0.578
353,0.424
353.2,0.326
353.4,0.264
353.6,0.218
353.8,0.188
354,0.164
354.2,0.148
354.4,0.131
354.6,0.119
354.8,0.11
355,0.099866
355.2,0.093852
355.4,0.085683
355.6,0.07769
355.8,0.076147
356,0.074015
356.2,0.072066
356.4,0.069377
356.6,0.0679
356.8,0.067139
357,0.06672
357.2,0.066269
357.4,0.065927
357.6,0.066423
357.8,0.066877
358,0.069049
358.2,0.070372
358.4,0.068889
358.6,0.07417
358.8,0.077267
359,0.080931
359.2,0.08553
359.4,0.091042
359.6,0.101
359.8,0.114
360,0.133
360.2,0.163
360.4,0.193
360.6,0.23
360.8,0.272
361,0.334
361.2,0.424
361.4,0.549
361.6,0.721
361.8,0.947
362,1.149
362.2,1.329
362.4,1.433
362.6,1.458
362.8,1.417
363,1.27
363.2,1.08
363.4,0.847
363.6,0.634
363.8,0.461
364,0.342
364.2,0.261
364.4,0.206
364.6,0.167
364.8,0.147
365,0.24
365.2,0.388
365.4,0.395
365.6,0.383
365.8,0.378
366,0.372
366.2,0.366
366.4,0.365
366.6,0.351
366.8,0.352
367,0.362
367.2,0.358
367.4,0.367
367.6,0.35
367.8,0.362
368,0.359
368.2,0.362
368.4,0.351
368.6,0.349
368.8,0.373
369,0.37
369.2,0.355
369.4,0.361
369.6,0.352
369.8,0.362
370,0.357
370.2,0.379
370.4,0.383
370.6,0.413
370.8,0.438
371,0.451
371.2,0.473
371.4,0.489
371.6,0.504
371.8,0.528
372,0.568
372.2,0.604
372.4,0.651
372.6,0.726
372.8,0.808
373,0.963
373.2,1.138
373.4,1.316
373.6,1.472
373.8,1.611
374,1.674
374.2,1.679
374.4,1.653
374.6,1.541
374.8,1.378
375,1.201
375.2,1.033
375.4,0.885
375.6,0.757
375.8,0.697
376,0.609
376.2,0.581
376.4,0.531
376.6,0.508
376.8,0.494
377,0.468
377.2,0.459
377.4,0.463
377.6,0.459
377.8,0.434
378,0.434
378.2,0.428
378.4,0.43
378.6,0.427
378.8,0.407
379,0.419
379.2,0.418
379.4,0.416
379.6,0.417
379.8,0.397
380,0.398
380.2,0.406
380.4,0.408
380.6,0.411
380.8,0.4
381,0.425
381.2,0.406
381.4,0.414
381.6,0.413
381.8,0.414
382,0.408
382.2,0.414
382.4,0.425
382.6,0.419
382.8,0.429
383,0.445
383.2,0.444
383.4,0.447
383.6,0.452
383.8,0.457
384,0.475
384.2,0.467
384.4,0.464
384.6,0.486
384.8,0.499
385,0.098
385.2,0.097
385.4,0.095
385.6,0.094
385.8,0.092
386,0.089
386.2,0.091
386.4,0.089
386.6,0.087
386.8,0.087
387,0.084
387.2,0.084
387.4,0.085
387.6,0.082
387.8,0.081
388,0.081
388.2,0.082
388.4,0.08
388.6,0.08
388.8,0.079
389,0.081
389.2,0.08
389.4,0.08
389.6,0.081
389.8,0.081
390,0.079
390.2,0.082
390.4,0.083
390.6,0.084
390.8,0.086
391,0.086
391.2,0.085
391.4,0.089
391.6,0.089
391.8,0.093
392,0.096
392.2,0.097
392.4,0.102
392.6,0.105
392.8,0.107
393,0.114
393.2,0.116
393.4,0.12
393.6,0.125
393.8,0.131
394,0.136
394.2,0.143
394.4,0.15
394.6,0.158
394.8,0.166
395,0.177
395.2,0.187
395.4,0.204
395.6,0.213
395.8,0.23
396,0.246
396.2,0.27
396.4,0.289
396.6,0.312
396.8,0.337
397,0.368
397.2,0.403
397.4,0.441
397.6,0.483
397.8,0.533
398,0.584
398.2,0.649
398.4,0.725
398.6,0.809
398.8,0.904
399,1.015
399.2,1.122
399.4,1.223
399.6,1.388
399.8,1.568
400,1.781
400.2,2.028
400.4,2.306
400.6,2.659
400.8,3.059
