Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM410"
Comment,""
Public,1
wavedataset
300,9.027
301,7.8096
302,7.2945
303,22.62365
304,28.0379
305,17.6951
306,5.711
307,2.14715
308,2.057
309,7.20935
310,14.3446
311,4.6684
312,2.53085
313,4.72115
314,10.7651
315,7.38335
316,4.54775
317,1.72345
318,0.2635
319,0.1675
320,0.18545
321,0.1639
322,0.07415
323,0.04345
324,0.0926
325,0.0219
326,0.003
327,0.02875
328,0.0281
329,0.00845
330,-0.0187
331,0.0192
332,0.01645
333,0.0292
334,0.00755
335,-0.00385
336,-0.01035
337,0.00625
338,0.0306
339,0.00525
340,0.0455
341,0.0312
342,-0.0066
343,0.03285
344,0.02085
345,0.00805
346,0.05525
347,0.04115
348,0.02905
349,0.03415
350,0.01145
351,0.04905
352,0.00055
353,0.0277
354,0.01435
355,0.0154
356,0.02095
357,0.01795
358,0.02915
359,0.0358
360,0.02735
361,0.01195
362,0.01245
363,0.02365
364,0.03265
365,0.04495
366,0.0204
367,0.0305
368,0.00785
369,0.02365
370,0.02745
371,0.02285
372,0.02715
373,0.03255
374,0.0252
375,0.0304
376,0.0281
377,0.0193
378,0.00875
379,0.02065
380,0.0231
381,0.02135
382,0.0189
383,0.0099
384,0.0111
385,0.014
386,0.0113
387,0.0186
388,0.01875
389,0.0164
390,0.00655
391,0.0161
392,0.01455
393,0.017
394,0.03295
395,0.07495
396,0.08155
397,0.0908
398,0.0942
399,0.142
400,0.21775
401,0.43345
402,1.24675
403,3.88335
404,9.14595
405,18.22975
406,31.4707
407,42.55665
408,46.68405
409,45.78625
410,53.7077
411,66.3973
412,67.5144
413,83.6141
414,93.648
415,92.885
416,93.65705
417,96.13295
418,96.68545
419,96.60365
420,96.7934
421,97.1027
422,97.23335
423,97.68405
424,97.6024
425,97.149
426,96.8725
427,96.74555
428,96.35495
429,96.95695
430,97.0594
431,96.94985
432,96.67615
433,96.54755
434,96.71335
435,97.247
436,97.3623
437,97.4646
438,97.95985
439,97.7138
440,97.97855
441,98.1472
442,97.7244
443,97.80175
444,97.6858
445,97.58565
446,97.73205
447,98.0789
448,98.1439
449,98.52525
450,98.43695
451,98.21545
452,98.1711
453,98.50135
454,97.89275
455,97.82205
456,98.10645
457,98.6827
458,98.4773
459,99.1496
460,98.357
461,98.19545
462,98.0473
463,97.54595
464,97.944
465,98.3566
466,98.80775
467,98.88555
468,98.68245
469,98.71945
470,97.8632
471,97.40115
472,97.62415
473,97.3907
474,97.88375
475,98.037
476,98.73045
477,98.80945
478,99.13405
479,98.90875
480,98.66495
481,98.60915
482,98.3544
483,98.1745
484,98.81675
485,98.8841
486,99.00235
487,98.8086
488,98.9331
489,98.5391
490,98.11475
491,97.95685
492,98.04855
493,97.9831
494,97.915
495,98.3352
496,98.5225
497,98.5209
498,98.6535
499,98.1675
500,97.80845
501,97.74065
502,97.4841
503,97.47465
504,97.4902
505,97.75385
506,98.16085
507,98.2603
508,98.35585
509,98.65495
510,98.51955
511,98.5802
512,98.3074
513,98.1196
514,98.1603
515,98.4242
516,98.6335
517,98.733
518,99.10065
519,98.69285
520,98.90585
521,98.83195
522,98.78
523,98.81055
524,98.38695
525,98.30595
526,98.21525
527,98.501
528,98.52395
529,98.66635
530,98.6941
531,99.0585
532,98.6573
533,98.64925
534,98.3578
535,98.2422
536,98.06295
537,97.77265
538,97.76615
539,97.8152
540,97.81735
541,98.21455
542,98.21075
543,98.69905
544,98.49695
545,98.852
546,98.55645
547,98.57405
548,98.2865
549,98.376
550,98.0675
551,98.0135
552,98.0883
553,98.23785
554,98.15135
555,98.54715
556,98.5057
557,98.50395
558,98.6418
559,98.5099
560,98.72055
561,98.5451
562,98.6275
563,98.59285
564,98.2672
