Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM570(U-FGW,U-FGWA,U-FGNA,U-MWIG3,U-MWIGA3,U-MNIGA3)"
Comment,""
Public,1
wavedataset
300,0.0095
301,0.02145
302,0.05735
303,0.00945
304,0.10965
305,2.0428
306,10.51745
307,12.86965
308,13.75265
309,23.5834
310,29.5477
311,20.16555
312,11.3652
313,16.38785
314,23.18515
315,13.38915
316,5.46695
317,6.15015
318,8.35045
319,9.66525
320,16.8898
321,16.9892
322,7.82475
323,13.07985
324,20.4287
325,10.09455
326,2.4234
327,1.71
328,0.8079
329,0.31155
330,0.16095
331,0.13875
332,0.2317
333,0.88025
334,4.5367
335,4.15525
336,3.2931
337,4.75115
338,6.76135
339,1.2765
340,0.30515
341,0.0242
342,0.01995
343,0.02855
344,0.05205
345,0.0277
346,0.01315
347,0.0141
348,0.02225
349,0.02965
350,0.07875
351,1.10965
352,11.231
353,30.81605
354,33.60705
355,32.6036
356,38.3855
357,36.59505
358,45.65845
359,48.85855
360,56.3921
361,59.1978
362,57.86955
363,55.10525
364,53.2732
365,50.22295
366,52.1788
367,54.9938
368,62.0002
369,57.883
370,58.7941
371,60.66755
372,55.8887
373,55.36115
374,54.7499
375,49.4202
376,54.1821
377,59.8295
378,42.3695
379,38.84905
380,46.7351
381,46.9231
382,54.74485
383,53.23425
384,57.57295
385,55.24985
386,52.0374
387,55.27755
388,49.7629
389,40.7951
390,37.28045
391,41.9056
392,46.0774
393,40.7126
394,38.0038
395,48.781
396,36.24135
397,20.59595
398,26.3852
399,25.14595
400,21.44875
401,25.85575
402,30.2445
403,37.5455
404,45.2228
405,43.8064
406,43.01175
407,38.3054
408,30.887
409,23.92615
410,23.76485
411,22.39375
412,17.35155
413,15.44945
414,15.4099
415,13.12
416,9.9201
417,7.35845
418,7.09305
419,9.22685
420,11.68445
421,11.03095
422,8.7863
423,8.127
424,9.3828
425,16.33635
426,27.25025
427,19.98225
428,6.65035
429,1.3343
430,0.4247
431,0.21335
432,0.12365
433,0.0653
434,0.04015
435,0.0282
436,0.0269
437,0.0196
438,0.02005
439,0.02405
440,0.0158
441,0.0177
442,0.0101
443,0.0112
444,0.01245
445,0.01575
446,0.0108
447,0.01125
448,0.0123
449,0.0095
450,0.01055
451,0.01225
452,0.00455
453,0.00545
454,0.0084
455,0.0074
456,0.00785
457,0.0076
458,0.0117
459,0.006
460,0.0054
461,0.01315
462,0.00785
463,0.0143
464,0.00845
465,0.01265
466,0.0152
467,0.0137
468,0.0134
469,0.01295
470,0.0136
471,0.01365
472,0.01655
473,0.0121
474,0.01425
475,0.0119
476,0.01815
477,0.01465
478,0.01475
479,0.0185
480,0.01305
481,0.0141
482,0.0092
483,0.0182
484,0.011
485,0.0137
486,0.0159
487,0.0162
488,0.0106
489,0.0115
490,0.012
491,0.0114
492,0.01375
493,0.01355
494,0.0119
495,0.0167
496,0.0142
497,0.01
498,0.0131
499,0.0094
500,0.01105
501,0.0128
502,0.01145
503,0.01255
504,0.01265
505,0.0103
506,0.01545
507,0.0097
508,0.01005
509,0.0122
510,0.011
511,0.0122
512,0.00995
513,0.0118
514,0.0088
515,0.011
516,0.0103
517,0.01095
518,0.0115
519,0.009
520,0.0105
521,0.0092
522,0.01195
523,0.0121
524,0.0134
525,0.01945
526,0.01045
527,0.0055
528,0.01205
529,0.01215
530,0.0051
531,0.00805
532,0.01595
533,0.01585
534,0.01605
535,0.01015
536,0.00845
537,0.01125
538,0.00875
539,0.0101
540,0.0122
541,0.01225
542,0.0116
