Type,Dichroic
Maker,"Semrock"
ProductName,"Di01-R405/488/594-25x36"
Comment,""
Public,1
wavedataset
345,0.131
345.2,0.099312
345.4,0.108
345.6,0.101
345.8,0.122
346,0.087299
346.2,0.097595
346.4,0.087656
346.6,0.117
346.8,0.093455
347,0.095449
347.2,0.111
347.4,0.102
347.6,0.11
347.8,0.145
348,0.214
348.2,0.334
348.4,0.417
348.6,0.513
348.8,0.584
349,0.679
349.2,0.876
349.4,1.237
349.6,1.596
349.8,1.885
350,2.145
350.2,2.327
350.4,2.527
350.6,2.657
350.8,2.85
351,3.209
351.2,3.61
351.4,3.965
351.6,4.257
351.8,4.519
352,4.519
352.2,4.321
352.4,3.759
352.6,2.856
352.8,1.913
353,1.252
353.2,0.972
353.4,1.037
353.6,1.262
353.8,1.579
354,1.76
354.2,1.899
354.4,1.913
354.6,1.798
354.8,1.587
355,1.264
355.2,0.829
355.4,0.497
355.6,0.262
355.8,0.178
356,0.144
356.2,0.156
356.4,0.182
356.6,0.256
356.8,0.327
357,0.369
357.2,0.371
357.4,0.375
357.6,0.375
357.8,0.312
358,0.253
358.2,0.177
358.4,0.132
358.6,0.119
358.8,0.107
359,0.108
359.2,0.119
359.4,0.148
359.6,0.246
359.8,0.425
360,0.633
360.2,0.778
360.4,0.932
360.6,1.046
360.8,1.201
361,1.275
361.2,1.278
361.4,1.18
361.6,1.043
361.8,0.895
362,0.735
362.2,0.615
362.4,0.471
362.6,0.335
362.8,0.228
363,0.159
363.2,0.123
363.4,0.119
363.6,0.098428
363.8,0.124
364,0.122
364.2,0.131
364.4,0.139
364.6,0.132
364.8,0.153
365,0.126
365.2,0.1
365.4,0.089024
365.6,0.090506
365.8,0.082431
366,0.074884
366.2,0.068259
366.4,0.050892
366.6,0.061818
366.8,0.050968
367,0.043748
367.2,0.055528
367.4,0.051356
367.6,0.060798
367.8,0.067733
368,0.081431
368.2,0.09427
368.4,0.098011
368.6,0.108
368.8,0.109
369,0.111
369.2,0.105
369.4,0.089245
369.6,0.081111
369.8,0.075499
370,0.084841
370.2,0.090663
370.4,0.112
370.6,0.166
370.8,0.191
371,0.237
371.2,0.266
371.4,0.252
371.6,0.264
371.8,0.242
372,0.224
372.2,0.215
372.4,0.197
372.6,0.196
372.8,0.208
373,0.206
373.2,0.212
373.4,0.211
373.6,0.197
373.8,0.187
374,0.144
374.2,0.108
374.4,0.070047
374.6,0.06331
374.8,0.052111
375,0.040478
375.2,0.044763
375.4,0.051065
375.6,0.044883
375.8,0.041614
376,0.053447
376.2,0.050596
376.4,0.056509
376.6,0.069242
376.8,0.088003
377,0.12
377.2,0.127
377.4,0.163
377.6,0.201
377.8,0.26
378,0.274
378.2,0.303
378.4,0.299
378.6,0.308
378.8,0.261
379,0.234
379.2,0.201
379.4,0.149
379.6,0.099102
379.8,0.062696
380,0.04123
380.2,0.037813
380.4,0.032329
380.6,0.032116
380.8,0.03208
381,0.029495
381.2,0.02964
381.4,0.032346
381.6,0.028664
381.8,0.029241
382,0.024854
382.2,0.027673
382.4,0.028182
382.6,0.026616
382.8,0.03496
383,0.029825
383.2,0.031339
383.4,0.035273
383.6,0.042007
383.8,0.04765
384,0.072633
384.2,0.102
384.4,0.156
384.6,0.24
384.8,0.332
385,0.436
385.2,0.555
385.4,0.639
385.6,0.696
385.8,0.712
386,0.708
386.2,0.66
386.4,0.597
386.6,0.496
386.8,0.385
387,0.286
387.2,0.207
387.4,0.147
387.6,0.113
387.8,0.09562
388,0.080084
388.2,0.07661
388.4,0.075624
388.6,0.097184
388.8,0.125
389,0.168
389.2,0.216
389.4,0.274
389.6,0.319
389.8,0.356
390,0.365
390.2,0.372
390.4,0.37
390.6,0.34
390.8,0.306
391,0.271
391.2,0.24
391.4,0.238
391.6,0.251
391.8,0.303
392,0.432
392.2,0.533
392.4,0.614
392.6,0.719
392.8,0.776
393,0.848
393.2,0.871
393.4,0.842
393.6,0.849
393.8,0.794
394,0.711
394.2,0.626
394.4,0.62
394.6,0.586
394.8,0.623
395,0.697
395.2,0.73
395.4,0.795
395.6,0.835
395.8,0.869
396,0.834
396.2,0.823
396.4,0.764
396.6,0.7
396.8,0.637
397,0.58
397.2,0.51
397.4,0.485
397.6,0.48
397.8,0.49
398,0.557
398.2,0.601
398.4,0.642
398.6,0.689
398.8,0.698
399,0.696
399.2,0.672
399.4,0.662
399.6,0.613
399.8,0.528
400,0.469
400.2,0.436
400.4,0.368
400.6,0.348
400.8,0.33
401,0.34
401.2,0.362
401.4,0.379
401.6,0.44
401.8,0.527
402,0.608
402.2,0.715
402.4,0.819
402.6,0.934
402.8,1.054
403,1.147
403.2,1.215
403.4,1.272
403.6,1.283
403.8,1.214
404,1.14
404.2,1.032
404.4,0.872
404.6,0.753
404.8,0.636
405,0.52
405.2,0.408
405.4,0.334
405.6,0.261
405.8,0.228
406,0.207
406.2,0.178
406.4,0.177
406.6,0.139
406.8,0.15
407,0.139
407.2,0.132
407.4,0.131
407.6,0.135
407.8,0.125
408,0.136
408.2,0.143
408.4,0.135
408.6,0.138
408.8,0.127
409,0.144
409.2,0.151
409.4,0.167
409.6,0.2
409.8,0.229
410,0.268
410.2,0.329
410.4,0.397
410.6,0.478
410.8,0.546
411,0.587
411.2,0.638
411.4,0.67
411.6,0.681
411.8,0.662
412,0.657
412.2,0.619
412.4,0.576
412.6,0.523
412.8,0.488
413,0.456
413.2,0.442
413.4,0.446
413.6,0.447
413.8,0.483
414,0.55
414.2,0.628
414.4,0.747
414.6,0.917
414.8,1.169
415,1.492
415.2,1.958
415.4,2.615
415.6,3.502
415.8,4.678
416,6.218
416.2,8.064
416.4,10.098
416.6,12.23
416.8,14.5
417,16.776
417.2,19.043
417.4,21.321
417.6,23.553
417.8,25.651
418,27.906
418.2,29.945
418.4,31.97
418.6,34.162
418.8,36.393
419,38.394
419.2,40.276
419.4,42.064
419.6,43.495
419.8,44.681
420,45.668
420.2,46.757
420.4,47.134
420.6,47.56
420.8,47.912
421,48.422
421.2,48.875
421.4,49.235
421.6,49.59
421.8,49.881
422,50.143
422.2,50.606
422.4,50.78
422.6,51.009
422.8,51.405
423,51.872
423.2,52.594
423.4,53.463
423.6,54.486
423.8,56.05
424,57.602
424.2,59.341
424.4,61.347
424.6,63.159
424.8,64.835
425,66.163
425.2,67.57
425.4,68.779
425.6,69.829
425.8,70.618
426,71.474
426.2,72.599
426.4,73.876
426.6,75.456
426.8,77.092
427,80.268
427.2,83.283
427.4,84.943
427.6,86.436
427.8,87.53
428,88.256
428.2,88.773
428.4,88.955
428.6,88.82
428.8,88.614
429,88.66
429.2,88.811
429.4,88.68
429.6,88.897
429.8,89.127
430,89.452
430.2,89.784
430.4,90.25
430.6,90.645
430.8,90.956
431,91.18
431.2,91.261
431.4,91.531
431.6,91.741
431.8,91.856
432,91.851
432.2,92.02
432.4,92.051
432.6,92.051
432.8,92.093
433,91.881
433.2,91.925
433.4,91.684
433.6,91.894
433.8,91.894
434,91.95
434.2,91.911
434.4,91.676
434.6,91.518
434.8,91.513
435,91.564
435.2,91.341
435.4,91.271
435.6,91.169
435.8,90.872
436,90.7
436.2,90.774
436.4,90.384
436.6,90.255
436.8,90.281
437,90.116
437.2,90.221
437.4,90.593
437.6,90.594
437.8,90.638
438,90.703
438.2,91.012
438.4,91.144
438.6,91.458
438.8,91.806
439,92.028
439.2,92.513
439.4,92.756
439.6,92.993
439.8,93.077
440,93.231
440.2,93.422
