Type,Dichroic
Maker,"Semrock"
ProductName,"Di01-R442-25x36"
Comment,""
Public,1
wavedataset
435,0.098598
435.2,0.09173
435.4,0.084824
435.6,0.093665
435.8,0.091282
436,0.093249
436.2,0.094568
436.4,0.095789
436.6,0.095607
436.8,0.090529
437,0.083597
437.2,0.095144
437.4,0.08562
437.6,0.088654
437.8,0.086492
438,0.089375
438.2,0.101
438.4,0.085046
438.6,0.094215
438.8,0.085948
439,0.107
439.2,0.088059
439.4,0.089255
439.6,0.094759
439.8,0.097072
440,0.106
440.2,0.091616
440.4,0.098956
440.6,0.102
440.8,0.098796
441,0.087071
441.2,0.094568
441.4,0.101
441.6,0.104
441.8,0.096413
442,0.101
442.2,0.103
442.4,0.101
442.6,0.094709
442.8,0.108
443,0.099107
443.2,0.098405
443.4,0.1
443.6,0.096755
443.8,0.109
444,0.099983
444.2,0.112
444.4,0.099818
444.6,0.102
444.8,0.098853
445,0.099869
445.2,0.097051
445.4,0.098028
445.6,0.096876
445.8,0.084687
446,0.099806
446.2,0.098644
446.4,0.102
446.6,0.096893
446.8,0.09406
447,0.099272
447.2,0.101
447.4,0.107
447.6,0.093291
447.8,0.099259
448,0.094404
448.2,0.092076
448.4,0.091881
448.6,0.097035
448.8,0.109
449,0.085666
449.2,0.097398
449.4,0.105
449.6,0.101
449.8,0.098801
450,0.106
450.2,0.109
450.4,0.109
450.6,0.113
450.8,0.101
451,0.104
451.2,0.097097
451.4,0.107
451.6,0.112
451.8,0.114
452,0.102
452.2,0.105
452.4,0.108
452.6,0.102
452.8,0.101
453,0.105
453.2,0.106
453.4,0.107
453.6,0.11
453.8,0.117
454,0.124
454.2,0.122
454.4,0.122
454.6,0.129
454.8,0.135
455,0.145
455.2,0.155
455.4,0.168
455.6,0.179
455.8,0.21
456,0.231
456.2,0.264
456.4,0.302
456.6,0.362
456.8,0.441
457,0.531
457.2,0.685
457.4,0.876
457.6,1.164
457.8,1.581
458,2.183
458.2,3.04
458.4,4.28
458.6,5.984
458.8,8.134
459,10.771
459.2,13.766
459.4,16.928
459.6,20.265
459.8,23.625
460,26.959
460.2,30.018
460.4,32.923
460.6,35.598
460.8,37.884
461,39.785
461.2,41.134
461.4,41.917
461.6,42.352
461.8,42.674
462,42.712
462.2,42.613
462.4,42.683
462.6,42.981
462.8,43.436
463,44.1
463.2,44.697
463.4,45.46
463.6,46.187
463.8,46.942
464,47.765
464.2,48.688
464.4,49.66
464.6,50.752
464.8,52.339
465,54.415
465.2,57.258
465.4,60.732
465.6,64.401
465.8,68.391
466,72.517
466.2,76.441
466.4,80.139
466.6,83.498
466.8,86.479
467,88.741
467.2,90.431
467.4,91.595
467.6,92.21
467.8,92.809
468,93.106
468.2,93.479
468.4,94.059
468.6,94.47
468.8,94.95
469,95.478
469.2,95.983
469.4,96.278
469.6,96.531
469.8,96.552
470,96.493
470.2,96.551
470.4,96.657
470.6,96.895
470.8,96.963
471,96.851
471.2,96.799
471.4,96.777
471.6,96.909
471.8,96.918
472,97.161
472.2,97.102
472.4,97.019
472.6,97.204
472.8,97.129
473,97.096
473.2,97.043
473.4,96.95
473.6,96.771
473.8,96.85
474,96.816
474.2,96.754
474.4,96.629
474.6,96.564
474.8,96.738
475,96.505
475.2,96.503
475.4,96.559
475.6,96.472
475.8,96.208
476,96.146
476.2,95.788
476.4,95.6
476.6,95.457
476.8,95.032
477,95.157
477.2,94.899
477.4,94.629
477.6,94.436
477.8,94.444
478,94.33
478.2,94.282
478.4,94.116
478.6,94.125
478.8,93.976
479,94.112
479.2,94.273
479.4,94.411
479.6,94.858
479.8,94.837
480,94.941
480.2,95.158
480.4,95.416
480.6,95.65
480.8,96.051
481,96.124
481.2,96.6
481.4,96.74
481.6,96.788
481.8,96.718
482,96.863
482.2,97.126
482.4,96.869
482.6,96.969
482.8,97.067
483,97.054
483.2,97.02
483.4,97.07
483.6,97.106
483.8,96.99
484,96.799
484.2,96.823
484.4,96.97
484.6,96.86
484.8,96.769
485,96.77
485.2,96.856
485.4,96.922
485.6,97.044
485.8,97.233
486,97.387
486.2,97.379
486.4,97.629
486.6,97.639
486.8,97.62
487,97.616
487.2,97.409
487.4,97.303
487.6,97.374
487.8,97.327
488,97.123
488.2,96.947
488.4,96.874
488.6,96.723
488.8,96.727
489,96.471
489.2,96.364
489.4,96.239
489.6,96.265
489.8,96.056
490,95.992
490.2,96.075
490.4,96.19
490.6,96.321
490.8,96.227
491,96.333
491.2,96.384
491.4,96.528
491.6,96.565
491.8,96.81
492,96.803
492.2,97.051
492.4,97.303
492.6,97.506
492.8,97.511
493,97.305
493.2,97.375
493.4,97.586
493.6,97.51
493.8,97.55
494,97.513
494.2,97.187
494.4,97.096
494.6,96.964
494.8,96.909
495,96.719
495.2,96.443
495.4,96.296
495.6,96.175
495.8,95.974
496,95.686
496.2,95.417
496.4,95.22
496.6,94.9
496.8,94.762
497,94.661
497.2,94.446
497.4,94.509
497.6,94.576
497.8,94.405
498,94.597
498.2,94.755
498.4,94.882
498.6,94.95
498.8,95.089
499,95.293
499.2,95.564
499.4,95.659
499.6,95.661
499.8,95.852
500,96.262
500.2,96.474
500.4,96.689
500.6,96.793
500.8,96.919
501,97.145
501.2,97.086
501.4,97.375
501.6,97.53
501.8,97.57
502,97.383
502.2,97.237
502.4,97.219
502.6,97.109
502.8,96.998
503,96.847
503.2,96.658
503.4,96.51
503.6,96.417
503.8,96.443
504,96.123
504.2,95.695
504.4,95.618
504.6,95.477
504.8,95.392
505,95.155
505.2,94.995
505.4,94.818
505.6,94.467
505.8,94.433
506,94.405
506.2,94.595
506.4,94.595
506.6,94.441
506.8,94.648
507,94.847
507.2,94.848
507.4,94.884
507.6,94.995
507.8,95.045
508,95.213
508.2,95.449
508.4,95.515
508.6,95.515
508.8,95.559
509,95.757
509.2,95.91
509.4,96.163
509.6,96.214
509.8,96.427
510,96.585
510.2,96.576
510.4,96.695
510.6,96.983
510.8,96.995
511,97.128
511.2,97.143
511.4,97.187
511.6,97.162
511.8,97.316
512,97.364
512.2,97.619
512.4,97.561
512.6,97.581
512.8,97.508
513,97.368
513.2,97.356
513.4,97.562
513.6,97.396
513.8,97.627
514,97.779
514.2,97.733
514.4,97.748
514.6,97.57
514.8,97.421
515,97.279
515.2,97.276
515.4,97.324
515.6,97.422
515.8,97.477
516,97.146
516.2,97.126
516.4,97.092
516.6,97.223
516.8,97.203
517,97.115
517.2,97.171
517.4,97.118
517.6,97.136
517.8,97.039
518,96.8
518.2,96.908
518.4,97.004
518.6,97.056
518.8,96.903
519,96.955
519.2,97.069
519.4,97.002
519.6,97.002
519.8,97.149
520,97.339
520.2,97.363
520.4,97.507
520.6,97.491
520.8,97.502
521,97.566
521.2,97.671
521.4,97.84
521.6,97.768
521.8,97.741
522,97.754
522.2,97.76
522.4,97.767
522.6,97.785
522.8,97.686
523,97.422
523.2,97.482
523.4,97.386
523.6,97.233
523.8,97.129
524,96.958
524.2,96.903
524.4,96.845
524.6,96.699
524.8,96.799
525,96.773
525.2,96.662
525.4,96.525
525.6,96.505
525.8,96.514
526,96.509
526.2,96.323
526.4,96.368
526.6,96.354
526.8,96.251
527,95.947
527.2,96.063
527.4,96.012
527.6,96.005
527.8,96.158
528,96.218
528.2,96.506
528.4,96.291
528.6,96.328
528.8,96.323
529,96.594
529.2,96.665
529.4,96.693
529.6,96.658
529.8,96.67
530,96.713
530.2,96.589
530.4,96.337
530.6,96.436
530.8,96.645
531,96.739
531.2,96.671
531.4,96.605
531.6,96.671
531.8,96.769
532,96.53
532.2,96.632
532.4,96.591
532.6,96.408
532.8,96.214
533,96.342
533.2,96.063
533.4,96.196
533.6,96.079
533.8,95.928
534,96.174
534.2,96.239
534.4,96.025
534.6,95.994
534.8,95.843
535,95.943
535.2,95.87
535.4,95.973
535.6,95.782
535.8,95.778
536,95.749
536.2,96.005
536.4,96.091
536.6,96.189
536.8,96.215
537,96.07
537.2,96.131
537.4,96.067
537.6,96.163
537.8,96.313
538,96.607
538.2,96.786
538.4,96.795
538.6,96.89
538.8,96.909
539,96.938
539.2,96.929
539.4,96.973
539.6,97.256
539.8,97.4
540,97.159
540.2,97.073
540.4,97.135
540.6,97.032
540.8,97.113
