Type,Dichroic
Maker,"Semrock"
ProductName,"FF410/504/582/669-Di01-25x36"
Comment,""
Public,1
wavedataset
300,0.126
300.2,0.133
300.4,0.141
300.6,0.15
300.8,0.159
301,0.168
301.2,0.178
301.4,0.189
301.6,0.2
301.8,0.212
302,0.225
302.2,0.238
302.4,0.253
302.6,0.268
302.8,0.284
303,0.301
303.2,0.319
303.4,0.338
303.6,0.358
303.8,0.379
304,0.41
304.2,0.444
304.4,0.48
304.6,0.52
304.8,0.563
305,0.609
305.2,1.007
305.4,0.94
305.6,0.782
305.8,0.607
306,0.446
306.2,0.31
306.4,0.178
306.6,0.105
306.8,0.080598
307,0.072278
307.2,0.073574
307.4,0.087171
307.6,0.107
307.8,0.148
308,0.188
308.2,0.223
308.4,0.25
308.6,0.253
308.8,0.248
309,0.264
309.2,0.325
309.4,0.4
309.6,0.454
309.8,0.486
310,0.457
310.2,0.397
310.4,0.332
310.6,0.286
310.8,0.261
311,0.259
311.2,0.227
311.4,0.193
311.6,0.162
311.8,0.138
312,0.11
312.2,0.098061
312.4,0.096419
312.6,0.1
312.8,0.102
313,0.096449
313.2,0.109
313.4,0.115
313.6,0.125
313.8,0.14
314,0.145
314.2,0.162
314.4,0.182
314.6,0.209
314.8,0.249
315,0.33
315.2,0.498
315.4,0.775
315.6,1.108
315.8,1.47
316,1.924
316.2,2.654
316.4,3.537
316.6,4.18
316.8,4.494
317,4.578
317.2,4.533
317.4,4.342
317.6,4.205
317.8,4.151
318,4.034
318.2,3.892
318.4,3.581
318.6,3.164
318.8,2.849
319,2.719
319.2,2.724
319.4,2.674
319.6,2.535
319.8,2.301
320,1.949
320.2,1.549
320.4,1.268
320.6,1.118
320.8,1.019
321,0.884
321.2,0.633
321.4,0.395
321.6,0.275
321.8,0.254
322,0.25
322.2,0.273
322.4,0.31
322.6,0.348
322.8,0.377
323,0.389
323.2,0.381
323.4,0.383
323.6,0.351
323.8,0.31
324,0.277
324.2,0.249
324.4,0.244
324.6,0.238
324.8,0.246
325,0.268
325.2,0.31
325.4,0.356
325.6,0.413
325.8,0.419
326,0.431
326.2,0.412
326.4,0.374
326.6,0.323
326.8,0.287
327,0.258
327.2,0.26
327.4,0.257
327.6,0.254
327.8,0.248
328,0.247
328.2,0.249
328.4,0.25
328.6,0.25
328.8,0.253
329,0.269
329.2,0.346
329.4,0.554
329.6,0.836
329.8,1.057
330,1.178
330.2,1.28
330.4,1.403
330.6,1.616
330.8,1.899
331,2.104
331.2,2.253
331.4,2.351
331.6,2.381
331.8,2.33
332,2.134
332.2,2.003
332.4,2.397
332.6,4.052
332.8,6.99
333,10.485
333.2,13.502
333.4,15.299
333.6,15.96
333.8,15.19
334,13.092
334.2,9.831
334.4,6.219
334.6,3.277
334.8,1.534
335,0.782
335.2,0.521
335.4,0.428
335.6,0.408
335.8,0.409
336,0.442
336.2,0.506
336.4,0.606
336.6,0.765
336.8,0.946
337,1.127
337.2,1.278
337.4,1.374
337.6,1.424
337.8,1.406
338,1.333
338.2,1.234
338.4,1.151
338.6,1.164
338.8,1.356
339,1.776
339.2,2.394
339.4,2.913
339.6,3.203
339.8,3.324
340,3.255
340.2,3.001
340.4,2.525
340.6,1.896
340.8,1.333
341,1.015
341.2,0.973
341.4,1.287
341.6,2.309
341.8,4.24
342,6.583
342.2,8.532
342.4,9.85
342.6,10.548
342.8,10.678
343,10.256
343.2,9.17
343.4,7.588
343.6,6.091
343.8,5.199
344,4.771
344.2,4.419
344.4,4.024
344.6,3.513
344.8,2.892
345,2.21
345.2,1.616
345.4,1.148
345.6,0.839
345.8,0.661
346,0.553
346.2,0.495
346.4,0.462
346.6,0.456
346.8,0.467
347,0.484
347.2,0.522
347.4,0.566
347.6,0.62
347.8,0.698
348,0.809
348.2,0.98
348.4,1.313
348.6,1.98
348.8,3.345
349,5.584
349.2,8.38
349.4,10.903
349.6,12.949
349.8,14.733
350,16.295
350.2,17.41
350.4,17.986
350.6,18.027
350.8,18.175
351,18.477
351.2,18.449
351.4,17.59
351.6,16.002
351.8,13.822
352,11.269
352.2,8.342
352.4,5.335
352.6,2.864
352.8,1.296
353,0.599
353.2,0.326
353.4,0.229
353.6,0.183
353.8,0.16
354,0.151
354.2,0.14
354.4,0.133
354.6,0.128
354.8,0.121
355,0.119
355.2,0.118
355.4,0.115
355.6,0.113
355.8,0.106
356,0.102
356.2,0.1
356.4,0.097344
356.6,0.09808
356.8,0.098314
357,0.096838
357.2,0.097536
357.4,0.1
357.6,0.101
357.8,0.104
358,0.106
358.2,0.11
358.4,0.115
358.6,0.124
358.8,0.139
359,0.182
359.2,0.29
359.4,0.538
359.6,0.92
359.8,1.316
360,1.63
360.2,1.846
360.4,2.015
360.6,2.172
360.8,2.311
361,2.389
361.2,2.344
361.4,2.168
361.6,1.951
361.8,1.757
362,1.575
362.2,1.363
362.4,1.096
362.6,0.812
362.8,0.54
363,0.345
363.2,0.242
363.4,0.194
363.6,0.188
363.8,0.21
364,0.275
364.2,0.456
364.4,0.935
364.6,1.877
364.8,3.141
365,4.396
365.2,5.214
365.4,5.518
365.6,5.613
365.8,5.463
366,5.048
366.2,4.231
366.4,3.203
366.6,2.252
366.8,1.728
367,1.552
367.2,1.681
367.4,1.965
367.6,2.418
367.8,3.032
368,3.984
368.2,5.424
368.4,7.503
368.6,9.961
368.8,12.454
369,14.556
369.2,16.05
369.4,16.795
369.6,16.809
369.8,16.179
370,14.739
370.2,12.725
370.4,10.41
370.6,8.331
370.8,6.675
371,5.475
371.2,4.577
371.4,3.93
371.6,3.399
371.8,2.892
372,2.422
372.2,2.049
372.4,1.717
372.6,1.47
372.8,1.26
373,1.132
373.2,1.049
373.4,1.029
373.6,1.067
373.8,1.223
374,1.679
374.2,2.759
374.4,4.533
374.6,6.566
374.8,8.158
375,10.087
375.2,10.873
375.4,11.135
375.6,10.857
375.8,10.067
376,8.655
376.2,6.686
376.4,4.549
376.6,2.839
376.8,1.919
377,1.54
377.2,1.458
377.4,1.513
377.6,1.636
377.8,1.719
378,1.78
378.2,1.787
378.4,1.756
378.6,1.669
378.8,1.518
379,1.349
379.2,1.147
379.4,0.95
379.6,0.797
379.8,0.656
380,0.552
380.2,0.483
380.4,0.441
380.6,0.41
380.8,0.382
381,0.368
381.2,0.36
381.4,0.362
381.6,0.369
381.8,0.388
382,0.411
382.2,0.471
382.4,0.551
382.6,0.668
382.8,0.81
383,0.961
383.2,1.111
383.4,1.228
383.6,1.299
383.8,1.323
384,1.31
384.2,1.252
384.4,1.143
384.6,1.003
384.8,0.848
385,0.672
385.2,0.642
385.4,0.613
385.6,0.668
385.8,0.741
386,0.823
386.2,0.91
386.4,0.972
386.6,1.039
386.8,1.109
387,1.139
387.2,1.044
387.4,0.958
387.6,0.878
387.8,0.736
388,0.551
388.2,0.413
388.4,0.309
388.6,0.234
388.8,0.178
389,0.136
389.2,0.103
389.4,0.094071
389.6,0.088943
389.8,0.084094
390,0.07957
390.2,0.081862
390.4,0.087745
390.6,0.099164
390.8,0.12
391,0.146
391.2,0.188
391.4,0.26
391.6,0.374
391.8,0.519
392,0.707
392.2,0.92
392.4,1.115
392.6,1.287
392.8,1.415
393,1.488
393.2,1.511
393.4,1.475
393.6,1.379
393.8,1.266
394,1.065
394.2,0.878
394.4,0.704
394.6,0.591
394.8,0.454
395,0.398
395.2,0.306
395.4,0.255
395.6,0.222
395.8,0.198
396,0.18
396.2,0.17
396.4,0.163
396.6,0.161
396.8,0.166
397,0.174
397.2,0.19
397.4,0.219
397.6,0.265
397.8,0.335
398,0.454
398.2,0.639
398.4,0.897
398.6,1.231
398.8,1.625
399,1.979
399.2,2.317
399.4,2.609
399.6,2.837
399.8,3.004
400,2.756
400.2,2.852
400.4,2.786
400.6,2.679
400.8,2.609
401,2.638
401.2,2.818
401.4,3.049
401.6,3.374
401.8,3.683
402,3.947
402.2,4.149
402.4,4.228
402.6,4.216
402.8,4.035
403,3.789
403.2,3.381
403.4,2.946
403.6,2.542
403.8,2.255
404,2.041
404.2,1.866
404.4,1.828
404.6,1.818
404.8,1.862
405,2.021
405.2,2.286
405.4,2.683
405.6,3.202
405.8,4.118
406,5.242
406.2,6.787
406.4,8.765
406.6,11.128
406.8,13.817
407,16.772
407.2,20.203
407.4,23.472
407.6,26.907
407.8,30.192
408,33.202
408.2,36.153
408.4,38.086
408.6,40.67
408.8,43.164
409,45.428
409.2,47.607
409.4,49.735
409.6,51.983
409.8,50.923
410,52.838
410.2,55.763
410.4,58.774
410.6,61.864
410.8,65.157
411,68.495
411.2,69.706
411.4,74.362
411.6,77.291
411.8,79.856
412,82.302
412.2,84.469
412.4,86.29
412.6,85.89
412.8,88.841
413,89.99
413.2,90.934
413.4,91.756
413.6,92.527
413.8,93.026
414,93.161
414.2,93.522
414.4,93.787
414.6,93.957
414.8,93.951
415,93.674
415.2,93.588
415.4,93.239
415.6,93.153
415.8,92.939
416,92.869
416.2,93.015
416.4,93.003
416.6,93.066
416.8,93.123
417,93.255
417.2,93.253
417.4,93.424
417.6,93.715
417.8,93.479
418,93.258
418.2,93.084
418.4,93.008
418.6,93.101
418.8,93.408
419,93.589
419.2,93.659
419.4,93.836
419.6,94.05
419.8,94.275
420,94.113
420.2,94.161
420.4,93.991
420.6,93.723
420.8,93.637
421,93.533
421.2,93.259
421.4,92.997
421.6,92.954
421.8,92.8
422,92.941
422.2,93.173
422.4,93.469
422.6,93.592
422.8,93.887
423,94.124
423.2,94.441
423.4,94.536
423.6,94.538
423.8,94.773
424,94.537
424.2,94.38
424.4,94.346
424.6,94.212
424.8,94.217
425,94.089
425.2,94.188
425.4,94.123
425.6,94.418
425.8,94.216
426,94.404
426.2,94.625
426.4,94.526
426.6,94.382
426.8,94.363
427,94.338
427.2,94.281
427.4,94.152
427.6,94.09
427.8,94.097
428,94.012
428.2,93.88
428.4,94.104
428.6,94.313
428.8,94.397
429,94.389
429.2,94.412
429.4,94.488
429.6,94.537
429.8,94.533
430,94.373
430.2,94.162
430.4,93.999
430.6,93.86
430.8,94.135
431,94.006
431.2,94.106
431.4,94.1
431.6,93.999
431.8,94.044
432,94.236
432.2,94.378
432.4,94.326
432.6,94.457
432.8,94.355
433,94.184
433.2,93.926
433.4,93.951
433.6,93.796
433.8,93.788
434,93.648
434.2,93.716
434.4,93.69
434.6,93.557
434.8,93.646
435,93.893
435.2,93.835
435.4,93.935
435.6,93.885
435.8,93.904
436,94.074
436.2,93.96
436.4,93.623
436.6,93.665
436.8,93.367
437,92.92
437.2,92.768
437.4,92.484
437.6,92.183
437.8,91.763
438,91.636
438.2,91.336
438.4,91.325
438.6,91.257
438.8,91.495
439,91.539
439.2,91.946
439.4,92.1
439.6,92.42
439.8,92.632
440,92.93
440.2,93.202
440.4,93.319
440.6,93.483
440.8,93.727
441,93.859
441.2,93.931
441.4,93.968
441.6,93.962
441.8,94.141
442,94.032
442.2,93.914
442.4,94.065
442.6,94.146
442.8,94.167
443,94.306
443.2,94.32
443.4,94.453
443.6,94.536
443.8,94.676
444,94.648
444.2,94.626
444.4,94.754
444.6,94.483
444.8,94.283
445,94.237
445.2,94.037
445.4,93.935
445.6,93.552
445.8,93.45
446,93.306
446.2,93.185
446.4,92.955
446.6,92.954
446.8,93.017
447,92.958
447.2,93.118
447.4,93.314
447.6,93.388
447.8,93.552
448,93.745
448.2,93.781
448.4,94.039
448.6,94.147
448.8,94.124
449,94.146
449.2,94.335
449.4,94.495
449.6,94.277
449.8,94.321
450,94.295
450.2,94.195
450.4,94.202
450.6,94.27
450.8,94.273
451,94.362
451.2,94.245
451.4,94.217
451.6,94.36
451.8,94.393
452,94.329
452.2,94.26
452.4,94.176
452.6,94.121
452.8,94.212
453,94.154
453.2,94.087
453.4,94.098
453.6,94.178
453.8,93.794
454,93.45
454.2,93.08
454.4,92.784
