Type,Dichroic
Maker,"Semrock"
ProductName,"FF440/520-Di01-25x36"
Comment,""
Public,1
wavedataset
302,0.0040685
302.2,0.0040846
302.4,0.0041008
302.6,0.004117
302.8,0.0041333
303,0.0041497
303.2,0.0041661
303.4,0.0041827
303.6,0.0041992
303.8,0.0042159
304,0.0042326
304.2,0.0042493
304.4,0.0042662
304.6,0.0042831
304.8,0.0043
305,0.0043171
305.2,0.0043342
305.4,0.0043513
305.6,0.0043686
305.8,0.0043063
306,0.0041321
306.2,0.003965
306.4,0.0038047
306.6,0.0036508
306.8,0.0035032
307,0.0033615
307.2,0.0021212
307.4,0.0045407
307.6,0.003495
307.8,0.004809
308,0.0038942
308.2,0.0017117
308.4,0.0034179
308.6,0.0033895
308.8,0.0056559
309,0.0042975
309.2,0.003541
309.4,0.0013871
309.6,0.0019205
309.8,0.0053858
310,0.0021459
310.2,0.0017736
310.4,0.0018619
310.6,0.0029516
310.8,0.0065203
311,0.0031143
311.2,0.0031288
311.4,0.0042072
311.6,0.0035386
311.8,0.0040941
312,0.0025251
312.2,0.0043109
312.4,0.00243
312.6,0.0059229
312.8,0.0041531
313,0.0048163
313.2,0.0068678
313.4,0.0038866
313.6,0.0025286
313.8,0.003608
314,0.0048274
314.2,0.0025157
314.4,0.0035481
314.6,0.0018435
314.8,0.0035779
315,0.0013248
315.2,0.0016437
315.4,0.0027398
315.6,0.0037378
315.8,0.0010738
316,0.0034332
316.2,0.0042441
316.4,0.0036596
316.6,0.0021481
316.8,0.0029656
317,0.0037883
317.2,0.0052835
317.4,0.0027921
317.6,0.0038936
317.8,0.0034233
318,0.0037326
318.2,0.0044511
318.4,0.0026491
318.6,0.00307
318.8,0.0027273
319,0.0037124
319.2,0.0066721
319.4,0.0032088
319.6,0.0021366
319.8,0.0031858
320,0.0032788
320.2,0.0041302
320.4,0.0022156
320.6,0.0021276
320.8,0.0024009
321,0.0041808
321.2,0.0051369
321.4,0.0024986
321.6,0.0021706
321.8,0.0025811
322,0.0040376
322.2,0.0018199
322.4,0.004646
322.6,0.0038922
322.8,0.0023992
323,0.0021338
323.2,0.0012406
323.4,0.0045529
323.6,0.0039334
323.8,0.0033651
324,0.0031174
324.2,0.0039418
324.4,0.0045433
324.6,0.0058925
324.8,0.0046527
325,0.0043314
325.2,0.0044913
325.4,0.0074181
325.6,0.0054376
325.8,0.006943
326,0.0038686
326.2,0.0037098
326.4,0.0045649
326.6,0.0061042
326.8,0.0038286
327,0.0038653
327.2,0.0043847
327.4,0.0042463
327.6,0.0048464
327.8,0.0064249
328,0.0022248
328.2,0.0041482
328.4,0.007454
328.6,0.008045
328.8,0.0047505
329,0.0036606
329.2,0.0059502
329.4,0.0066876
329.6,0.0067842
329.8,0.0053947
330,0.0087435
330.2,0.0038831
330.4,0.0060175
330.6,0.0073998
330.8,0.0072479
331,0.0067594
331.2,0.0086601
331.4,0.0082094
331.6,0.0078091
331.8,0.0079446
332,0.010549
332.2,0.010456
332.4,0.0092126
332.6,0.0097951
332.8,0.010476
333,0.010869
333.2,0.01132
333.4,0.012218
333.6,0.0098126
333.8,0.011571
334,0.012196
334.2,0.012562
334.4,0.012659
334.6,0.012248
334.8,0.010621
335,0.01211
335.2,0.012412
335.4,0.012469
335.6,0.011117
335.8,0.013395
336,0.01312
336.2,0.011909
336.4,0.014394
336.6,0.014448
336.8,0.016082
337,0.014254
337.2,0.015478
337.4,0.016853
337.6,0.017803
337.8,0.015713
338,0.01519
338.2,0.015593
338.4,0.0159
338.6,0.016329
338.8,0.014883
339,0.016578
339.2,0.015104
339.4,0.016153
339.6,0.017478
339.8,0.016493
340,0.018201
340.2,0.018514
340.4,0.017505
340.6,0.018975
340.8,0.019775
341,0.020671
341.2,0.021126
341.4,0.01924
341.6,0.019149
341.8,0.018803
342,0.020793
342.2,0.020772
342.4,0.019774
342.6,0.021063
342.8,0.022058
343,0.022882
343.2,0.02195
343.4,0.023569
343.6,0.021877
343.8,0.023101
344,0.023595
344.2,0.022496
344.4,0.023051
344.6,0.025734
344.8,0.02468
345,0.027305
345.2,0.027191
345.4,0.025781
345.6,0.025752
345.8,0.028042
346,0.028072
346.2,0.027498
346.4,0.026127
346.6,0.028212
346.8,0.028696
347,0.028644
347.2,0.030298
347.4,0.030636
347.6,0.031371
347.8,0.031833
348,0.033255
348.2,0.033018
348.4,0.032225
348.6,0.034892
348.8,0.034862
349,0.037683
349.2,0.038138
349.4,0.037414
349.6,0.038085
349.8,0.040885
350,0.0423
350.2,0.041706
350.4,0.042221
350.6,0.04388
350.8,0.047841
351,0.046647
351.2,0.049962
351.4,0.050665
351.6,0.051354
351.8,0.05389
352,0.054126
352.2,0.055925
352.4,0.05754
352.6,0.059143
352.8,0.062749
353,0.068672
353.2,0.07664
353.4,0.080751
353.6,0.089419
353.8,0.1
354,0.112
354.2,0.124
354.4,0.14
354.6,0.152
354.8,0.169
355,0.198
355.2,0.236
355.4,0.279
355.6,0.35
355.8,0.433
356,0.526
356.2,0.61
356.4,0.683
356.6,0.719
356.8,0.741
357,0.745
357.2,0.751
357.4,0.756
357.6,0.751
357.8,0.732
358,0.693
358.2,0.629
358.4,0.553
358.6,0.472
358.8,0.409
359,0.359
359.2,0.32
359.4,0.297
359.6,0.293
359.8,0.29
360,0.312
360.2,0.337
360.4,0.383
360.6,0.443
360.8,0.499
361,0.541
361.2,0.567
361.4,0.558
361.6,0.516
361.8,0.444
362,0.364
362.2,0.296
362.4,0.253
362.6,0.222
362.8,0.204
363,0.2
363.2,0.195
363.4,0.205
363.6,0.225
363.8,0.257
364,0.304
364.2,0.379
364.4,0.491
364.6,0.679
364.8,0.956
365,1.402
365.2,2.057
365.4,2.907
365.6,4.045
365.8,5.413
366,6.8
366.2,7.843
366.4,8.387
366.6,8.353
366.8,7.738
367,5.883
367.2,4.72
367.4,5.01
367.6,5.761
367.8,6.702
368,7.717
368.2,8.926
368.4,10.369
368.6,11.971
368.8,13.681
369,15.219
369.2,16.199
369.4,16.158
369.6,15.297
369.8,13.996
370,12.827
370.2,12.193
370.4,12.217
370.6,12.894
370.8,13.984
371,15.17
371.2,16.024
371.4,15.895
371.6,14.729
371.8,12.527
372,9.743
372.2,6.947
372.4,4.518
372.6,2.84
372.8,1.736
373,1.138
373.2,0.779
373.4,0.578
373.6,0.458
373.8,0.389
374,0.34
374.2,0.325
374.4,0.316
374.6,0.325
374.8,0.341
375,0.4
375.2,0.469
375.4,0.541
375.6,0.593
375.8,0.625
376,0.6
376.2,0.528
376.4,0.443
376.6,0.337
376.8,0.267
377,0.203
377.2,0.188
377.4,0.161
377.6,0.152
377.8,0.156
378,0.144
378.2,0.158
378.4,0.159
378.6,0.167
378.8,0.167
379,0.188
379.2,0.19
379.4,0.221
379.6,0.224
379.8,0.228
380,0.257
380.2,0.302
380.4,0.359
380.6,0.575
380.8,1.048
381,1.573
381.2,1.939
381.4,2.044
381.6,0.432
381.8,0.361
382,0.302
382.2,0.175
382.4,0.102
382.6,0.043071
382.8,0.01323
383,0.004064
383.2,0.0071936
383.4,0.012733
