Type,Dichroic
Maker,"Semrock"
ProductName,"FF444/520/590-Di01-25x36"
Comment,""
Public,1
wavedataset
300,0.257
300.2,0.322
300.4,0.382
300.6,0.404
300.8,0.383
301,0.328
301.2,0.247
301.4,0.171
301.6,0.12
301.8,0.086774
302,0.071289
302.2,0.062825
302.4,0.057329
302.6,0.054616
302.8,0.056884
303,0.063006
303.2,0.072979
303.4,0.086757
303.6,0.103
303.8,0.151
304,0.23
304.2,0.329
304.4,0.415
304.6,0.446
304.8,0.424
305,0.35
305.2,0.253
305.4,0.168
305.6,0.12
305.8,0.101
306,0.094407
306.2,0.094203
306.4,0.094899
306.6,0.094006
306.8,0.106
307,0.133
307.2,0.169
307.4,0.232
307.6,0.346
307.8,0.565
308,0.995
308.2,1.772
308.4,2.895
308.6,4.348
308.8,6.058
309,7.895
309.2,9.549
309.4,10.7
309.6,11.247
309.8,11.099
310,10.294
310.2,8.934
310.4,7.393
310.6,5.961
310.8,4.831
311,4.14
311.2,4.125
311.4,4.64
311.6,5.756
311.8,7.58
312,9.759
312.2,11.159
312.4,11.66
312.6,11.118
312.8,9.607
313,7.053
313.2,4.622
313.4,3.004
313.6,2.076
313.8,1.627
314,1.535
314.2,1.665
314.4,2.002
314.6,2.591
314.8,3.562
315,4.939
315.2,6.469
315.4,7.758
315.6,8.36
315.8,8.118
316,7.053
316.2,5.676
316.4,4.442
316.6,3.609
316.8,3.298
317,3.31
317.2,3.606
317.4,4.19
317.6,5.051
317.8,5.759
318,6.189
318.2,6.208
318.4,5.77
318.6,4.877
318.8,3.707
319,2.663
319.2,1.902
319.4,1.436
319.6,1.265
319.8,1.183
320,1.169
320.2,1.208
320.4,1.278
320.6,1.508
320.8,2.048
321,3.093
321.2,4.872
321.4,6.955
321.6,8.396
321.8,9.058
322,9.638
322.2,8.443
322.4,7.396
322.6,5.458
322.8,3.956
323,3.254
323.2,2.77
323.4,2.959
323.6,3.542
323.8,4.389
324,5.596
324.2,6.589
324.4,6.967
324.6,7.046
324.8,6.436
325,5.655
325.2,4.185
