Type,Dichroic
Maker,"Semrock"
ProductName,"FF685-Di02-25x36"
Comment,""
Public,1
wavedataset
340,38.804
340.2,37.714
340.4,36.655
340.6,35.837
340.8,35.243
341,34.66
341.2,34.216
341.4,33.777
341.6,33.343
341.8,32.914
342,32.49
342.2,31.229
342.4,30.016
342.6,28.597
342.8,27.005
343,25.502
343.2,24.045
343.4,22.672
343.6,21.029
343.8,19.189
344,17.51
344.2,15.79
344.4,14.24
344.6,13.022
344.8,12.076
345,11.199
345.2,10.687
345.4,10.198
345.6,9.568
345.8,8.827
346,8.143
346.2,7.524
346.4,6.951
346.6,6.32
346.8,5.654
347,5.059
347.2,4.211
347.4,3.505
347.6,2.961
347.8,2.54
348,2.178
348.2,2.01
348.4,1.854
348.6,1.728
348.8,1.627
349,1.532
349.2,1.388
349.4,1.258
349.6,1.053
349.8,0.814
350,0.629
350.2,0.444
350.4,0.314
350.6,0.25
350.8,0.225
351,0.203
351.2,0.244
351.4,0.292
351.6,0.375
351.8,0.517
352,0.711
352.2,0.872
352.4,1.07
352.6,1.245
352.8,1.375
353,1.518
353.2,1.615
353.4,1.717
353.6,1.814
353.8,1.904
354,1.997
354.2,2.06
354.4,2.124
354.6,2.174
354.8,2.209
355,2.244
355.2,2.216
355.4,2.189
355.6,2.133
355.8,2.051
356,1.972
356.2,1.929
356.4,1.886
356.6,1.9
356.8,1.974
357,2.05
357.2,2.166
357.4,2.289
357.6,2.379
357.8,2.431
358,2.484
358.2,2.477
358.4,2.469
358.6,2.456
358.8,2.438
359,2.42
359.2,2.427
359.4,2.435
359.6,2.463
359.8,2.513
360,2.564
360.2,2.619
360.4,2.675
360.6,2.676
360.8,2.622
361,2.569
361.2,2.419
361.4,2.277
361.6,2.141
361.8,2.012
362,1.891
362.2,1.824
362.4,1.759
362.6,1.716
362.8,1.693
363,1.67
363.2,1.686
363.4,1.702
363.6,1.723
363.8,1.75
364,1.776
364.2,1.812
364.4,1.848
364.6,1.894
364.8,1.95
365,2.008
365.2,2.067
365.4,2.128
365.6,2.192
365.8,2.259
366,2.328
366.2,2.393
366.4,2.459
366.6,2.529
366.8,2.603
367,2.679
367.2,2.72
367.4,2.762
367.6,2.773
367.8,2.752
368,2.731
368.2,2.664
368.4,2.598
368.6,2.507
368.8,2.393
369,2.284
369.2,2.172
369.4,2.065
369.6,1.97
369.8,1.886
370,1.806
370.2,1.726
370.4,1.65
370.6,1.568
370.8,1.48
371,1.396
371.2,1.303
371.4,1.216
371.6,1.132
371.8,1.052
372,0.977
372.2,0.927
372.4,0.879
372.6,0.846
372.8,0.826
373,0.807
373.2,0.811
373.4,0.815
373.6,0.827
373.8,0.847
374,0.868
374.2,0.892
374.4,0.917
374.6,0.942
374.8,0.969
375,0.996
375.2,1.023
375.4,1.05
375.6,1.086
375.8,1.132
376,1.18
376.2,1.229
376.4,1.28
376.6,1.327
376.8,1.368
377,1.411
377.2,1.472
377.4,1.536
377.6,1.609
377.8,1.691
378,1.777
378.2,1.878
378.4,1.984
378.6,2.089
378.8,2.19
379,2.295
379.2,2.369
379.4,2.446
379.6,2.515
379.8,2.576
380,2.638
380.2,2.68
380.4,2.723
380.6,2.754
380.8,2.773
381,2.792
381.2,2.817
381.4,2.843
381.6,2.879
381.8,2.927
382,2.975
382.2,3
382.4,3.026
382.6,3.029
382.8,3.011
383,2.993
383.2,2.948
383.4,2.904
383.6,2.857
383.8,2.809
384,2.762
384.2,2.708
384.4,2.655
384.6,2.604
384.8,2.555
385,2.507
385.2,2.466
385.4,2.425
385.6,2.392
385.8,2.365
386,2.339
386.2,2.336
386.4,2.333
386.6,2.343
386.8,2.365
387,2.387
387.2,2.414
387.4,2.441
387.6,2.453
387.8,2.449
388,2.446
388.2,2.418
388.4,2.391
388.6,2.362
388.8,2.331
389,2.3
389.2,2.274
389.4,2.248
389.6,2.233
389.8,2.229
390,2.225
390.2,2.238
390.4,2.251
390.6,2.254
390.8,2.248
391,2.242
391.2,2.167
391.4,2.095
391.6,1.999
391.8,1.881
392,1.771
392.2,1.663
392.4,1.562
392.6,1.47
392.8,1.386
393,1.307
393.2,1.244
393.4,1.184
393.6,1.129
393.8,1.079
394,1.032
394.2,0.989
394.4,0.948
394.6,0.904
394.8,0.859
395,0.816
395.2,0.768
395.4,0.724
395.6,0.681
395.8,0.64
396,0.602
396.2,0.577
396.4,0.553
396.6,0.535
396.8,0.524
397,0.513
397.2,0.5
397.4,0.488
397.6,0.474
397.8,0.458
398,0.443
398.2,0.435
398.4,0.427
398.6,0.433
398.8,0.453
399,0.473
399.2,0.526
