Type,Dichroic
Maker,"Chroma"
ProductName,"Q595LP"
Comment,""
Public,1
wavedataset
380,31.3872
381,34.7445
382,37.9181
383,37.1548
384,34.2887
385,32.3868
386,33.1471
387,35.8719
388,41.3165
389,48.9956
390,54.8983
391,55.3026
392,52.3549
393,48.8973
394,46.9615
395,48.2114
396,51.9383
397,58.3234
398,65.5934
399,70.2704
400,70.2214
401,66.5882
402,62.9039
403,61.0085
404,61.2693
405,63.1488
406,66.0734
407,68.5743
408,69.0026
409,67.5562
410,65.13
411,63.336
412,63.3238
413,64.9429
414,67.892
415,70.9076
416,72.6246
417,72.3777
418,69.978
419,66.1745
420,62.5918
421,60.4336
422,60.0439
423,61.935
424,65.6338
425,70.3986
426,74.559
427,76.6013
428,75.9937
429,72.84
430,68.1388
431,63.6019
432,60.2793
433,58.2838
434,58.0473
435,59.41
436,61.7774
437,65.1586
438,69.1034
439,72.1383
440,73.5613
441,73.1315
442,71.1105
443,68.3693
444,65.6758
445,63.6144
446,62.3572
447,61.8533
448,62.0954
449,63.1007
450,64.5155
451,66.0834
452,67.4967
453,68.4016
454,68.8603
455,68.863
456,68.436
457,67.8172
458,66.954
459,65.8792
460,64.8158
461,63.648
462,62.5118
463,61.582
464,60.8343
465,60.534
466,60.8143
467,61.5188
468,62.8055
469,64.7632
470,67.1425
471,69.4391
472,70.855
473,71.0901
474,70.1209
475,68.1186
476,65.3635
477,61.9628
478,58.2932
479,54.8575
480,52.081
481,50.4414
482,49.9858
483,51.0777
484,53.9438
485,58.0055
486,63.3843
487,68.4941
488,70.8024
489,70.1906
490,67.7133
491,64.9328
492,61.7983
493,57.9254
494,53.2032
495,48.5097
496,44.5948
497,41.1826
498,39.2703
499,39.5337
500,42.3334
501,48.8678
502,56.9682
503,60.2901
504,56.6804
505,51.3006
506,48.5444
507,48.9839
508,51.3717
509,52.7178
510,50.6716
511,45.38
512,38.6488
513,32.7256
514,29.3624
515,30.0753
516,36.6268
517,40.6113
518,32.3631
519,21.1201
520,16.2794
521,15.7931
522,17.4279
523,21.2178
524,27.8106
525,35.9293
526,42.3868
527,40.4015
528,29.0524
529,17.2445
530,9.88345
531,5.84781
532,3.70699
533,2.49338
534,1.75908
535,1.28856
536,0.981033
537,0.766205
538,0.617481
539,0.506185
540,0.426102
541,0.366294
542,0.320506
543,0.284106
544,0.252308
545,0.228215
546,0.210095
547,0.193978
548,0.180189
549,0.169942
550,0.163233
551,0.157233
552,0.153652
553,0.149815
554,0.149099
555,0.150381
556,0.1513
557,0.1543
558,0.159146
559,0.164978
560,0.172308
561,0.181299
562,0.190276
563,0.201713
564,0.216238
565,0.234787
566,0.258902
567,0.28472
568,0.314783
569,0.350635
570,0.396754
571,0.447593
572,0.511437
573,0.589233
574,0.687983
575,0.805636
576,0.971882
577,1.17664
578,1.40101
579,1.75318
580,2.14957
581,2.71304
582,3.36822
583,4.34224
584,5.56579
585,7.34473
586,9.55325
587,12.7055
588,16.6502
589,21.8225
590,27.4487
591,33.9767
592,39.9371
593,45.437
594,49.5629
595,53.0032
596,56.0317
597,59.5945
598,64.03
599,69.684
600,75.9341
601,82.0334
602,86.738
603,89.8258
604,91.4335
605,92.2072
606,92.5693
607,92.8454
608,93.1481
609,93.5249
610,93.8051
611,93.9751
612,94.166
613,94.2987
614,94.325
615,94.2682
616,94.1701
617,94.0062
618,93.8188
619,93.6502
620,93.6522
621,93.6751
622,93.5956
623,93.7295
624,93.949
625,94.0908
626,94.3887
627,94.6961
628,94.9956
629,95.294
630,95.5317
631,95.7168
632,95.8662
633,95.924
634,95.8865
635,95.8722
636,95.831
637,95.7132
638,95.6039
639,95.4168
640,95.187
641,95.0996
642,95.0151
643,94.8157
644,94.65
645,94.5525
646,94.5647
647,94.5714
648,94.4729
649,94.3666
650,94.2843
651,94.4189
652,94.5075
653,94.4314
654,94.3959
655,94.4052
656,94.4171
657,94.4728
658,94.5387
659,94.6102
660,94.651
661,94.6719
662,94.8265
663,94.9181
664,95.039
665,95.116
666,94.9469
667,94.87
668,95.0224
669,95.1265
670,95.1744
671,95.1084
672,95.1071
673,95.1569
674,95.2182
675,95.2381
676,95.3028
677,95.2093
678,95.2698
679,95.4649
680,95.4425
681,95.3357
682,95.1809
683,95.1246
684,95.0306
685,94.7764
686,94.7652
687,94.8548
688,94.7221
689,94.7001
690,94.7428
691,94.7094
692,94.5705
693,94.544
694,94.5063
695,94.2577
696,94.3515
697,94.529
698,94.3742
699,94.3451
700,94.2771
701,94.175
702,94.2566
703,94.4217
704,94.5323
705,94.6381
706,94.7662
707,94.8322
708,94.8067
709,94.8342
710,94.8237
711,94.9133
712,95.0605
713,95.1284
714,95.1578
715,95.1877
716,95.1817
717,95.2376
718,95.1686
719,95.1622
720,95.2924
721,95.3079
722,95.2225
723,95.2523
724,95.0754
725,94.89
726,94.8341
727,94.6116
728,94.4471
729,94.3028
730,94.1354
731,93.9702
732,93.7809
733,93.5701
734,93.2082
735,93.1574
736,92.9181
737,92.5544
738,92.4024
739,92.1592
740,91.8914
741,91.6245
742,91.4304
743,91.2254
744,91.1217
745,91.0821
746,90.7684
747,90.7167
748,90.482
749,90.3679
750,90.1867
