Type,Dichroic
Maker,"Chroma"
ProductName,"T400LP"
Comment,""
Public,1
wavedataset
300,29.4786
301,25.1217
302,21.9596
303,20.2395
304,20.4249
305,22.4025
306,24.9569
307,26.3577
308,24.9569
309,21.4137
310,18.5091
311,18.5503
312,21.3828
313,26.3268
314,31.8991
315,35.1024
316,33.0939
317,26.1208
318,17.9735
319,11.5669
320,7.28725
321,4.95636
322,3.48346
323,2.5647
324,1.957
325,1.54706
326,1.25145
327,1.03103
328,0.876633
329,0.739952
330,0.641175
331,0.566706
332,0.505215
333,0.457217
334,0.418283
335,0.380997
336,0.357101
337,0.337428
338,0.319918
339,0.304365
340,0.288709
341,0.280572
342,0.271508
343,0.268212
344,0.265946
345,0.261929
346,0.261311
347,0.261723
348,0.262547
349,0.270787
350,0.270169
351,0.27913
352,0.28737
353,0.295198
354,0.304468
355,0.315695
356,0.331763
357,0.348861
358,0.365341
359,0.384911
360,0.405717
361,0.431364
362,0.461852
363,0.496563
364,0.530965
365,0.571959
366,0.618927
367,0.666719
368,0.726665
369,0.794336
370,0.86211
371,0.946879
372,1.03824
373,1.14845
374,1.27102
375,1.40801
376,1.55633
377,1.72731
378,1.93228
379,2.16197
380,2.42771
381,2.72435
382,3.0797
383,3.45462
384,3.91091
385,4.43106
386,5.01919
387,5.67015
388,6.44574
389,7.3336
390,8.3224
391,9.44922
392,10.7326
393,12.1746
394,13.7608
395,15.5324
396,17.5306
397,19.7039
398,22.042
399,24.5449
400,27.1199
401,29.8906
402,32.754
403,35.6277
404,38.4808
405,41.3133
406,44.0222
407,46.7002
408,49.3061
409,51.6751
410,54.0853
411,56.3925
412,58.7718
413,61.1717
414,63.7982
415,66.435
416,69.1336
417,71.6983
418,74.5823
419,77.4457
420,79.9795
421,82.3279
422,84.5012
423,86.2934
424,87.8487
425,89.0332
426,89.919
427,90.5988
428,91.2168
429,91.5258
430,91.7318
431,92.0511
432,92.2262
433,92.4528
434,92.7
435,93.0399
436,93.2459
437,93.5137
438,93.9463
439,94.3171
440,94.6055
441,95.0484
442,95.5016
443,95.9651
444,96.3977
445,96.7891
446,97.2217
447,97.3762
448,97.6131
449,97.9736
450,98.2929
451,98.5607
452,98.7667
453,98.9418
454,99.0139
455,98.9727
456,99.0345
457,98.8388
458,98.8079
459,98.9006
460,98.7667
461,98.6946
462,98.5504
463,98.4783
464,98.4268
465,98.3444
466,98.2517
467,98.1487
468,98.1178
469,98.0663
470,97.9942
471,97.9839
472,97.9427
473,97.9736
474,97.9633
475,98.0663
476,98.0869
477,98.1899
478,98.2311
479,98.3032
480,98.5916
481,98.571
482,98.6946
483,98.8079
484,98.8697
485,99.0757
486,99.0963
487,99.1375
488,99.3538
489,99.3744
490,99.4568
491,99.4877
492,99.5495
493,99.5701
494,99.5083
495,99.5186
496,99.498
497,99.5083
498,99.4259
499,99.3229
500,99.3126
501,99.1993
502,99.0654
503,99.0345
504,99.0036
505,98.9006
506,98.8079
507,98.6328
508,98.5195
509,98.3856
510,98.2311
511,98.2517
512,98.0869
513,98.0045
514,97.8706
515,97.8706
516,97.7779
517,97.6955
518,97.6543
519,97.5719
520,97.5616
521,97.4998
522,97.5822
523,97.541
524,97.5513
525,97.5513
526,97.5307
527,97.7058
528,97.6955
529,97.7779
530,97.8603
531,97.9221
532,98.0354
533,97.9942
534,98.1281
535,98.2311
536,98.262
537,98.3032
538,98.3753
539,98.3856
540,98.5298
541,98.5401
542,98.6431
543,98.6843
544,98.571
545,98.6637
546,98.6431
547,98.5813
548,98.6019
549,98.6637
550,98.6019
551,98.4474
552,98.3341
553,98.3032
554,98.2105
555,98.0663
556,97.9324
557,97.7882
558,97.541
559,97.3968
560,97.232
561,97.1187
562,96.82
563,96.5934
564,96.4286
565,96.1917
566,96.0784
567,95.9136
568,95.6046
569,95.4295
570,95.3677
571,95.069
572,94.7909
573,94.5643
574,94.4819
575,94.3068
576,94.1111
577,93.8536
578,93.8021
579,93.6991
580,93.4828
581,93.2253
582,93.1841
583,93.0811
584,92.8236
585,92.8442
586,92.8236
587,92.6485
588,92.7721
589,92.6794
590,92.6794
591,92.6176
592,92.5352
593,92.5558
594,92.5867
595,92.7206
596,92.7618
597,92.7103
598,92.906
599,92.9987
600,93.1326
601,93.1738
602,93.2047
603,93.3489
604,93.4107
605,93.6579
606,93.8227
607,93.9257
608,94.039
609,94.2656
610,94.5231
611,94.7806
612,94.8527
613,95.0999
614,95.2647
615,95.4398
616,95.687
617,95.9548
618,96.0681
619,96.3668
620,96.5419
621,96.7891
622,96.9333
623,97.0981
624,97.3041
625,97.4586
626,97.6749
627,97.8809
628,97.9015
629,98.159
630,98.3444
631,98.3959
632,98.5298
633,98.8697
634,98.9418
635,99.0448
636,99.0654
637,99.0242
638,99.0963
639,99.1375
640,99.1272
641,99.1375
642,99.1787
643,99.1787
644,99.0551
645,99.0448
646,98.9109
647,98.8594
648,98.8903
649,98.7873
650,98.5916
651,98.4886
652,98.3856
653,98.1796
654,98.0766
655,97.9118
656,97.8088
657,97.541
658,97.2938
659,97.2011
660,96.9436
661,96.6964
662,96.5522
663,96.3565
664,96.1505
665,95.9548
666,95.6767
667,95.4398
668,95.3265
669,95.0484
670,94.7394
671,94.6467
672,94.348
673,94.142
674,94.0081
675,93.73
676,93.4828
677,93.4313
678,93.0502
679,93.0296
680,92.8339
681,92.5764
682,92.5146
683,92.3292
684,92.1335
685,92.0614
686,91.7421
687,91.7627
688,91.6288
689,91.3713
690,91.3713
691,91.2889
692,91.1447
693,91.0623
694,90.9799
695,90.7739
696,90.9284
697,90.8254
698,90.6812
699,90.6812
700,90.6606
701,90.5061
702,90.6194
703,90.5988
704,90.5473
705,90.6091
706,90.6091
707,90.5473
708,90.7018
709,90.7842
710,90.6915
711,90.8151
712,90.9593
713,90.9593
714,90.9593
715,91.1241
716,91.1962
717,91.2374
718,91.3198
719,91.4743
720,91.5258
721,91.6906
722,91.8554
723,91.9172
724,92.0408
725,92.1953
726,92.3704
727,92.4425
728,92.5558
729,92.9369
730,92.8957
731,93.1017
732,93.1326
733,93.4828
734,93.627
735,93.8021
736,93.8639
737,94.2347
738,94.3995
739,94.5746
740,94.6364
741,94.9454
742,95.0072
743,95.1823
744,95.2544
745,95.7282
746,95.893
747,95.9548
748,96.099
749,96.1814
750,96.511
751,96.5007
752,96.6449
753,96.8509
754,97.129
755,97.2114
756,97.3041
757,97.7058
758,97.8191
759,97.8912
760,97.8191
761,98.0869
762,98.3444
763,98.3547
764,98.4474
765,98.4371
766,98.6431
767,98.7873
768,98.777
769,98.8182
770,98.9006
771,99.1787
772,99.1272
773,99.1478
774,99.0551
775,99.2714
776,99.2714
777,99.189
778,99.2611
779,99.292
780,99.4362
781,99.2405
782,99.2714
783,99.3229
784,99.3435
785,99.189
786,99.1993
787,99.1272
788,99.1169
789,98.9315
790,98.9315
791,98.8903
792,98.7255
793,98.6019
794,98.571
795,98.4783
796,98.3032
797,98.2414
798,98.1796
799,98.1693
800,97.9324
801,97.7058
802,97.644
803,97.4689
804,97.2835
805,97.1393
806,97.0054
807,96.82
808,96.6964
809,96.511
810,96.3256
811,96.1608
812,95.9754
813,95.8518
814,95.7076
815,95.481
816,95.2853
817,95.069
818,94.9351
819,94.7806
820,94.5643
821,94.3686
822,94.2244
823,94.0184
824,93.8742
825,93.6888
826,93.4313
827,93.2871
828,93.1635
829,92.9678
830,92.8133
831,92.5867
832,92.4322
833,92.2365
834,92.1129
835,91.9481
836,91.7318
837,91.5979
838,91.464
839,91.2786
840,91.1035
841,90.9593
842,90.7842
843,90.6709
844,90.4855
845,90.3619
