Type,Dichroic
Maker,"Chroma"
ProductName,"T760lpxr"
Comment,""
Public,1
wavedataset
380,0.0650709
381,0.0613966
382,0.0832738
383,0.182897
384,0.839167
385,6.01034
386,2.85647
387,3.47277
388,4.86116
389,7.16502
390,20.5119
391,6.14642
392,3.28998
393,3.17315
394,2.19085
395,1.26429
396,0.952221
397,0.762185
398,0.508056
399,0.326651
400,0.221992
401,0.184639
402,0.181295
403,0.1999
404,0.23562
405,0.281118
406,0.322055
407,0.367517
408,0.458525
409,0.679714
410,1.28752
411,3.27559
412,12.7756
413,41.8008
414,31.0453
415,31.9058
416,64.763
417,80.7496
418,76.7806
419,55.5569
420,48.9802
421,56.6893
422,73.3122
423,85.5579
424,85.9694
425,85.8898
426,85.6593
427,82.2114
428,80.174
429,82.0759
430,47.4534
431,21.9786
432,10.5089
433,5.32697
434,3.05782
435,2.02488
436,1.54201
437,1.34123
438,1.3264
439,1.49101
440,1.91497
441,2.80286
442,4.79921
443,9.85586
444,23.5793
445,44.935
446,45.3351
447,47.0593
448,65.3436
449,51.7347
450,40.2803
451,37.0632
452,36.8461
453,40.4719
454,50.5813
455,69.2681
456,80.3759
457,41.7685
458,22.3436
459,14.8984
460,12.1561
461,12.0227
462,14.507
463,22.1771
464,45.5045
465,84.2433
466,43.4161
467,20.3859
468,12.1557
469,8.94538
470,7.65321
471,7.11622
472,6.81421
473,6.7995
474,7.36208
475,8.516
476,9.75468
477,10.0693
478,8.93388
479,7.04007
480,5.27403
481,3.9905
482,3.13664
483,2.6151
484,2.34663
485,2.29535
486,2.48269
487,3.02962
488,4.30861
489,7.55833
490,17.2624
491,26.3042
492,16.4702
493,8.16166
494,4.94642
495,3.6988
496,3.31799
497,3.55351
498,4.67634
499,7.76493
500,11.0808
501,14.3152
502,27.1588
503,42.754
504,31.7042
505,21.669
506,23.1871
507,24.2743
508,17.107
509,19.0546
510,21.2767
511,19.1997
512,14.547
513,11.0592
514,9.40142
515,9.34709
516,11.2088
