Type,Dichroic
Maker,"Chroma"
ProductName,"T770LPXR"
Comment,""
Public,1
wavedataset
380,9.57409
380.5,14.159
381,18.744
381.5,24.7206
382,29.8619
382.5,32.738
383,35.2741
383.5,38.7575
384,42.5919
384.5,44.0271
385,40.8371
385.5,33.7466
386,25.3813
386.5,19.058
387,17.0449
387.5,18.2599
388,18.9973
388.5,16.6237
389,11.4598
389.5,6.04356
390,2.39566
390.5,0.856472
391,0.378238
391.5,0.190872
392,0.122578
392.5,0.0820091
393,0.0674232
393.5,0.0892928
394,0.113845
394.5,0.0875001
395,0.0586008
395.5,0.0613372
396,0.0582363
396.5,0.0342709
397,0.0457642
397.5,0.0579703
398,0.0380464
398.5,0.0282721
399,0.0304855
399.5,0.0401227
400,0.0558999
400.5,0.0467744
401,0.0354532
401.5,0.0289594
402,0.0363711
402.5,0.058929
403,0.0403224
403.5,0.0297309
404,0.0406401
404.5,0.0377913
405,0.0243463
405.5,0.0207283
406,0.0467175
406.5,0.0733825
407,0.0687049
407.5,0.102503
408,0.196001
408.5,0.322216
409,0.659815
409.5,1.53604
410,3.15519
410.5,5.50182
411,7.98806
411.5,9.90125
412,10.9073
412.5,11.6868
413,13.6976
413.5,17.9738
414,24.5054
414.5,31.808
415,37.1056
415.5,38.5933
416,37.3005
416.5,35.4922
417,34.9649
417.5,36.4432
418,39.2299
418.5,41.1029
419,40.5532
419.5,37.7513
420,34.0743
420.5,31.3677
421,30.5207
421.5,31.1137
422,32.9432
422.5,35.6307
423,37.854
423.5,38.3402
424,37.0672
424.5,34.985
425,33.712
425.5,34.5017
426,37.5533
426.5,42.1535
427,47.4715
427.5,52.3761
428,55.404
428.5,55.4836
429,52.8493
429.5,48.8164
430,44.8552
430.5,42.6854
431,43.0291
431.5,45.3732
432,49.1051
432.5,53.5689
433,57.3113
433.5,59.2757
434,59.6212
434.5,58.704
435,57.0904
435.5,55.3305
436,53.6688
436.5,52.0507
437,50.3881
437.5,48.8719
438,47.8524
438.5,47.4676
439,47.8357
439.5,49.0215
440,51.0722
440.5,53.715
441,56.4655
441.5,58.7233
442,59.4161
442.5,57.9951
443,54.7868
443.5,50.4815
444,45.8869
444.5,42.2836
445,40.2188
445.5,39.5493
446,40.3894
446.5,42.9286
447,46.6498
447.5,50.9013
448,54.9774
448.5,57.6499
449,57.8182
449.5,55.6159
450,52.047
450.5,47.9356
451,43.9503
451.5,41.0503
452,39.7044
452.5,39.6434
453,40.9732
453.5,43.4963
454,46.7588
454.5,50.4093
455,54.0055
455.5,57.2736
456,59.4536
456.5,60.1433
457,59.652
457.5,58.1338
458,56.1044
458.5,54.1511
459,52.4142
459.5,51.014
460,50.177
460.5,49.9833
461,50.3538
461.5,51.2873
462,52.6291
462.5,54.1366
463,55.789
463.5,57.5506
464,59.0843
464.5,60.0624
465,60.4713
465.5,60.1856
466,59.1717
466.5,57.6201
467,55.6298
467.5,53.2357
468,50.7243
468.5,48.4605
469,46.2948
469.5,44.2709
470,42.4599
470.5,41.1112
471,40.1057
471.5,39.4091
472,39.1116
472.5,39.2446
473,39.7181
473.5,40.4748
474,41.435
474.5,42.2156
475,42.587
475.5,42.1344
476,40.6742
476.5,38.4693
477,35.5312
477.5,31.9918
478,28.0005
478.5,24.5844
479,21.596
479.5,18.9704
480,17.3174
480.5,16.3521
481,16.1455
481.5,16.9039
482,18.692
482.5,21.8257
483,26.3429
483.5,30.6631
484,34.2727
484.5,36.469
485,37.222
485.5,36.56
486,34.5607
486.5,31.0849
