Type,Dichroic
Maker,"Omega"
ProductName,"XF2007(475DCLP)"
Comment,""
Public,1
wavedataset
399.991,-0.022
401.07,-0.0062
401.996,0.007
403.075,0.018
404,0.024
404.925,0.027
406.003,0.025
406.928,0.019
408.006,0.0099
408.931,-0.005
410.009,-0.02
410.933,-0.031
412.01,-0.033
412.934,-0.035
414.011,-0.029
414.935,-0.018
416.012,-0.0053
416.935,0.0049
418.011,0.0097
418.934,0.015
420.01,0.016
420.933,0.012
422.009,0.0086
422.931,0.0093
424.006,0.014
424.928,0.024
426.003,0.036
426.925,0.056
427.999,0.074
429.074,0.089
429.995,0.099
431.069,0.1
431.99,0.1
433.064,0.1
433.984,0.11
435.057,0.12
435.977,0.14
437.05,0.16
437.97,0.19
439.043,0.22
439.962,0.25
441.034,0.29
441.953,0.34
443.025,0.4
443.944,0.48
445.015,0.56
445.934,0.66
447.005,0.78
448.076,0.91
448.993,1.07
450.064,1.26
450.981,1.49
452.051,1.76
452.969,2.07
454.038,2.45
454.955,2.9
456.024,3.44
456.941,4.09
458.01,4.88
458.926,5.83
459.994,6.96
461.063,8.29
461.978,9.84
463.046,11.6
463.961,13.7
465.029,16.1
465.944,18.8
467.011,21.9
467.925,25.4
468.992,29.3
470.058,33.5
470.972,38
472.038,42.7
472.952,47.6
474.018,52.5
474.931,57.3
475.996,62
477.061,66.4
477.974,70.5
479.038,74.3
479.951,77.6
481.015,80.6
481.927,83.1
482.991,85.2
484.054,87
484.966,88.5
486.029,89.7
486.94,90.6
488.002,91.4
489.065,92.1
489.975,92.6
491.037,93.1
491.948,93.5
493.009,93.9
494.07,94.2
494.98,94.5
496.041,94.7
496.95,94.9
498.011,95.2
499.071,95.4
499.979,95.6
501.039,95.8
501.947,96.1
503.007,96.3
504.066,96.5
504.974,96.7
506.032,96.9
506.94,97.1
507.998,97.3
509.056,97.4
509.962,97.5
511.02,97.6
511.926,97.7
512.983,97.8
514.04,97.9
514.946,97.9
516.002,98
517.059,98
517.964,98.1
519.019,98.1
520.075,98.2
520.979,98.2
522.034,98.2
522.938,98.3
523.993,98.3
525.047,98.3
525.951,98.4
527.005,98.4
528.058,98.4
528.961,98.3
530.014,98.3
531.067,98.3
531.969,98.3
533.022,98.2
534.074,98.2
534.976,98.2
536.027,98.2
536.929,98.2
537.98,98.2
539.031,98.2
539.932,98.2
540.982,98.2
542.032,98.2
542.932,98.3
543.982,98.3
545.032,98.3
545.931,98.3
546.98,98.3
548.029,98.3
548.928,98.4
549.976,98.4
551.024,98.5
552.072,98.5
552.97,98.5
554.017,98.6
555.064,98.5
555.961,98.5
557.008,98.5
558.054,98.5
558.951,98.5
559.997,98.5
561.042,98.5
561.938,98.5
562.983,98.5
564.028,98.5
565.072,98.4
565.967,98.4
567.011,98.4
568.055,98.4
568.95,98.4
569.993,98.3
571.036,98.3
571.93,98.3
572.972,98.3
574.014,98.3
575.056,98.3
575.949,98.3
576.99,98.3
578.032,98.3
579.073,98.2
579.964,98.2
581.005,98.2
582.045,98.2
582.936,98.2
583.976,98.2
585.015,98.2
586.054,98.2
586.945,98.2
587.983,98.2
589.021,98.1
590.059,98.2
590.949,98.2
591.986,98.2
593.023,98.3
594.06,98.3
594.949,98.4
595.985,98.4
597.021,98.4
598.057,98.5
598.945,98.5
599.98,98.5
601.015,98.6
602.05,98.7
602.936,98.8
603.971,98.8
605.005,98.9
606.038,98.9
607.072,99
607.957,99
608.99,99
610.022,99
611.055,99
611.939,99
612.971,99.1
614.002,99.1
615.033,99
616.064,99
616.948,99
617.978,98.9
619.008,98.8
620.038,98.7
621.067,98.7
621.949,98.7
622.978,98.6
624.006,98.6
625.035,98.6
626.063,98.5
626.944,98.5
627.971,98.4
628.998,98.3
630.025,98.3
631.051,98.3
631.931,98.2
632.957,98.2
633.983,98.2
635.008,98.2
636.033,98.1
637.058,98.1
637.936,98.1
638.96,98
639.984,98
641.008,97.9
642.031,97.9
643.054,97.8
643.931,97.7
644.953,97.7
645.976,97.7
646.997,97.7
648.019,97.7
649.04,97.7
650.061,97.8
650.936,97.8
651.956,97.9
652.976,97.9
653.996,97.9
655.016,97.9
656.035,97.9
657.053,97.9
658.072,98
658.945,98
659.963,98.1
660.98,98.1
661.998,98.1
663.015,98.1
664.031,98.1
665.048,98.1
666.064,98.1
666.934,98.2
667.95,98.3
668.965,98.3
669.98,98.3
670.994,98.3
672.008,98.3
673.022,98.2
674.036,98.2
675.049,98.1
676.062,98.2
676.93,98.2
677.942,98.2
678.954,98.2
679.966,98.2
680.977,98.2
681.989,98.3
682.999,98.3
684.01,98.2
685.02,98.2
686.029,98.3
687.039,98.3
688.048,98.2
689.057,98.2
690.065,98.2
690.929,98.2
691.937,98.1
692.945,98
693.952,98
694.959,97.9
695.965,97.8
696.972,97.7
697.978,97.7
698.983,97.6
699.988,97.6
700.993,97.6
701.998,97.6
703.002,97.6
704.006,97.5
705.01,97.4
706.013,97.3
707.016,97.2
708.018,97
709.021,96.9
710.022,96.9
711.024,96.8
712.025,96.7
713.026,96.5
714.027,96.4
715.027,96.4
716.027,96.2
717.026,96.1
718.026,96
719.024,95.8
720.023,95.7
721.021,95.6
722.019,95.6
723.017,95.5
724.014,95.5
725.011,95.6
726.007,95.6
727.003,95.5
727.999,95.4
728.994,95.3
729.99,95.2
730.984,95.1
731.979,95
732.973,94.9
733.967,94.8
734.96,94.8
735.953,94.8
736.946,94.8
737.938,94.8
738.93,94.9
740.063,94.9
741.055,95
742.045,95
743.036,95
744.026,94.9
745.016,94.9
746.006,94.8
746.995,94.8
747.984,94.7
748.972,94.7
749.96,94.8
