Type,Dichroic
Maker,"Omega"
ProductName,"XF2039(485-555DBDR)"
Comment,""
Public,1
wavedataset
1100.056885,80.75248718
1099.003906,65.78384399
1097.950073,66.34017944
1097.012573,53.55947113
1095.957031,76.0435257
1095.018188,80.35412598
1093.96106,65.4627533
1093.020752,67.64691162
1091.962036,60.16113663
1091.020264,74.86133575
1089.959839,65.34899139
1089.016724,63.99721527
1087.954712,65.70980835
1087.010132,73.67250061
1085.946655,60.84306717
1085.000488,78.87548828
1084.053833,70.41213989
1082.987915,79.85059357
1082.039795,75.34385681
1080.97229,79.94870758
1080.022705,80.63652039
1078.953735,92.77355957
1078.002686,75.20933533
1077.051025,81.09835052
1075.979614,89.58428955
1075.026611,92.69187927
1073.953613,83.85636902
1072.999146,97.01113892
1072.043945,93.31287384
1070.96875,89.80982208
1070.012207,85.55021667
1069.054932,88.0451889
1067.977295,95.79896545
1067.018799,91.00642395
1066.059448,88.53890228
1064.979492,90.67986298
1064.018921,81.86633301
1063.057617,89.87900543
1061.975342,66.93675995
1061.012695,74.3348465
1060.049316,76.98322296
1058.964722,74.6798172
1058,71.84874725
1057.034668,71.10070038
1055.947754,68.78028107
1054.980957,74.10543823
1054.01355,65.54202271
1053.045532,68.68320465
1051.955688,67.52902985
1050.986206,68.53682709
1050.016113,64.38529205
1049.045288,68.59680939
1047.952515,67.01031494
1046.980347,63.62142563
1046.007568,64.5632782
1045.03418,64.68521118
1044.060059,68.84555817
1042.963501,69.1693573
1041.988037,71.56367493
1041.011963,74.00689697
1040.035278,73.97569275
1039.057983,77.40050507
1037.957642,79.34065247
1036.979004,84.13857269
1035.999634,82.79901123
1035.019653,86.78350067
1034.03894,88.94992828
1033.057739,87.57149506
1031.953003,88.63114929
1030.970459,90.75543976
1029.987183,86.87227631
1029.003296,89.52399445
1028.018677,85.60855865
1027.033569,85.18985748
1026.047729,80.44313812
1025.061401,85.18743896
1023.950867,79.98783875
1022.963074,78.46530914
1021.97467,76.5144577
1020.985657,72.96903992
1019.996033,73.67006683
1019.005737,69.58204651
1018.014832,67.94676208
1017.023254,65.06043243
1016.031067,63.56111908
1015.038269,65.35417175
1014.044861,64.26022339
1013.050842,61.63312912
1012.056152,62.16596222
1011.060852,63.20420456
1009.94043,63.89461136
1008.943787,64.44412231
1007.946533,63.71731567
1006.948669,66.69969177
1005.950195,70.74237061
1004.951111,71.76859283
1003.951355,73.39596558
1002.950989,77.23452759
1001.950073,78.02427673
1000.948486,79.75662994
999.9462891,83.64406586
998.9434814,83.79844666
997.9400024,86.70214081
997.0615234,84.85946655
996.0569458,85.03386688
995.0517578,84.7954483
994.0458984,81.74578094
993.0394897,80.30227661
992.0324707,78.31124878
991.0248413,74.32076263
990.0165405,71.21025085
989.0076904,68.53120422
987.99823,66.92173004
986.9880981,63.84896469
985.977417,61.05035019
984.9661255,58.13431549
983.9542236,54.48281097
982.9417114,52.11979294
982.0552368,48.80295563
981.0415649,46.14065933
980.0273438,42.93421936
979.0124512,40.45912552
977.9970093,37.47911453
976.980896,35.3519783
975.9642334,32.16821289
974.9469604,30.60132217
974.0563354,27.97805595
973.0379639,26.34976578
972.0189209,24.09563255
970.9993286,22.99435997
969.979126,21.21188927
968.958374,19.27301407
967.9369507,17.91355324
967.0427246,16.25672913
966.0202026,14.4288559
964.9971313,13.72162819
963.9733887,13.26091099
962.9490967,11.26242161
962.0523682,10.50002384
961.0269775,9.672231674
960.0009155,8.003414154
958.9743652,7.610796452
957.9471436,7.140109539
957.0479126,6.27052784
956.0195923,6.155210018
954.9907227,5.652297497
953.9612427,5.629570961
953.0599365,4.828084469
952.0293579,4.990868092
950.99823,4.684069633
949.9664917,3.476225615
949.0632324,4.05966568
948.0303345,3.912097692
946.9969482,3.838056803
945.9628906,3.161292076
945.0576782,3.375010967
944.022583,2.534949541
942.9868774,2.347174406
941.9506226,2.485628366
941.043396,2.857586622
940.0060425,2.974733591
938.9680786,2.806547165
938.0593872,2.917714119
937.0203857,2.755045652
935.9807739,2.005716324
934.9406128,2.407538652
934.0299683,3.655332804
932.9887085,2.796807766
931.9468994,3.056435347
931.03479,3.022561312
929.9918823,2.509699345
928.9484253,3.24326539
928.0348511,3.143538475
926.9902954,4.027334213
925.9451904,3.822991371
925.0302124,4.22099638
923.9840088,4.998350143
922.9372559,4.991407871
922.020874,5.488791466
920.9730225,5.334066391
920.0557251,6.102826595
919.0067749,6.564620018
917.9573364,7.535835266
917.0385742,8.338127136
915.9880371,9.419569016
914.9369507,10.58091068
914.0167847,12.24530983
912.9646606,14.41978264
912.0435181,16.74630356
910.9903564,19.4847641
909.9365845,22.20799255
909.0140381,25.80350304
907.9592285,30.04059792
907.0358276,34.15235519
905.9799194,38.80259705
905.055603,42.62283707
903.9986572,47.98958588
902.9412231,52.8556366
902.0154419,56.11060333
900.9569702,59.86629868
900.0302734,62.97247314
898.9707642,65.9455719
898.0431519,67.45146179
896.9825439,69.6325531
896.0540771,70.62867737
894.9924927,70.72387695
894.0631104,71.25016022
893.0004272,70.47098541
891.9371948,70.64752197
891.0064087,68.83862305
889.9421997,68.6079483
889.010498,68.09867096
887.9452515,67.3504715
887.0126953,67.18732452
885.9463501,66.59531403
885.0129395,67.80132294
883.9455566,67.31652069
883.0112305,68.42722321
881.9428711,69.02999878
881.0076294,70.44335938
879.9382935,72.2526474
879.0021362,73.46614075
878.0655518,74.50370026
876.9946899,76.04811859
876.057251,77.00736237
874.9854126,78.84862518
874.0470581,79.27258301
872.9741821,79.77346039
872.0349731,80.61195374
870.9610596,80.6479187
870.0209961,81.6237793
868.946106,79.87738037
868.005127,82.13455963
867.0637207,79.49006653
865.9873657,80.75008392
865.045105,79.26971436
863.9677124,78.83327484
863.0245972,77.8041687
861.946228,76.1776886
861.0022583,75.49884796
860.0578003,75.87167358
858.9779663,74.03374481
858.0327148,73.9207077
856.9519043,72.06153107
856.0057373,71.06393433
