Type,Dichroic
Maker,"Omega"
ProductName,"XF2048(400-477-575TBDR)"
Comment,""
Public,1
wavedataset
350,-0.00046
350.2,-0.00046
350.4,-0.00058
350.6,-0.00086
350.8,-0.00083
351,-0.00056
351.2,-0.00055
351.4,-0.00051
351.6,-0.00024
351.8,-0.00024
352,-6.8E-05
352.2,-0.0002
352.4,0.00017
352.6,0.00017
352.8,0.00036
353,-6E-05
353.2,0.00039
353.4,0.00049
353.6,0.00059
353.8,0.001
354,0.00091
354.2,0.0012
354.4,0.0014
354.6,0.0016
354.8,0.0019
355,0.002
355.2,0.0024
355.4,0.0025
355.6,0.0027
355.8,0.0031
356,0.0033
356.2,0.0037
356.4,0.0039
356.6,0.0044
356.8,0.0049
357,0.0054
357.2,0.0056
357.4,0.0059
357.6,0.0064
357.8,0.007
358,0.0076
358.2,0.0079
358.4,0.0082
358.6,0.0089
358.8,0.0093
359,0.0098
359.2,0.01
359.4,0.011
359.6,0.012
359.8,0.012
360,0.013
360.2,0.013
360.4,0.014
360.6,0.015
360.8,0.016
361,0.016
361.2,0.017
361.4,0.017
361.6,0.018
361.8,0.019
362,0.02
362.2,0.021
362.4,0.021
362.6,0.023
362.8,0.024
363,0.025
363.2,0.026
363.4,0.027
363.6,0.027
363.8,0.029
364,0.03
364.2,0.031
364.4,0.031
364.6,0.032
364.8,0.033
365,0.033
365.2,0.034
365.4,0.034
365.6,0.035
365.8,0.035
366,0.035
366.2,0.036
366.4,0.036
366.6,0.036
366.8,0.036
367,0.036
367.2,0.036
367.4,0.036
367.6,0.036
367.8,0.036
368,0.036
368.2,0.036
368.4,0.036
368.6,0.036
368.8,0.037
369,0.038
369.2,0.038
369.4,0.039
369.6,0.04
369.8,0.041
370,0.042
370.2,0.044
370.4,0.045
370.6,0.047
370.8,0.049
371,0.052
371.2,0.054
371.4,0.057
371.6,0.061
371.8,0.065
372,0.068
372.2,0.073
372.4,0.077
372.6,0.082
372.8,0.087
373,0.094
373.2,0.1
373.4,0.11
373.6,0.11
373.8,0.12
374,0.13
374.2,0.14
374.4,0.14
374.6,0.15
374.8,0.16
375,0.17
375.2,0.18
375.4,0.19
375.6,0.2
375.8,0.2
376,0.21
376.2,0.22
376.4,0.23
376.6,0.24
376.8,0.25
377,0.25
377.2,0.26
377.4,0.27
377.6,0.28
377.8,0.29
378,0.3
378.2,0.3
378.4,0.31
378.6,0.32
378.8,0.33
379,0.34
379.2,0.35
379.4,0.36
379.6,0.36
379.8,0.37
380,0.38
380.2,0.39
380.4,0.4
380.6,0.41
380.8,0.42
381,0.43
