Type,Emitter
Maker,"Chroma"
ProductName,"51017m"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.001
358,0.001
359,0.001
360,0.001
361,0.001
362,0.001
363,0.001
364,0.001
365,0.001
366,0.001
367,0.001
368,0.001
369,0.001
370,0.001
371,0.001
372,0.001
373,0.001
374,0.001
375,0.001
376,0.001
377,0.001
378,0.001
379,0.001
380,0.001
381,0.001
382,0.001
383,0.001
384,0.001
385,0.001
386,0.001
387,0.001
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.001
396,0.001
397,0.001
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.001
411,0.001
412,0.001
413,0.001
414,0.001
415,0.001
416,0.001
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.001
425,0.001
426,0.001
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0.001
436,0.001
437,0.001
438,0.001
439,0.001
440,0.001
441,0.001
442,0.001
443,0.001
444,0.001
445,0.001
446,0.001
447,0.001
448,0.00134516
449,0.00491087
450,0.0246443
451,0.201335
452,3.78468
453,29.6207
454,35.2184
455,51.7522
456,67.3861
457,58.5318
458,61.4221
459,70.9205
460,70.774
461,66.1025
462,67.82
463,74.0269
464,77.1864
465,75.2513
466,74.1641
467,76.9655
468,81.0473
469,81.7182
470,78.7587
471,77.0676
472,79.5812
473,82.2592
474,78.9284
475,71.0243
476,68.0948
477,74.4143
478,77.1702
479,58.8041
480,41.73
481,50.5578
482,43.6176
483,7.0019
484,0.835442
485,0.179406
486,0.0544088
487,0.0204106
488,0.00893031
489,0.0043938
490,0.00243899
491,0.00141345
492,0.001
493,0.001
494,0.001
495,0.001
496,0.001
497,0.001
498,0.001
499,0.001
500,0.001
501,0.001
502,0.001
503,0.001
504,0.001
505,0.001
506,0.001
507,0.001
508,0.001
509,0.001
510,0.001
511,0.00121661
512,0.00197372
513,0.00326045
514,0.00598481
515,0.0117365
516,0.0252934
517,0.0617719
518,0.177787
519,0.645577
520,3.43925
521,26.1457
522,60.152
523,43.549
524,41.7104
525,57.4632
526,76.745
527,80.6434
528,73.4633
529,68.5272
530,68.6736
531,71.6994
532,75.2367
533,78.1958
534,80.397
535,81.7307
536,81.4983
537,79.1591
538,75.6034
539,72.342
540,70.7933
541,71.7176
542,74.9599
543,79.521
544,83.9349
545,86.928
546,88.0296
547,87.9276
548,87.4771
549,86.7441
550,85.3092
551,82.6559
552,79.2265
553,76.1473
554,74.5478
555,75.3314
556,78.683
557,83.3948
558,87.019
559,86.9431
560,82.7165
561,76.8677
562,72.6082
563,71.673
564,74.1775
565,77.9484
566,78.1462
567,70.1658
568,55.565
569,39.7088
570,26.0466
571,15.6039
572,8.37703
573,4.18466
574,2.04704
575,1.00453
576,0.518551
577,0.259731
