Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA420-460(U-MNUA2)"
Comment,""
Public,1
wavedataset
300,2.2E-05
301,4.5E-05
302,3.8E-05
303,4.6E-05
304,8.7E-05
305,0.000128
306,6.9E-05
307,4.5E-05
308,7.3E-05
309,3.6E-05
310,4E-05
311,5E-05
312,5.2E-05
313,6.2E-05
314,3.4E-05
315,1.5E-05
316,8E-06
317,2.1E-05
318,6.3E-05
319,6.4E-05
320,8.7E-05
321,9.6E-05
322,7.2E-05
323,7E-05
324,8.1E-05
325,7E-05
326,5.2E-05
327,3.4E-05
328,2.1E-05
329,4.1E-05
330,4E-05
331,8.5E-05
332,9.7E-05
333,7.7E-05
334,5.3E-05
335,5.1E-05
336,3.9E-05
337,6.3E-05
338,6E-05
339,6.7E-05
340,5.4E-05
341,3.9E-05
342,2.8E-05
343,3.3E-05
344,3.9E-05
345,5.8E-05
346,6.9E-05
347,5.9E-05
348,3.6E-05
349,5.2E-05
350,4.2E-05
351,6.6E-05
352,7.7E-05
353,6.4E-05
354,6.8E-05
355,6.7E-05
356,6.1E-05
357,9E-05
358,6.5E-05
359,8.8E-05
360,4.1E-05
361,5.2E-05
362,2E-06
363,-1.1E-05
364,3.9E-05
365,8.6E-05
366,7E-05
367,6.3E-05
368,5.1E-05
369,9E-05
370,7.3E-05
371,4.7E-05
372,1.8E-05
373,-1.3E-05
374,-4E-06
375,7.1E-05
376,5.5E-05
377,2.5E-05
378,4.5E-05
379,6.6E-05
380,5.9E-05
381,4.5E-05
382,7.1E-05
383,7.1E-05
384,5.1E-05
385,1.3E-05
386,6.5E-05
387,0.000101
388,3.5E-05
389,4.7E-05
390,3.4E-05
391,3.8E-05
392,5.1E-05
393,6.8E-05
394,3.9E-05
395,3.3E-05
396,5.6E-05
397,9E-05
398,0.000101
399,7.3E-05
400,7.6E-05
401,7.6E-05
402,0.000122
403,0.000305
404,0.000776
405,0.002487
406,0.007299
407,0.020228
408,0.053269
409,0.133634
410,0.317621
411,0.731186
412,1.654228
413,3.60415
414,7.291007
415,13.113738
416,20.37225
417,27.498224
418,33.510604
419,38.498236
420,42.361225
421,45.701012
422,48.449741
423,50.94777
424,53.498777
425,56.041239
426,58.775022
427,61.504967
428,64.002314
429,65.965584
430,67.891793
431,69.46707
432,71.153252
433,72.687855
434,74.067051
435,75.089154
436,76.05661
437,76.917618
438,77.30826
439,77.574657
440,78.385996
441,79.275738
442,80.135875
443,81.057949
444,81.632974
445,81.842293
446,82.03954
447,82.369092
448,82.814336
449,83.607174
450,84.29051
451,84.973984
452,85.267717
453,85.658497
454,85.850276
455,85.779646
456,85.716129
457,85.473324
458,85.015328
459,84.426899
460,83.931426
461,83.345794
462,82.700877
463,82.138101
464,81.534254
465,80.683955
466,77.732806
467,68.603585
468,50.027566
469,28.039803
470,12.008698
471,6.403637
472,2.098095
473,0.885061
474,0.39135
475,0.183257
476,0.091309
477,0.047919
478,0.026531
479,0.015553
480,0.009729
481,0.006397
482,0.004462
483,0.003176
484,0.002324
485,0.001812
486,0.001434
487,0.001161
488,0.00099
489,0.000851
490,0.000745
491,0.000663
492,0.00056
493,0.00048
494,0.000466
495,0.000443
496,0.000392
497,0.000405
498,0.000402
499,0.000345
500,0.000302
501,0.000291
502,0.000318
503,0.000289
504,0.000295
505,0.000296
506,0.000275
507,0.000251
508,0.000254
509,0.000229
510,0.000261
511,0.000252
512,0.000233
513,0.000207
514,0.000162
515,0.000163
516,0.000193
517,0.0002
518,0.000194
519,0.000224
520,0.00019
521,0.000168
522,0.000177
523,0.000173
524,0.000218
525,0.000197
526,0.000191
527,0.000192
528,0.000202
529,0.000208
530,0.000185
531,0.000164
532,0.000157
533,0.000142
534,0.000108
535,9.5E-05
536,0.000119
537,0.000156
538,0.000159
539,0.000144
540,0.000181
541,0.000162
542,0.000148
543,0.000181
544,0.000192
545,0.000205
546,0.000189
547,0.000178
548,0.000208
549,0.000193
550,0.000176
551,0.000155
552,0.000124
553,0.000124
554,0.000134
555,9.9E-05
556,9.2E-05
557,0.000139
558,0.00012
559,9.2E-05
560,0.000103
561,0.000133
562,0.00018
563,0.000214
564,0.000181
565,0.000102
566,7.5E-05
567,8.3E-05
568,5.1E-05
569,5E-05
570,6.9E-05
571,5.2E-05
572,7.7E-05
573,6.8E-05
574,7.1E-05
575,6.3E-05
576,4.3E-05
577,7.2E-05
578,9.8E-05
579,9.6E-05
580,5.3E-05
581,6.3E-05
582,8.2E-05
583,0.000105
584,0.0001
585,9.9E-05
586,7.5E-05
587,9.1E-05
588,3.4E-05
589,3.6E-05
590,4E-05
591,9E-05
592,8.4E-05
593,6.6E-05
594,7.6E-05
595,0.000105
596,6E-05
597,3.2E-05
598,1.3E-05
599,4.9E-05
600,7.7E-05
601,6.1E-05
602,2.7E-05
603,6E-05
604,3.3E-05
605,4.7E-05
606,8.3E-05
607,8.4E-05
608,7.1E-05
609,7.1E-05
610,7.8E-05
611,7.7E-05
612,5.4E-05
613,5.4E-05
614,6.4E-05
615,5.5E-05
616,6.6E-05
617,6.4E-05
618,5.1E-05
619,2.5E-05
620,9E-06
621,3.1E-05
622,3.5E-05
