Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA455"
Comment,""
Public,1
wavedataset
300,0.000174
301,0.000199
302,0.000164
303,0.000171
304,0.000141
305,0.000145
306,0.000216
307,0.000181
308,0.000123
309,0.00013
310,0.00011
311,0.000115
312,0.000189
313,0.00017
314,0.000108
315,0.000155
316,0.000191
317,0.000173
318,0.000176
319,0.000175
320,0.000168
321,0.000192
322,0.000207
323,0.000212
324,0.000198
325,0.000174
326,0.000176
327,0.000142
328,0.000146
329,0.000137
330,0.000163
331,0.000167
332,0.000174
333,0.000199
334,0.000185
335,0.000147
336,0.000114
337,0.000149
338,0.000155
339,0.000134
340,0.000176
341,0.00018
342,0.00015
343,0.000128
344,0.000189
345,0.000158
346,0.000192
347,0.000192
348,0.000169
349,0.000154
350,0.000149
351,0.000146
352,9E-05
353,0.000103
354,0.000142
355,0.00014
356,0.000129
357,0.000158
358,0.000135
359,0.000188
360,0.000144
361,0.000145
362,0.000141
363,0.000155
364,0.000164
365,0.00019
366,0.000139
367,0.000142
368,0.000159
369,0.000154
370,0.000127
371,0.000181
372,0.000154
373,0.000194
374,0.000138
375,7.9E-05
376,0.000119
377,0.000158
378,0.000153
379,0.000196
380,0.000203
381,0.000176
382,0.000166
383,0.000112
384,0.000162
385,0.000174
386,0.000153
387,0.000103
388,0.000167
389,0.000131
390,0.000171
391,0.000138
392,0.00016
393,0.00014
394,0.000143
395,0.000131
396,0.000146
397,0.000139
398,0.000102
399,0.000174
400,0.000149
401,0.000144
402,0.000123
403,0.000188
404,0.00016
405,0.000154
406,0.000175
407,0.000119
408,0.000135
409,0.000159
410,0.000118
411,0.000158
412,0.000169
413,0.000126
414,9.7E-05
415,0.000122
416,0.000148
417,0.000164
418,0.000123
419,0.000127
420,0.000135
421,0.000167
422,0.000136
423,0.000174
424,0.000122
425,0.000171
426,0.000204
427,0.000142
428,0.00019
429,0.000174
430,0.000113
431,0.000164
432,0.000166
433,0.000176
434,0.000175
435,0.00015
436,0.000151
437,0.000198
438,0.000212
439,0.000196
440,0.000255
441,0.000168
442,0.000216
443,0.000277
444,0.000406
445,0.001287
446,0.006529
447,0.031178
448,0.123633
449,0.403093
450,1.076919
451,2.427451
452,4.78296
453,8.334818
454,13.054275
455,18.741727
456,25.135164
457,31.810614
458,38.430874
459,44.976365
460,50.960317
461,56.449151
462,61.384112
463,65.814667
464,69.765888
465,73.057986
466,76.024221
467,78.553847
468,80.644854
469,82.56467
470,84.181988
471,85.608114
472,86.767513
473,87.737814
474,88.646641
475,89.392853
476,90.101741
477,90.675245
478,91.1101
479,91.612411
480,91.916268
481,92.265097
482,92.598627
483,92.922783
484,93.13797
485,93.322747
486,93.569544
487,93.707846
488,93.943074
489,94.114979
490,94.240609
491,94.41454
492,94.377679
493,94.469738
494,94.610388
495,94.668805
496,94.671211
497,94.853822
498,94.988658
499,95.013353
500,94.945372
501,95.021872
502,95.161237
503,95.220795
504,95.273698
505,95.256332
506,95.480789
507,95.431116
508,95.459972
509,95.517919
510,95.599157
511,95.700744
512,95.687496
513,95.748813
514,95.807112
515,95.809479
516,95.882454
517,95.916023
518,95.940536
519,95.963669
520,95.954053
521,95.988426
522,96.001345
523,96.035236
524,95.946559
525,95.958214
526,96.083403
527,96.126537
528,96.115441
529,96.10204
530,96.123917
531,96.104654
532,96.159858
533,96.251221
534,96.313229
535,96.339386
536,96.343905
537,96.339116
538,96.389999
539,96.400112
540,96.402378
541,96.462559
542,96.433099
543,96.4593
544,96.511242
545,96.48792
546,96.4782
547,96.528836
548,96.549276
549,96.578786
550,96.525001
551,96.511131
552,96.613305
553,96.540086
554,96.611605
555,96.71124
556,96.702543
557,96.687067
558,96.682611
559,96.705431
560,96.742528
561,96.808443
562,96.814289
563,96.793759
564,96.82256
565,96.763512
566,96.775026
567,96.79687
568,96.795849
569,96.78923
570,96.829382
571,96.862776
572,96.811416
573,96.819593
574,96.735398
575,96.823022
576,96.847698
577,96.811262
578,96.84003
579,96.781985
580,96.773212
581,96.893024
582,96.843556
583,96.803289
584,96.862121
585,96.857549
586,96.902739
587,96.804666
588,96.839218
589,96.817545
590,96.834365
591,96.871912
592,96.749438
593,96.812786
594,96.761532
595,96.855224
596,96.849203
597,96.866554
598,96.885958
599,96.76604
600,96.760073
601,96.7158
602,96.789342
603,96.878518
604,96.90894
605,96.83312
606,96.835256
607,96.783652
608,96.865155
609,96.828826
610,96.834255
611,96.821833
612,96.772497
613,96.765888
614,96.772979
615,96.861817
616,96.932557
617,96.801425
618,96.780954
619,96.777998
620,96.867068
621,96.793833
622,96.88708
623,96.833565
624,96.792576
625,96.896768
626,96.80386
627,96.698017
628,96.832114
629,96.76042
630,96.864683
631,96.757286
632,96.766036
633,96.823377
634,96.727545
635,96.741921
636,96.696108
637,96.783362
638,96.700609
639,96.726512
640,96.721622
641,96.838868
642,96.837632
643,96.539414
644,96.751972
645,96.592415
646,96.559064
647,96.608171
648,96.622613
649,96.570037
650,96.754241
651,96.689619
652,96.707533
653,96.626644
654,96.656967
655,96.649991
656,96.584027
657,96.918016
658,96.555791
659,96.716578
660,96.365218
661,96.772075
662,96.784608
663,96.462143
664,96.702749
665,96.725646
666,96.742254
667,96.432461
668,96.481462
669,96.737662
670,96.904186
671,96.678724
672,96.743058
673,96.588882
674,96.474857
675,96.542308
676,96.598418
677,96.568416
678,96.477669
679,96.978307
680,96.505478
681,97.182753
682,96.993888
683,97.005778
684,96.788302
685,97.159244
686,96.857777
687,96.392188
688,96.798261
689,96.819675
690,97.067947
691,97.154636
692,96.980423
693,96.703801
694,97.02669
695,97.060671
696,96.959099
697,96.880203
698,96.815888
699,96.812953
700,96.699812
701,96.800751
702,96.77748
703,96.657827
704,96.286023
705,96.496523
706,96.541705
707,96.591561
708,97.033037
709,96.748587
710,96.710653
711,96.515322
712,96.298739
713,96.478768
714,96.716505
715,96.494194
716,96.91265
717,96.841247
718,96.580012
719,96.278906
720,96.546378
721,96.629666
722,96.797412
723,96.869109
724,96.421303
725,96.758081
726,96.750354
727,96.768088
728,96.412886
729,96.593621
730,96.631697
731,96.531704
732,96.308238
733,96.390169
734,96.393812
735,96.754801
736,96.603724
737,96.533446
738,96.472534
739,96.563908
740,96.362856
741,96.297192
742,96.395127
743,96.610071
744,96.301688
745,96.336825
746,96.415177
747,96.090946
748,96.104353
749,96.249628
750,96.161783
751,96.163985
752,96.204319
753,96.261468
754,96.304948
755,96.131976
756,96.077093
757,96.247954
758,96.450071
759,96.584729
760,96.209819
761,96.158373
762,96.231224
763,96.172822
764,96.317781
765,96.314173
766,96.183935
767,96.289315
768,96.243443
769,96.329626
770,96.165342
771,96.046277
772,96.232682
